org_name,num_clinical,num_papers,num_patent,total_cost1,Totla_pub,per_$
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,0,471,7,223623511,478,2.13752E-06
DENTAL  CRANIOFACIAL  RESEARCH,0,462,7,51747070,469,9.06331E-06
LSU HEALTH SCIENCES CENTER,0,411,7,31013304,418,1.34781E-05
ALBANY MEDICAL COLLEGE,0,385,7,80330480,392,4.87984E-06
LOYOLA UNIVERSITY CHICAGO,0,335,7,43717241,342,7.823E-06
UNIVERSITY OF TENNESSEE KNOXVILLE,1,250,7,16868566,258,1.52947E-05
UNIVERSITY OF BRITISH COLUMBIA,0,244,7,13939291,251,1.80066E-05
SCINTILLON INSTITUTE FOR PHOTOBIOLOGY,0,188,7,8558300,195,2.27849E-05
NORTHSHORE UNIV HEALTHSYSTEM RES INST,1,109,7,2911109,117,4.01907E-05
NATIONAL JEWISH HEALTH,7,1222,6,242137590,1235,5.10041E-06
DIABETES DIGESTIVE KIDNEY DISEASES,0,1023,6,93564898,1029,1.09977E-05
NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,624,6,78376454,631,8.05089E-06
METHODIST HOSPITAL RESEARCH INSTITUTE,1,467,6,98641035,474,4.8053E-06
KANSAS STATE UNIVERSITY,0,406,6,39270182,412,1.04914E-05
HARVARD UNIVERSITY SCH OF PUBLIC HLTH,0,405,6,37770441,411,1.08815E-05
CLEVELAND CLINIC LERNER COLMEDCWRU,1,398,6,13592448,405,2.97959E-05
ROSWELL PARK CANCER INSTITUTE,0,378,6,10747009,384,3.57308E-05
NEW MEXICO STATE UNIVERSITY LAS CRUCES,0,336,6,5077883,342,6.73508E-05
GEORGIA STATE UNIVERSITY,1,323,6,54093822,330,6.10051E-06
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,0,232,6,31458532,238,7.56551E-06
INFECTIOUS DISEASE RESEARCH INSTITUTE,0,175,6,53955377,181,3.35462E-06
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,0,163,6,24517199,169,6.89312E-06
ALLEGHENYSINGER RESEARCH INSTITUTE,0,136,6,11631218,142,1.22085E-05
NORTHSHORE UNIVERSITY HEALTHSYSTEM,1,46,6,4893758,53,1.08301E-05
MYOLEX INC,2,3,6,15197743,11,7.23791E-07
SKULPT INC,1,3,6,4368625,10,2.28904E-06
INVIRAGEN INC,0,1,6,3647473,7,1.91913E-06
UNIVERSITY OF PUERTO RICO MED SCIENCES,5,1266,5,20847756,1276,6.12056E-05
CHILDRENS HOSPITAL OF LOS ANGELES,23,864,5,234508879,892,3.80369E-06
NATIONAL HEART LUNG AND BLOOD INSTITUTE,0,773,5,142494610,778,5.45986E-06
MEDICAL COLLEGE OF GEORGIA MCG,0,754,5,32699545,759,2.32113E-05
PURDUE UNIVERSITY,1,564,5,65559025,570,8.69445E-06
UNIVERSITY OF OREGON,0,555,5,47449984,560,1.18019E-05
DEAFNESS OTHER COMMUNICATION DISORDERS,0,423,5,9346520,428,4.57924E-05
GEORGE WASHINGTON UNIVERSITY,6,412,5,151138059,423,2.79877E-06
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,1,318,5,63792290,324,5.07898E-06
TRUDEAU INSTITUTE INC,0,275,5,39841864,280,7.02778E-06
FLORIDA INTERNATIONAL UNIVERSITY,0,259,5,29065223,264,9.08302E-06
IOWA STATE UNIVERSITY,0,235,5,36331136,240,6.6059E-06
RBHSROBERT WOOD JOHNSON MEDICAL SCHOOL,0,221,5,27039418,226,8.35816E-06
PURDUE UNIVERSITY WEST LAFAYETTE,0,198,5,6977534,203,2.90933E-05
CHILDRENS HOSPITAL  RES CTR AT OAKLAND,1,141,5,15844567,147,9.27762E-06
SEPULVEDA RESEARCH CORPORATION,0,109,5,14953562,114,7.6236E-06
PALO ALTO VETERANS INSTIT FOR RESEARCH,0,82,5,13529059,87,6.4306E-06
ORTHOPAEDIC HOSPITAL,0,50,5,3029656,55,1.81538E-05
LOS ANGELES COUNTY HARBORUCLA MED CTR,0,1589,4,769615,1593,0.002069839
CHILDRENS RESEARCH INSTITUTE,6,1522,4,349923324,1532,4.3781E-06
MOREHOUSE SCHOOL OF MEDICINE,1,836,4,15932605,841,5.27848E-05
UNIVERSITY OF VERMONT  ST AGRIC COLLEGE,0,624,4,69856676,628,8.98983E-06
NEW YORK BLOOD CENTER,0,589,4,48530372,593,1.22191E-05
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,4,585,4,98970327,593,5.99169E-06
HOSPITAL FOR SPECIAL SURGERY,1,581,4,62728010,586,9.34192E-06
AUGUSTA UNIVERSITY,2,563,4,107058788,569,5.31484E-06
UNIVERSITY OF TEXAS SAN ANTONIO,0,423,4,49582286,427,8.61194E-06
NATIONAL INSTITUTE OF DENTAL  CRANIOFACIAL RESEARCH,0,404,4,41659241,408,9.79374E-06
TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,0,367,4,39434160,371,9.40808E-06
WINIFRED MASTERSON BURKE MED RES INST,0,318,4,49857446,322,6.45841E-06
NORTHEASTERN UNIVERSITY,0,264,4,55337145,268,4.84304E-06
UNIVERSITY OF CALIFORNIA SANTA CRUZ,0,221,4,34795827,225,6.46629E-06
RUTGERS BIOMEDICAL AND HEALTH SCIENCES,0,207,4,69461683,211,3.03765E-06
BOSTON UNIVERSITY MEDICAL CENTER HOSP,0,196,4,5103223,200,3.91908E-05
CLEMSON UNIVERSITY,0,183,4,14047156,187,1.33123E-05
EYE AND EAR HOSPITAL OF PITTSBURGH,0,139,4,783707,143,0.000182464
VETERANS MEDICAL RESEARCH FDNSAN DIEGO,0,46,4,5022298,50,9.95558E-06
BIOPEPTIDES INC,0,25,4,18419250,29,1.57444E-06
BAXTER HEALTHCARE CORPFENWAL DIVISION,0,15,4,141243,19,0.00013451
RADIX PHARMACEUTICALS INC,0,4,4,5225029,8,1.53109E-06
ARTIFICIAL CELL TECHNOLOGIES INC,0,2,4,6001790,6,9.997E-07
SCANOGEN INC,0,1,4,5442560,5,9.18684E-07
ADVANCED LIQUID LOGIC,0,1,4,369030,5,1.35487E-05
ANGION BIOMEDICA CORPORATION,0,0,4,17196671,4,2.32603E-07
TULANE UNIVERSITY OF LOUISIANA,5,2923,3,284849760,2931,1.02896E-05
TEXAS AM UNIVERSITY HEALTH SCIENCE CTR,1,1054,3,109781429,1058,9.63733E-06
UNIVERSITY OF NEBRASKA LINCOLN,1,1050,3,27712937,1054,3.80328E-05
WAKE FOREST UNIVERSITY,12,951,3,10359063,966,9.32516E-05
UNIVERSITY OF TEXAS MED BR GALVESTON,0,699,3,181874992,702,3.85979E-06
UNIVERSITY OF RHODE ISLAND,0,655,3,30295050,658,2.17197E-05
CLEVELAND CLINIC FOUNDATION,1,527,3,16115586,531,3.29494E-05
IMMUNE DISEASE INSTITUTE INC,0,517,3,49367529,520,1.05332E-05
UNIVERSITY OF DELAWARE,0,485,3,16367197,488,2.98157E-05
GEORGIA  REGENTS UNIVERSITY,0,443,3,8423479,446,5.29472E-05
NATHAN S KLINE INSTITUTE FOR PSYCH RES,0,440,3,3586717,443,0.000123511
UNIVERSITY OF COLORADO,0,424,3,29461474,427,1.44935E-05
WASHINGTON STATE UNIVERSITY,1,378,3,59549927,382,6.41478E-06
MCP HAHNEMANN UNIVERSITY,0,372,3,6027769,375,6.2212E-05
MONTANA STATE UNIVERSITY  BOZEMAN,0,329,3,22073624,332,1.50406E-05
NORTHERN CALIFORNIA INSTITUTE RES EDUC,0,325,3,10116807,328,3.24213E-05
MAYO CLINIC COLL OF MED JACKSONVILLE,0,294,3,2588154,297,0.000114753
VERSITI WISCONSIN INC,0,282,3,55779095,285,5.10944E-06
GEORGIA REGENTS UNIVERSITY,1,265,3,16966266,269,1.5855E-05
UNIV OF MARYLAND COLLEGE PARK,0,264,3,73658159,267,3.62485E-06
NATIONAL INSTITUTE OF MENTAL HEALTH,0,230,3,81199291,233,2.86948E-06
SUNY DOWNSTATE MEDICAL CENTER,1,213,3,30847353,217,7.03464E-06
DEAFNESS  OTHER COMMUNICATION DISORDERS,0,165,3,14420724,168,1.16499E-05
NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,0,159,3,33360066,162,4.8561E-06
FORSYTH INSTITUTE,0,96,3,13742301,99,7.20403E-06
EYE AND EAR INSTITUTE OF PITTSBURGH,0,59,3,2744862,62,2.25876E-05
WOMEN AND INFANTS HOSPITALRHODE ISLAND,0,23,3,3061609,26,8.49224E-06
JBS SCIENCE INC,0,16,3,5443272,19,3.49054E-06
INFLAMACORE LLC,0,6,3,3087352,9,2.91511E-06
AZEVAN PHARMACEUTICALS INC,1,2,3,31366426,6,1.91287E-07
PROTEIN POTENTIAL LLC,0,2,3,26094214,5,1.91613E-07
MARKER GENE TECHNOLOGIES,0,2,3,10475426,5,4.77307E-07
INVIRAGEN LLC,0,2,3,875975,5,5.70786E-06
NANORELEASE TECHNOLOGIES LLC,0,1,3,346032,4,1.15593E-05
PENNSYLVANIA STATE UNIVERSITY,3,826,2,2158494,831,0.000384989
UNIV OF MEDDENT OF NJNJ MEDICAL SCHOOL,1,754,2,119162004,757,6.3527E-06
UNIVERSITY OF SOUTH ALABAMA,0,686,2,55935348,688,1.22999E-05
ENVIRONMENTAL HEALTH SCIENCES,0,629,2,132256828,631,4.77102E-06
HOWARD UNIVERSITY,0,586,2,22218346,588,2.64646E-05
MEHARRY MEDICAL COLLEGE,0,569,2,12765674,571,4.47293E-05
TEXAS AM UNIVERSITY SYSTEM,0,470,2,17189918,472,2.74579E-05
UNIVERSITY OF WYOMING,1,404,2,9476231,407,4.29495E-05
RUSH UNIVERSITY MEDICAL CENTER,4,389,2,115111820,395,3.43145E-06
SCRIPPS RESEARCH INSTITUTE THE,0,383,2,100598428,385,3.8271E-06
GEORGIA INSTITUTE OF TECHNOLOGY,1,344,2,48445507,347,7.16269E-06
OREGON STATE UNIVERSITY,0,335,2,23679614,337,1.42316E-05
BROAD INSTITUTE INC,0,308,2,112730513,310,2.74992E-06
UNIVERSITY OF TEXAS HLTH CTR AT TYLER,0,297,2,37377207,299,7.99953E-06
UNIVERSITY OF NORTH DAKOTA,0,272,2,11492342,274,2.38419E-05
INDIANA UNIVERSITY BLOOMINGTON,0,266,2,15586161,268,1.71947E-05
KENNEDY KRIEGER CHILDRENS HOSPITAL,1,252,2,4775880,255,5.33932E-05
LUDWIG INSTITUTE  FOR CANCER RES  LTD,0,237,2,38196041,239,6.25719E-06
UNIVERSITY OF CALIFORNIA RIVERSIDE,0,230,2,30137234,232,7.69812E-06
SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,1,226,2,5427484,229,4.21926E-05
ELEANOR ROOSEVELT INST FOR CANCER RES,0,174,2,32122562,176,5.47901E-06
KENNEDY INSTITUTE FOR HANDICAPPED CHLDRN,0,166,2,694524,168,0.000241889
ALBANY RESEARCH INSTITUTE INC,0,151,2,3147447,153,4.86107E-05
FATHER FLANAGANS BOYSHOME,0,150,2,15641400,152,9.71779E-06
ALCOHOL ABUSE AND ALCOHOLISM,0,138,2,3485759,140,4.01633E-05
HACKENSACK UNIVERSITY MEDICAL CENTER,0,135,2,47637060,137,2.87591E-06
UNIVERSITY OF PUERTO RICO,0,131,2,350569,133,0.000379372
PUGET SOUND BLOOD CENTER,1,128,2,22383963,131,5.8524E-06
TRUSTEES OF INDIANA UNIVERSITY,0,122,2,11196388,124,1.1075E-05
UNIVERSITY OF NEW HAMPSHIRE,0,120,2,12754234,122,9.56544E-06
CHILDRENS NATIONAL MEDICAL CENTER,0,120,2,3307327,122,3.68877E-05
BOSTON BIOMEDICAL RESEARCH INSTITUTE,0,78,2,18011927,80,4.4415E-06
BROOKLYN COLLEGE,0,78,2,15144696,80,5.28237E-06
WEIZMANN INSTITUTE OF SCIENCE,0,74,2,3861834,76,1.96797E-05
FATHER FLANAGANS BOYS HOME,0,73,2,6276076,75,1.19501E-05
SALUS UNIVERSITY,0,71,2,3912127,73,1.86599E-05
LOMA LINDA UNIVERSITY,0,71,2,3358031,73,2.17389E-05
UNIVERSITY OF TOLEDO,0,68,2,15032044,70,4.65672E-06
LANKENAU INSTITUTE FOR MEDICAL RESEARCH,0,64,2,11825730,66,5.58105E-06
BUCK INSTITUTE FOR AGE RESEARCH,0,61,2,14497673,63,4.34552E-06
CATHOLIC UNIVERSITY OF AMERICA,0,59,2,12095251,61,5.0433E-06
CENTRAL MICHIGAN UNIVERSITY,0,29,2,3895342,31,7.9582E-06
NEVADA CANCER INSTITUTE,0,28,2,1952309,30,1.53663E-05
MEDICINES FOR MALARIA VENTURE,0,25,2,39871248,27,6.7718E-07
UNIVERSITY OF MIAMI CORAL GABLES,0,25,2,6751824,27,3.99891E-06
NAJIT TECHNOLOGIES INC,1,24,2,31635302,27,8.53477E-07
STARWISE THERAPEUTICS LLC,0,18,2,2223456,20,8.99497E-06
HELEN HAYES HOSPITAL,0,17,2,1794452,19,1.05881E-05
STEVENS INSTITUTE OF TECHNOLOGY,0,15,2,3934618,17,4.32061E-06
MODULATION THERAPEUTICS INC,0,9,2,12246370,11,8.98225E-07
IMMUNOTOPE INC,0,6,2,8198262,8,9.75815E-07
ARISAN THERAPEUTICS INC,0,5,2,17099816,7,4.09361E-07
ENDURX PHARMACEUTICALS INC,0,4,2,5129133,6,1.16979E-06
PD INC,0,4,2,2264907,6,2.6491E-06
INFECTIOUS DISEASE CONSULTANTS PC,0,2,2,238097,4,1.67992E-05
PULMOKINE INC,0,1,2,15176977,3,1.97668E-07
RAKTA THERAPEUTICS INC,0,1,2,1404628,3,2.13578E-06
DCV TECHNOLOGIES INC,0,1,2,66786,3,4.49129E-05
CUSTOMKYNETICS INC,0,0,2,3116933,2,6.41654E-07
CRINETICS PHARMACEUTICALS INC,0,0,2,599020,2,3.33873E-06
NEUROLOGICAL DISORDERS AND STROKE,1,1799,1,323914922,1801,5.5601E-06
MIRIAM HOSPITAL,10,1354,1,13356646,1365,0.000102196
ARTHRITIS MUSCULOSKELETAL SKIN DIS,1,996,1,80199647,998,1.24439E-05
PENNSYLVANIA STATE UNIVERSITYUNIV PARK,2,829,1,104222778,832,7.9829E-06
NATIONAL INSTITUTE ON AGING,1,829,1,76859495,831,1.08119E-05
LOUISIANA STATE UNIV HSC SHREVEPORT,0,614,1,14500739,615,4.24116E-05
UNIVERSITY OF HOUSTON,0,580,1,53721549,581,1.0815E-05
TEMPLE UNIV OF THE COMMONWEALTH,9,539,1,111609833,549,4.91892E-06
HARVARD SCHOOL OF PUBLIC HEALTH,2,435,1,311995801,438,1.40387E-06
RUTGERS THE STATE UNIV OF NJ,0,434,1,92141538,435,4.721E-06
OKLAHOMA STATE UNIVERSITY STILLWATER,0,432,1,30192855,433,1.43411E-05
LOUISIANA STATE UNIV AM COL BATON ROUGE,0,372,1,38646354,373,9.65162E-06
LURIE CHILDRENS HOSPITAL OF CHICAGO,7,342,1,85809212,350,4.07882E-06
MELLON PITTS CORPORATION MPC CORP,0,316,1,58873,317,0.005383557
UNIVERSITY OF MASSACHUSETTS AMHERST,0,288,1,41966526,289,6.88644E-06
LA JOLLA INSTITUTE FOR IMMUNOLOGY,0,279,1,52308939,280,5.35281E-06
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,0,276,1,2045159,277,0.000135441
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,0,253,1,8425200,254,3.01476E-05
BOSTON UNIVERSITY CHARLES RIVER CAMPUS,2,248,1,17300664,251,1.45081E-05
TEXAS AM AGRILIFE RESEARCH,0,234,1,80195847,235,2.93033E-06
OCEAN STATE RESEARCH INSTITUTE INC,1,231,1,11593545,233,2.00974E-05
UNIVERSITY OF MONTANA,0,221,1,25290647,222,8.77795E-06
REHABILITATION INSTITUTE OF CHICAGO,0,217,1,19552346,218,1.11496E-05
UNIVERSITY OF MISSISSIPPI,0,216,1,2224382,217,9.75547E-05
MARINE BIOLOGICAL LABORATORY,0,212,1,1983556,213,0.000107382
ROSALIND FRANKLIN UNIV OF MEDICINE SCI,0,204,1,6771865,205,3.02723E-05
INSTITUTE FOR CANCER RESEARCH,0,183,1,9707082,184,1.89552E-05
TUFTS UNIVERSITY MEDFORD,0,176,1,35985769,177,4.91861E-06
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,0,153,1,2854900,154,5.39422E-05
INSTITUTE FOR SYSTEMS BIOLOGY,0,150,1,22983780,151,6.56985E-06
UNIVERSITY OF COLORADO AT BOULDER,0,148,1,4124206,149,3.61281E-05
BAYLOR RESEARCH INSTITUTE,0,139,1,16580301,140,8.44375E-06
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,0,132,1,6666111,133,1.99516E-05
SAN FRANCISCO STATE UNIVERSITY,0,129,1,3301642,130,3.93742E-05
SARC,1,127,1,88454760,129,1.45837E-06
LUDWIG INSTITUTE FOR CANCER RESEARCH,0,124,1,4324226,125,2.89068E-05
UNIVERSITY OF DENVER COLORADO SEMINARY,0,122,1,13324836,123,9.23088E-06
J CRAIG VENTER INSTITUTE INC,0,119,1,5489428,120,2.18602E-05
UNIVERSITY OF OKLAHOMA NORMAN,0,102,1,2740701,103,3.75815E-05
TRANSLATIONAL SCIENCE,0,97,1,134760814,98,7.27214E-07
UNIVERSITY HEALTH NETWORK,0,95,1,12027364,96,7.98179E-06
UNIVERSIDAD CENTRAL DEL CARIBE,0,83,1,6371612,84,1.31835E-05
AMERICAN NATIONAL RED CROSS,0,82,1,10150002,83,8.17733E-06
UNIVERSITY OF MASSACHUSETTS BOSTON,0,79,1,627992,80,0.000127388
CHILDRENS HOSPITAL COLUMBUS,0,77,1,7206951,78,1.08229E-05
REHABILITATION INSTITUTE OF CHICAGO DBA SHIRLEY RYAN ABILITYLAB,4,68,1,6726743,73,1.08522E-05
NATIONAL INSTITUTE OF PARASITIC DISEASES,0,68,1,3801220,69,1.8152E-05
RENSSELAER POLYTECHNIC INSTITUTE,0,63,1,8812851,64,7.26211E-06
DIASCOPIC LLC,1,59,1,450000,61,0.000135553
XAVIER UNIVERSITY OF LOUISIANA,0,53,1,2229196,54,2.42239E-05
UNIVERSITY OF OKLAHOMA,0,52,1,4972931,53,1.06577E-05
LA JOLLA BIOENGINEERING INSTITUTE,0,51,1,5225316,52,9.95153E-06
BUCK INSTITUTE FOR RESEARCH ON AGING,0,50,1,21936303,51,2.32491E-06
MC LEAN HOSPITAL BELMONT MA,0,50,1,3123037,51,1.63302E-05
CAROLINAS MEDICAL CENTER,1,46,1,23866051,48,2.01122E-06
MAGEEWOMENS HOSPITAL OF UPMC,0,43,1,1747364,44,2.51806E-05
BATTELLE PACIFIC NORTHWEST LABORATORIES,0,37,1,22187142,38,1.7127E-06
CALIFORNIA PACIFIC MED CTR RES INSTITUTE,1,36,1,6009555,38,6.32325E-06
UNIVERSITY OF VICTORIA,0,36,1,6369793,37,5.80866E-06
GENEVA FOUNDATION,0,32,1,25294590,33,1.30463E-06
LA JOLLA INST FOR ALLERGY IMMUNOLGY,0,31,1,6807868,32,4.70044E-06
HARRINGTON REGIONAL MEDICAL CENTER INC,0,29,1,977824,30,3.06801E-05
SWEDISH MEDICAL CENTER FIRST HILL,0,28,1,6200139,29,4.67731E-06
IMMPORT THERAPEUTICS INC,0,27,1,10432907,28,2.68381E-06
PORTLAND STATE UNIVERSITY,0,26,1,26375613,27,1.02367E-06
UNIVERSITY OF MINNESOTA DULUTH,0,26,1,2269717,27,1.18957E-05
UNIVERSITY OF HAWAII AT HILO,0,23,1,2410227,24,9.95753E-06
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,0,15,1,1269457,16,1.26037E-05
DISCOVERY GENOMICS INC,0,14,1,5525755,15,2.71456E-06
BIOSCIENCE DEVELOPMENT INC,0,13,1,8641664,14,1.62006E-06
PHOENICIA BIOSCIENCES INC,1,11,1,22691934,13,5.72891E-07
ARMAGEN TECHNOLOGIES INC,0,11,1,10530270,12,1.13957E-06
GUILD ASSOCIATES INC,0,11,1,8123806,12,1.47714E-06
INTEGRAL MOLECULAR,0,11,1,2657177,12,4.51605E-06
UNIVERSITY OF HELSINKI,0,11,1,1165622,12,1.02948E-05
KECK GRADUATE INST OF APPLIED LIFE SCIS,0,10,1,18140215,11,6.06387E-07
BIOVINC LLC,0,10,1,4363528,11,2.52089E-06
FIREBIRD BIOMOLECULAR SCIENCES LLC,0,10,1,1540074,11,7.14247E-06
UNIVERSITY OF LAUSANNE,0,9,1,1317372,10,7.59081E-06
NEW ENGLAND COLLEGE OF OPTOMETRY,0,9,1,1251739,10,7.98882E-06
ASURAGEN INC,0,5,1,15714244,6,3.81819E-07
DESIGNMEDIX INC,0,5,1,8502824,6,7.05647E-07
SENIOR SCIENTIFIC,0,5,1,942390,6,6.36672E-06
GENETICS INSTITUTE INC,0,5,1,550000,6,1.09089E-05
EMERGENT PRODUCT DEVELOPMENT GAITHERSBUR,0,4,1,18494017,5,2.70358E-07
NORWELL INC,0,4,1,9302189,5,5.37507E-07
REGENX BIOSCIENCES LLC,0,4,1,6278417,5,7.96378E-07
LEUKOGENE THERAPEUTICS INC,0,4,1,3879447,5,1.28884E-06
CALIFORNIA INSTITUTEBIOMEDICAL RESEARCH,0,4,1,3705710,5,1.34927E-06
DXDISCOVERY INC,0,3,1,8288909,4,4.82572E-07
ELEX BIOTECH LLC,0,3,1,5470154,4,7.3124E-07
DERMAXON LLC,0,3,1,2467177,4,1.62128E-06
VIROGENOMICS INC,0,3,1,2048238,4,1.95289E-06
PREDICTEK LLC,0,3,1,846591,4,4.72478E-06
NERX BIOSCIENCES INC,0,3,1,721854,4,5.54121E-06
ADVANCED MEDICAL ELECTRONICS CORPORATION,0,2,1,7757714,3,3.86711E-07
UNIVERSAL STABILIZATION TECHNOLOGIES,0,2,1,2338342,3,1.28295E-06
PROGENTEC DIAGNOSTICS INC,0,2,1,1710866,3,1.75349E-06
LUNA INNOVATIONS INC,0,1,1,3094930,2,6.46216E-07
ARIDIS PHARMACEUTICALS LLC,0,1,1,974606,2,2.05209E-06
STELLA THERAPEUTICS INC,0,1,1,575196,2,3.47702E-06
MCLEAN HOSPITAL,0,1,1,310470,2,6.44164E-06
UNIVERSAL STABILIZATION TECHNOLOGIES,0,1,1,125786,2,1.58988E-05
NOVELMED THERAPEUTICS INC,0,0,1,9506635,1,1.0519E-07
ANALYTICAL DIAGNOSTIC SOLUTIONS INC,0,0,1,2570531,1,3.89023E-07
DETON CORPORATION,0,0,1,2465106,1,4.0566E-07
OPTIKIRA LLC,0,0,1,1961104,1,5.09914E-07
AXON ENGINEERING INC,0,0,1,1390818,1,7.18996E-07
MEDISYNERGICS LLC,0,0,1,1199990,1,8.33333E-07
BARRON ASSOCIATES INC,0,0,1,545151,1,1.83432E-06
VETTORE LLC,0,0,1,450000,1,2.22217E-06
BOSTON BIOTECHNOLOGY CORPORATION,0,0,1,297643,1,3.35962E-06
METABOLON INC,0,0,1,148116,1,6.75101E-06
AGAVE BIOSYSTEMS,0,0,1,100001,1,9.9989E-06
CANCER EPIDEMIOLOGY AND GENETICS,0,1675,0,206290638,1675,8.11961E-06
NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,1,1144,0,341647046,1145,3.35141E-06
DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,0,1129,0,271144856,1129,4.16383E-06
UNIVERSITY OF MISSISSIPPI MED CTR,1,887,0,6900648,888,0.000128683
NEW YORK MEDICAL COLLEGE,0,848,0,48939575,848,1.73275E-05
UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,1,817,0,101602778,818,8.05096E-06
NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,0,739,0,94421328,739,7.82662E-06
TEXAS BIOMEDICAL RESEARCH INSTITUTE,0,673,0,63571316,673,1.05865E-05
GYNECOLOGIC ONCOLOGY GROUP,139,547,0,125119399,686,5.48276E-06
AMERICAN COLLEGE OF OB AND GYN,139,547,0,31267925,686,2.19394E-05
CLINICAL CENTER,0,545,0,796357,545,0.000684358
HUNTER COLLEGE,0,485,0,12631069,485,3.83974E-05
NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,0,469,0,85972253,469,5.45525E-06
CITY COLLEGE OF NEW YORK,0,465,0,10902471,465,4.26508E-05
MONTEFIORE MEDICAL CENTER BRONX NY,0,442,0,35013902,442,1.26236E-05
NATIONAL CHILDHOOD CANCER FOUNDATION,1,433,0,20252973,434,2.14289E-05
UNIVERSITY OF CAPE TOWN,1,422,0,63115102,423,6.70204E-06
VIRGINIA POLYTECHNIC INST AND ST UNIV,0,367,0,70430348,367,5.21082E-06
UNIVERSIDAD PERUANA CAYETANO HEREDIA,0,360,0,21217443,360,1.69672E-05
CHILDRENS HOSPITAL OF DENVER,0,354,0,6305470,354,5.61416E-05
BROOKHAVEN SCIENCE ASSOCBROOKHAVEN LAB,0,344,0,15874478,344,2.167E-05
MASONIC MEDICAL RESEARCH LABORATORY INC,0,331,0,3749452,331,8.82793E-05
ILLINOIS INSTITUTE OF TECHNOLOGY,0,315,0,2173215,315,0.000144946
UNIVERSITY OF TEXAS AT AUSTIN,2,293,0,31809178,295,9.27405E-06
UNIVERSITY OF CALIFLOS ALAMOS NAT LAB,0,288,0,35229684,288,8.17492E-06
INSTITUTE FOR BASIC RES IN DEV DISABIL,2,286,0,30939190,288,9.30858E-06
UNIVERSITY OF CALIFLAWRENC BERKELEY LAB,0,264,0,19494339,264,1.35424E-05
RBHS CANCER INSTITUTE OF NEW JERSEY,1,263,0,32192402,264,8.20069E-06
SCOTT AND WHITE MEMORIAL HOSPITAL,0,256,0,2807323,256,9.11898E-05
MARSHALL UNIVERSITY,0,240,0,1011990,240,0.000237154
SCRIPPS FLORIDA,0,239,0,88795664,239,2.69157E-06
NORTHERN CALIFORNIA INSTITUTERESEDU,0,235,0,32966170,235,7.12852E-06
UNIVERSITY OF SOUTH DAKOTA,0,233,0,2165789,233,0.000107582
SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,0,231,0,21684367,231,1.06528E-05
KAROLINSKA INSTITUTE,0,231,0,8841781,231,2.61259E-05
WITS HEALTH CONSORTIUM PTY LTD,5,229,0,16838806,234,1.38965E-05
TEXAS AM UNIVERSITY,0,229,0,52170363,229,4.38946E-06
SAN DIEGO STATE UNIVERSITY,1,225,0,32850551,226,6.87964E-06
FEDERAL UNIVERSITY OF BAHIA,0,224,0,34819265,224,6.43322E-06
PONCE SCHOOL OF MEDICINE,0,223,0,11137791,223,2.00219E-05
PUBLIC HEALTH RESEARCH INSTITUTE,0,222,0,24265472,222,9.1488E-06
SANFORD RESEARCHUSD,0,213,0,6254351,213,3.40562E-05
ALFRED I DU PONT HOSP FOR CHILDREN,2,211,0,23794202,213,8.95176E-06
FLORIDA STATE UNIVERSITY,0,206,0,48782574,206,4.22282E-06
UNIVERSITY OF CAMBRIDGE,0,189,0,15489580,189,1.22017E-05
NORTH CAROLINA STATE UNIVERSITY RALEIGH,0,185,0,38480843,185,4.80759E-06
UNIVERSITY OF DENVER,0,183,0,6065781,183,3.01692E-05
BENAROYA RESEARCH INST AT VIRGINIA MASON,0,176,0,15564579,176,1.13077E-05
CHARLES R DREW UNIVERSITY OF MED SCI,0,169,0,2310343,169,7.3149E-05
ECOGACRIN MEDICAL RESEARCH FOUNDATION,37,165,0,71511914,202,2.8247E-06
RICE UNIVERSITY,1,164,0,29247877,165,5.64143E-06
UNIVERSITY OF SOUTHERN MISSISSIPPI,0,163,0,1398380,163,0.000116563
PENNSYLVANIA STATE UNIVERSITY THE,1,162,0,19882664,163,8.19809E-06
GREENWOOD GENETIC CENTER,0,158,0,9832741,158,1.60687E-05
BOSTON COLLEGE,0,152,0,29501204,152,5.15233E-06
