GardID,ClassificationLevel,DisorderType,Name,Synonym
GARD:0004369,Disorder,[Malformation syndrome],Trichodermodysplasia-dental alterations syndrome,[Pinheiro-Freire Maia-Miranda syndrome]
GARD:0004372,Disorder,[Malformation syndrome],Pitt-Hopkins syndrome,
GARD:0004375,Disorder,[Malformation syndrome],Thumb stiffness-brachydactyly-intellectual disability syndrome,[Piussan-Lenaerts-Mathieu syndrome]
GARD:0004380,Disorder,[Disease],Hypoplasminogenemia,[Plasminogen deficiency type 1]
GARD:0004381,Disorder,[Disease],Congenital plasminogen activator inhibitor type 1 deficiency,[Congenital PAI-1 deficiency]
GARD:0004382,Disorder,[Malformation syndrome],"Platyspondylic dysplasia, Torrance type","[PLSD-T, Platyspondylic dysplasia, Torrance-Luton type, Platyspondylic lethal skeletal dysplasia, Torrance type]"
GARD:0004386,Disorder,[Disease],Pneumocystosis,
GARD:0004391,Disorder,[Disease],Kindler epidermolysis bullosa,"[Congenital bullous poikiloderma, Kindler syndrome, Poikiloderma of Kindler]"
GARD:0004392,Disorder,[Disease],Rothmund-Thomson syndrome,"[Poikiloderma of Rothmund-Thomson, RTS]"
GARD:0004410,Group of disorders,[Category],Non-syndromic polydactyly,
GARD:0004412,Disorder,[Malformation syndrome],Orofaciodigital syndrome type 6,"[Joubert syndrome with oral-facial-digital syndrome, Joubert syndrome with orofaciodigital defect, OFD6, Oral-facial-digital syndrome type 6, Polydactyly-cleft lip/palate-psychomotor retardation syndrome, Váradi syndrome, Váradi-Papp syndrome]"
GARD:0004413,Disorder,[Malformation syndrome],Polydactyly-myopia syndrome,[Czeizel-Brooser syndrome]
GARD:0004414,Subtype of disorder,[Morphological anomaly subtype],"Polydactyly, postaxial, type a1","[Postaxial polydactyly, type a, polydactyly, postaxial]"
GARD:0004417,Disorder,[Morphological anomaly],Polydactyly of a biphalangeal thumb,"[PPD1, Preaxial polydactyly type 1]"
GARD:0004421,Disorder,[Disease],Catecholaminergic polymorphic ventricular tachycardia,"[Bidirectional ventricular tachycardia induced by catecholamine, CPVT, Malignant paroxysmal ventricular tachycardia, Polymorphic ventricular tachycardia induced by catecholamines]"
GARD:0004424,Disorder,[Malformation syndrome],Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,[Lundberg syndrome]
GARD:0004427,Disorder,[Disease],Cronkhite-Canada syndrome,"[Gastrointestinal polyposis-ectodermal changes syndrome, Gastrointestinal polyposis-skin pigmentation-alopecia-fingernail changes syndrome]"
GARD:0004428,Disorder,[Malformation syndrome],Polysyndactyly-cardiac malformation syndrome,[Bonneau syndrome]
GARD:0004434,Disorder,[Morphological anomaly],Syndactyly type 4,"[Polysyndactyly, Haas type]"
GARD:0004436,Disorder,[Malformation syndrome],Bartsocas-Papas syndrome,"[Autosomal recessive popliteal pterygium syndrome, Lethal popliteal pterygium syndrome]"
GARD:0004437,Disorder,[Malformation syndrome],Porencephaly-cerebellar hypoplasia-internal malformations syndrome,[Bonnemann-Meinecke syndrome]
GARD:0004438,Disorder,[Disease],Porokeratosis of Mibelli,
GARD:0004439,Disorder,[Disease],Punctate palmoplantar keratoderma type 2,"[PPKP2, PPPP, Punctate palmoplantar hyperkeratosis type 2]"
GARD:0004446,Disorder,[Disease],Congenital erythropoietic porphyria,"[CEP, Günther disease]"
GARD:0004454,Disorder,[Disease],Postpoliomyelitis syndrome,"[Postpolio sequelae, Postpolio syndrome, Postpoliomyelitic syndrome, Postpoliomyelitis sequelae]"
GARD:0004457,Group of disorders,[Category],Posterior uveitis,[Choroiditis]
GARD:0004459,Group of disorders,[Clinical group],Potassium-aggravated myotonia,"[K+-aggravated myotonia, K-aggravated myotonia, PAM]"
GARD:0004465,Disorder,[Malformation syndrome],PHAVER syndrome,[Powell-Chandra-Saal syndrome]
GARD:0004470,Disorder,[Malformation syndrome],Guttmacher syndrome,[Preaxial deficiency-postaxial polydactyly-hypospadias syndrome]
GARD:0004475,Disorder,[Disease],Familial male-limited precocious puberty,"[FMPP, Familial gonadotropin-independent male-limited sexual precocity, Male-limited precocious puberty, Testotoxicosis]"
GARD:0004477,Disorder,[Disease],Congenital prekallikrein deficiency,
GARD:0004482,Disorder,[Malformation syndrome],X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,[Prieto-Badia-Mulas syndrome]
GARD:0004483,Subtype of disorder,[Clinical subtype],Griscelli syndrome type 2,"[Griscelli-Pruniéras syndrome type 2, Hypopigmentation-immunodeficiency with or without neurologic impairment syndrome]"
GARD:0004484,Disorder,[Disease],Primary ciliary dyskinesia,[PCD]
GARD:0004485,Disorder,[Disease],Juvenile primary lateral sclerosis,"[JPLS, Juvenile PLS]"
GARD:0004488,Disorder,[Malformation syndrome],Intellectual disability-cataracts-calcified pinnae-myopathy syndrome,[Primrose syndrome]
GARD:0004494,Disorder,[Malformation syndrome],Progeria-short stature-pigmented nevi syndrome,[Mulvihill-Smith syndrome]
GARD:0004497,Disorder,[Malformation syndrome],"Progeroid syndrome, Petty type","[Fontaine progeroid syndrome, Petty syndrome, Petty-Laxova-Wiedemann syndrome]"
GARD:0004500,Disorder,[Disease],Acromelanosis,
GARD:0004503,Group of disorders,[Category],Progressive external ophthalmoplegia,
GARD:0004504,Subtype of disorder,[Etiological subtype],"Deafness, x-linked 2","[Deafness, conductive, with stapes fixation, deafness 3, conductive, with stapes fixation, nance deafness, deafness, mixed, with perilymphatic gusher, sensorineural deafness, profound, with or without a conductive component, associated with a unique developmental abnormality of the ear, perilymphatic gusher-deafness syndrome]"
GARD:0004507,Subtype of disorder,[Clinical subtype],Atypical progressive supranuclear palsy syndrome,[Atypical PSP syndrome]
GARD:0004508,Disorder,[Disease],Prolactinoma,"[Lactotroph adenoma, PRL-secreting pituitary adenoma, PRLoma, Pituitary lactotrophic adenoma, Prolactin-secreting pituitary adenoma]"
GARD:0004509,Disorder,[Disease],Proliferating trichilemmal cyst,
GARD:0004513,Disorder,[Disease],Properdin deficiency,
GARD:0004518,Disorder,[Malformation syndrome],Aprosencephaly cerebellar dysgenesis,
GARD:0004520,Disorder,[Disease],Familial prostate cancer,
GARD:0004522,Disorder,[Disease],Transcobalamin I deficiency,"[Haptocorrin deficiency, TCI deficiency, Transcobalamin-1 deficiency]"
GARD:0004527,Disorder,[Disease],Autosomal erythropoietic protoporphyria,[EPP]
GARD:0004528,Disorder,[Malformation syndrome],Corpus callosum agenesis-abnormal genitalia syndrome,"[ACC-abnormal genitalia syndrome, Microcephaly-corpus callosum agenesis-abnormal genitalia syndrome, Proud syndrome, Proud-Levine-Carpenter syndrome]"
GARD:0004531,Disorder,[Disease],Proximal spinal muscular atrophy,[SMA]
GARD:0004536,Disorder,[Disease],Pseudopelade of Brocq,
GARD:0004539,Disorder,[Disease],Bifunctional enzyme deficiency,
GARD:0004540,Disorder,[Disease],Pseudoachondroplasia,"[Pseudoachondroplastic dysplasia, Pseudoachondroplastic spondyloepiphyseal dysplasia]"
GARD:0004543,Disorder,[Disease],Peroxisomal acyl-CoA oxidase deficiency,"[Pseudo-NALD, Pseudo-neonatal adrenoleukodystrophy, Pseudoadrenoleukodystrophy]"
GARD:0004544,Disorder,[Malformation syndrome],Pseudoaminopterin syndrome,"[ASSA, Aminopterin syndrome-like sine aminopterin]"
GARD:0004550,Disorder,[Disease],Disorder of sex development-intellectual disability syndrome,[Verloes-Gillerot-Fryns syndrome]
GARD:0004552,Subtype of disorder,[Clinical subtype],Generalized pseudohypoaldosteronism type 1,"[Autosomal recessive PHA1, Autosomal recessive pseudohypoaldosteronism type 1, Generalized PHA1]"
GARD:0004553,Disorder,[Disease],Pseudohypoaldosteronism type 2,"[Chloride shunt syndrome, Familial hyperkalemic hypertension, Gordon hyperkalemia-hypertension syndrome, Hyperkalemia-hypertension syndrome, Gordon type, Hypertensive hyperkalemia, Mineralocorticoid resistant hyperkalemia, PHA2, PHAII, Spitzer-Weinstein syndrome]"
GARD:0004559,Disorder,[Malformation syndrome],Acrootoocular syndrome,[Pseudopapilledema-blepharophimosis-hand anomalies syndrome]
GARD:0004561,Disorder,[Disease],Idiopathic intracranial hypertension,"[Benign intracranial hypertension, IIH, Pseudotumor cerebri]"
GARD:0004568,Disorder,[Malformation syndrome],Pterygium colli-intellectual disability-digital anomalies syndrome,[Khalifa-Graham syndrome]
GARD:0004569,Disorder,[Morphological anomaly],Familial pterygium of the conjunctiva,
GARD:0004570,Disorder,[Malformation syndrome],Antecubital pterygium syndrome,
GARD:0004573,Disorder,[Malformation syndrome],X-linked lethal multiple pterygium syndrome,
GARD:0004577,Disorder,[Malformation syndrome],Ptosis-strabismus-ectopic pupils syndrome,[McPherson-Hall syndrome]
GARD:0004582,Disorder,[Disease],Hereditary pulmonary alveolar proteinosis,"[Congenital PAP, Congenital pulmonary alveolar proteinosis]"
GARD:0004584,Disorder,[Morphological anomaly],Pulmonary arteriovenous malformation,[PAVM]
GARD:0004586,Disorder,[Morphological anomaly],Abnormal origin of right or left pulmonary artery from the aorta,"[Hemitruncus arteriosus, Pulmonary artery coming from the aorta]"
GARD:0004588,Disorder,[Morphological anomaly],Pulmonary atresia with ventricular septal defect,
GARD:0004589,Disorder,[Morphological anomaly],Peripheral pulmonary stenosis,"[Branch pulmonary artery stenosis, Pulmonary branch stenosis]"
GARD:0004593,Disorder,[Malformation syndrome],Congenital pulmonary sequestration,[Congenital bronchopulmonary sequestration]
GARD:0004594,Subtype of disorder,[Clinical subtype],Supravalvular pulmonary stenosis,
GARD:0004597,Group of disorders,[Clinical group],Pulmonary valve agenesis,"[Absent pulmonary valve syndrome, Congenital absence of the pulmonary valve, PVA]"
GARD:0004598,Disorder,[Morphological anomaly],Congenital pulmonary veins atresia or stenosis,
GARD:0004599,Group of disorders,[Clinical group],Congenital pulmonary venous return anomaly,[Congenital pulmonary venous connection anomaly]
GARD:0004600,Disorder,[Morphological anomaly],Pulmonary atresia-intact ventricular septum syndrome,
GARD:0004603,Disorder,[Disease],Punctate acrokeratoderma freckle-like pigmentation,
GARD:0004606,Disorder,[Disease],Purine nucleoside phosphorylase deficiency,"[PNP deficiency, PNPase deficiency]"
GARD:0004607,Subtype of disorder,[Clinical subtype],Immune-mediated thrombotic thrombocytopenic purpura,"[Acquired TTP, Acquired thrombotic thrombocytopenic purpura, Autoimmune thrombotic thrombocytopenic purpura, Thrombotic thrombocytopenic purpura due to anti-ADAMTS-13 antibodies, aTTP, iTTP]"
GARD:0004610,Disorder,[Malformation syndrome],Pyknoachondrogenesis,[Camera syndrome]
GARD:0004611,Disorder,[Disease],Pycnodysostosis,[Pyknodysostosis]
GARD:0004612,Disorder,[Disease],Pyle disease,"[Metaphyseal dysplasia, Pyle type]"
GARD:0004614,Disorder,[Disease],Pyomyositis,"[Myositis purulenta tropica, Myositis tropicans, PM, Suppurative myositis, Tropical pyomyositis]"
GARD:0004620,Subtype of disorder,[Clinical subtype],Pyruvate dehydrogenase E1-alpha deficiency,"[PDHAD, Pyruvate decarboxylase deficiency, Pyruvate dehydrogenase complex E1 component subunit alpha deficiency]"
GARD:0004627,Disorder,[Malformation syndrome],Radial ray hypoplasia-choanal atresia syndrome,[Goldblatt-Viljoen syndrome]
GARD:0004628,Disorder,[Malformation syndrome],Oculofaciocardiodental syndrome,"[Cataract-microphthalmia-radiculomegaly-cardiac septal defect syndrome, OFCD syndrome]"
GARD:0004633,Disorder,[Malformation syndrome],Absent radius-anogenital anomalies syndrome,
GARD:0004634,Subtype of disorder,[Clinical subtype],Leukocyte adhesion deficiency type II,"[CDG syndrome type IIc, CDG-IIc, CDG2C, LAD-II, Rambam-Hasharon syndrome, SLC35C1-CDG]"
GARD:0004635,Disorder,[Malformation syndrome],Retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome,"[Rambaud-Gallian syndrome, Rambaud-Gallian-Touchard syndrome]"
GARD:0004636,Disorder,[Malformation syndrome],Ramos-Arroyo syndrome,"[Corneal anesthesia-deafness-intellectual disability syndrome, Corneal anesthesia-hearing loss-intellectual disability syndrome]"
GARD:0004637,Disorder,[Malformation syndrome],RAPADILINO syndrome,
GARD:0004638,Disorder,[Malformation syndrome],External auditory canal atresia-vertical talus-hypertelorism syndrome,[Rasmussen-Johnsen-Thomsen syndrome]
GARD:0004641,Disorder,[Malformation syndrome],Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,[Passwell-Goodman-Siprkowski syndrome]
GARD:0004644,Disorder,[Malformation syndrome],Ataxia-deafness-intellectual disability syndrome,"[Ataxia-hearing loss-intellectual disability syndrome, Reardon-Baraitser syndrome]"
GARD:0004647,Disorder,[Disease],Complex regional pain syndrome,
GARD:0004648,Disorder,[Disease],Infantile Refsum disease,"[IRD, Mild PBD-ZSD, Mild peroxisome biogenesis disorder-Zellweger spectrum disorder]"
GARD:0004655,Disorder,[Malformation syndrome],Renal caliceal diverticuli-deafness syndrome,[Renal caliceal diverticuli-hearing loss syndrome]
GARD:0004665,Disorder,[Malformation syndrome],NPHP3-related Meckel-like syndrome,"[Goldston syndrome, Meckel syndrome type 7, Meckel-like syndrome type 1, Renal-hepatic-pancreatic dysplasia-Dandy-Walker cysts syndrome]"
GARD:0004666,Subtype of disorder,[Clinical subtype],Autosomal recessive distal renal tubular acidosis,"[AR dRTA, Autosomal recessive distal RTA]"
GARD:0004667,Disorder,[Disease],Distal renal tubular acidosis,"[Classic RTA, Familial distal primary acidosis, Renal tubular acidosis type 1, dRTA]"
GARD:0004668,Subtype of disorder,[Clinical subtype],Autosomal dominant distal renal tubular acidosis,[AD dRTA]
GARD:0004680,Disorder,[Disease],X-linked retinal dysplasia,
GARD:0004683,Disorder,[Malformation syndrome],Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,"[Retinitis pigmentosa-intellectual disability- labyrinthine deafness-hypogenitalism syndrome, Retinitis pigmentosa-intellectual disability-sensorineural hearing loss-hypogenitalism syndrome]"
GARD:0004684,Subtype of disorder,[Clinical subtype],Retinitis pigmentosa-deafness syndrome,"[Retinitis pigmentosa 8, formerly, retinitis pigmentosa 21, formerly]"
GARD:0004690,Disorder,[Malformation syndrome],X-linked retinoschisis,"[X-linked juvenile retinoschisis, XLRS]"
GARD:0004694,Disorder,[Disease],Atypical Rett syndrome,"[Atypical RTT, Rett syndrome variant]"
GARD:0004695,Disorder,[Malformation syndrome],Revesz syndrome,"[Dyskeratosis congenita with bilateral exudative retinopathy, Retinopathy-anemia-central nervous system anomalies syndrome, Revesz-DeBuse syndrome]"
GARD:0004697,Disorder,[Disease],Reynolds syndrome,[Primary biliary cirrhosis and systemic scleroderma]
GARD:0004701,Subtype of disorder,[Clinical subtype],Alveolar rhabdomyosarcoma,
GARD:0004702,Subtype of disorder,[Clinical subtype],Embryonal rhabdomyosarcoma,
GARD:0004703,Disorder,[Malformation syndrome],"Rhizomelic dysplasia, Patterson-Lowry type",
GARD:0004704,Disorder,[Disease],Polymyalgia rheumatica,[Rhizomelic pseudopolyarthritis]
GARD:0004705,Disorder,[Malformation syndrome],"Rhizomelic syndrome, Urbach type",
GARD:0004709,Disorder,[Malformation syndrome],Richieri Costa-da Silva syndrome,[Myotonia-intellectual disability-skeletal anomalies syndrome]
GARD:0004718,Disorder,[Malformation syndrome],Richieri Costa-Pereira syndrome,"[Short stature-Pierre Robin sequence-cleft mandible-hand anomalies clubfoot syndrome, Short stature-Pierre Robin syndrome-cleft mandible-hand anomalies clubfoot syndrome]"
GARD:0004721,Disorder,[Morphological anomaly],Isolated right ventricular hypoplasia,
GARD:0004722,Disorder,[Malformation syndrome],8q22.1 microdeletion syndrome,"[Monosomy 8q22.1, Nablus mask-like facial syndrome]"
GARD:0004723,Disorder,[Disease],Rigid spine syndrome,[Rigid spine congenital muscular dystrophy]
GARD:0004724,Disorder,[Malformation syndrome],Ring chromosome 17 syndrome,"[Ring 17, Ring chromosome 17]"
GARD:0004729,Disorder,[Malformation syndrome],Robin sequence-oligodactyly syndrome,[Pierre Robin sequence-oligodactyly syndrome]
GARD:0004730,Subtype of disorder,[Malformation syndrome subtype],Robinow-sorauf syndrome,"[Craniosynostosis-bifid hallux syndrome, acrocephalosyndactyly, robinow-sorauf type]"
GARD:0004732,Disorder,[Malformation syndrome],Autosomal dominant deafness-onychodystrophy syndrome,"[Autosomal dominant hearing loss-onychodystrophy syndrome, DDOD syndrome]"
GARD:0004733,Disorder,[Disease],Roch-Leri mesosomatous lipomatosis,
GARD:0004737,Subtype of disorder,[Clinical subtype],Mayer-Rokitansky-Küster-Hauser syndrome type 1,"[Congenital absence of uterus and vagina, MRKH syndrome type 1, Rokitansky sequence]"
GARD:0004738,Disorder,[Disease],Rombo syndrome,
GARD:0004740,Disorder,[Disease],Ulna metaphyseal dysplasia syndrome,[Rosenberg-Lohr syndrome]
GARD:0004741,Disorder,[Disease],Roussy-Lévy syndrome,"[Hereditary areflexic dystasia, Roussy-Lévy type]"
GARD:0004744,Disorder,[Disease],Congenital rubella syndrome,"[CRS, Fetal rubella syndrome, Mother-to-child transmission of rubella syndrome]"
GARD:0004748,Disorder,[Malformation syndrome],Ruvalcaba syndrome,
GARD:0004752,Disorder,[Malformation syndrome],Kousseff syndrome,[Sacral meningocele-conotruncal heart defects syndrome]
GARD:0004754,Subtype of disorder,[Clinical subtype],Salla disease,
GARD:0004767,Disorder,[Disease],Benign schwannoma,"[Neurilemmoma, Neurilemoma, Peripheral fibroblastoma]"
GARD:0004768,Disorder,[Disease],Schwannomatosis,"[NF3, Neurilemmomatosis, Neurofibromatosis type 3]"
GARD:0004769,Disorder,[Disease],"Congenital muscular dystrophy, Ullrich type","[Scleroatonic muscular dystrophy, UCMD, Ullrich disease]"
GARD:0004771,Disorder,[Malformation syndrome],Sclerosteosis,[Cortical hyperostosis-syndactyly syndrome]
GARD:0004774,Disorder,[Disease],Succinyl-CoA:3-oxoacid CoA transferase deficiency,"[OXCT1 deficiency, SCOT deficiency, Succinyl-CoA acetoacetate transferase deficiency, Succinyl-CoA:3-ketoacid CoA transferase deficiency]"
GARD:0004775,Disorder,[Malformation syndrome],Aarskog-Scott syndrome,"[Aarskog syndrome, Faciodigitogenital syndrome, Faciogenital dysplasia]"
GARD:0004776,Disorder,[Malformation syndrome],Craniodigital-intellectual disability syndrome,"[Scott craniodigital syndrome, Scott-Bryant-Graham syndrome]"
GARD:0004777,Disorder,[Disease],Scott syndrome,
GARD:0004778,Disorder,[Malformation syndrome],Facial dysmorphism-shawl scrotum-joint laxity syndrome,[Seaver-Cassidy syndrome]
GARD:0004792,Disorder,[Disease],Testicular seminomatous germ cell tumor,"[Seminoma of testis, Seminomatous germ cell tumor of testis, Testicular seminoma]"
GARD:0004815,Disorder,[Disease],Spontaneous periodic hypothermia,"[Episodic spontaneous hypothermia, Shapiro syndrome]"
GARD:0004818,Disorder,[Disease],Shigellosis,
GARD:0004822,Disorder,[Disease],Short chain acyl-CoA dehydrogenase deficiency,"[ACADS deficiency, SCAD deficiency, SCADD]"
GARD:0004832,Disorder,[Malformation syndrome],"Short rib-polydactyly syndrome, Beemer-Langer type",[Short rib-polydactyly syndrome type 4]
GARD:0004833,Disorder,[Malformation syndrome],"Short rib-polydactyly syndrome, Majewski type",[Short rib-polydactyly syndrome type 2]
GARD:0004834,Disorder,[Malformation syndrome],"Short rib-polydactyly syndrome, Saldino-Noonan type",[Short rib-polydactyly syndrome type 1]
GARD:0004835,Disorder,[Malformation syndrome],"Short rib-polydactyly syndrome, Verma-Naumoff type",[Short rib-polydactyly syndrome type 3]
GARD:0004838,Disorder,[Malformation syndrome],"Short stature, Brussels type",[Mievis-Verellen-Dumoulin syndrome]
GARD:0004841,Disorder,[Malformation syndrome],Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome,"[Short stature-hearing loss-neutrophil dysfunction-dysmorphism syndrome, Thong-Douglas-Ferrante syndrome]"
GARD:0004856,Disorder,[Malformation syndrome],Short stature-wormian bones-dextrocardia syndrome,[Stratton-Parker syndrome]
GARD:0004861,Disorder,[Malformation syndrome],Shprintzen-Goldberg syndrome,"[Marfanoid craniosynostosis syndrome, SGS]"
GARD:0004863,Disorder,[Disease],Shwachman-Diamond syndrome,"[Pancreatic insufficiency and bone marrow dysfunction, SDS, Shwachman syndrome, Shwachman-Bodian-Diamond syndrome]"
GARD:0004865,Disorder,[Disease],Sialuria,"[Sialuria, French type]"
GARD:0004867,Disorder,[Malformation syndrome],Siegler-Brewer-Carey syndrome,
GARD:0004869,Disorder,[Malformation syndrome],Sillence syndrome,[Brachydactyly-symphalangism syndrome]
GARD:0004870,Disorder,[Disease],Silver-Russell syndrome,[Silver-Russell dwarfism]
GARD:0004873,Disorder,[Malformation syndrome],Flat face-microstomia-ear anomaly syndrome,"[Blepharophimosis-telecanthus-microstomia syndrome, Simosa craniofacial syndrome, Simosa-Penchaszadeh-Bustos syndrome]"
GARD:0004877,Subtype of disorder,[Malformation syndrome subtype],Solitary median maxillary central incisor,"[single central maxillary incisor, fused incisors, Incisors, fused, single upper central incisor]"
GARD:0004879,Subtype of disorder,[Disease subtype],"Progressive familial heart block, type ii",
GARD:0004880,Subtype of disorder,[Disease subtype],Sinus node disease and myopia,"[Sick sinus syndrome and myopia, sss-myopia syndrome]"
GARD:0004881,Subtype of disorder,[Clinical subtype],Multiple endocrine neoplasia type 2A,"[MEN2A, PTC syndrome, Sipple syndrome]"
GARD:0004883,Disorder,[Morphological anomaly],Situs inversus totalis,"[Complete situs inversus, Complete situs inversus viscerum, Situs inversus]"
GARD:0004886,Disorder,[Malformation syndrome],Mononen-Karnes-Senac syndrome,[Skeletal dysplasia-brachydactyly syndrome]
GARD:0004891,Disorder,[Disease],Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome,"[H-SMD, Hypomyelination-spondyloepimetaphyseal dysplasia syndrome, Leukoencephalopathy-SEMD syndrome, Leukoencephalopathy-metaphyseal chondrodysplasia syndrome]"
GARD:0004898,Group of disorders,[Clinical group],Soft tissue sarcoma,"[Malignant mesenchymal tumor, Malignant soft tissue tumor, Soft part sarcoma]"
GARD:0004899,Disorder,[Malformation syndrome],Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome,[Sohval-Soffer syndrome]
GARD:0004900,Disorder,[Disease],Somatostatinoma,
GARD:0004905,Disorder,[Malformation syndrome],Congenital heart defect-round face-developmental delay syndrome,[Sonoda syndrome]
GARD:0004910,Disorder,[Disease],Autosomal recessive spastic ataxia of Charlevoix-Saguenay,"[ARSACS, Autosomal recessive spastic ataxia type 6, SPAX6]"
GARD:0004914,Disorder,[Disease],Infantile-onset ascending hereditary spastic paralysis,[IAHSP]
GARD:0004918,Disorder,[Disease],Spastic paraplegia-precocious puberty syndrome,
GARD:0004919,Disorder,[Disease],Autosomal recessive spastic paraplegia type 11,"[Nakamura-Osame syndrome, SPG11, Spastic paraplegia-intellectual disability-thin corpus callosum syndrome]"
GARD:0004921,Disorder,[Disease],Spastic paraplegia-neuropathy-poikiloderma syndrome,[Antinolo-Nieto-Borrego syndrome]
GARD:0004922,Disorder,[Disease],Autosomal recessive spastic paraplegia type 18,[SPG18]
GARD:0004923,Disorder,[Disease],Spastic paraplegia type 2,"[SPG2, Spastic gait type 2, Spastic paraparesis type 2, X-linked spastic paraplegia type 2]"
GARD:0004924,Disorder,[Disease],Autosomal recessive spastic paraplegia type 39,"[SPG39, Spastic paraplegia due to NTE mutation, Spastic paraplegia due to neuropathy target esterase mutation]"
GARD:0004925,Disorder,[Disease],Autosomal dominant spastic paraplegia type 4,[SPG4]
GARD:0004926,Disorder,[Disease],Autosomal recessive spastic paraplegia type 5A,[SPG5A]
GARD:0004927,Disorder,[Disease],Spastic paraplegia type 7,[SPG7]
GARD:0004928,Disorder,[Disease],Autosomal dominant spastic paraplegia type 6,[SPG6]
GARD:0004931,Disorder,[Disease],Spastic paraplegia-glaucoma-intellectual disability syndrome,
GARD:0004932,Disorder,[Disease],Spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome,[Spastic quadriplegia-retinitis pigmentosa-intellectual disability syndrome]
GARD:0004936,Disorder,[Malformation syndrome],Weill-Marchesani syndrome,[Spherophakia-brachymorphia syndrome]
GARD:0004938,Disorder,[Disease],Juvenile neuronal ceroid lipofuscinosis,"[Batten disease, JNCL, Juvenile NCL, Spielmeyer-Vogt disease]"
GARD:0004940,Disorder,[Malformation syndrome],Spina bifida-hypospadias syndrome,
GARD:0004942,Disorder,[Disease],Spinal atrophy-ophthalmoplegia-pyramidal syndrome,[Hamano-Tsukamoto syndrome]
GARD:0004945,Subtype of disorder,[Clinical subtype],Proximal spinal muscular atrophy type 2,"[Intermediate spinal muscular atrophy, SMA type 2, SMA type II, SMA-II, SMA2]"
GARD:0004947,Subtype of disorder,[Disease subtype],Spinal muscular atrophy with congenital bone fractures 1,"[Spinal muscular atrophy, type i, with congenital bone fractures]"
GARD:0004950,Disorder,[Disease],Spinocerebellar ataxia type 30,[SCA30]
GARD:0004952,Disorder,[Disease],Autosomal recessive cerebellar ataxia-movement disorder syndrome,"[SCAR4, SCASI]"
GARD:0004953,Disorder,[Disease],Spinocerebellar ataxia type 5,[SCA5]
GARD:0004954,Disorder,[Disease],Infantile-onset autosomal recessive nonprogressive cerebellar ataxia,"[Autosomal recessive spinocerebellar ataxia type 6, SCAR6]"
GARD:0004955,Disorder,[Disease],Spinocerebellar ataxia type 7,"[Ataxia with pigmentary retinopathy, Cerebellar syndrome-pigmentary maculopathy syndrome, SCA7]"
GARD:0004956,Disorder,[Disease],Spinocerebellar ataxia type 8,[SCA8]
GARD:0004958,Disorder,[Disease],Spinocerebellar ataxia-dysmorphism syndrome,
GARD:0004963,Disorder,[Malformation syndrome],Splenogonadal fusion-limb defects-micrognathia syndrome,[SGFLD syndrome]
GARD:0004967,Disorder,[Malformation syndrome],Karsch-Neugebauer syndrome,[Split hand/split foot-nystagmus syndrome]
GARD:0004969,Disorder,[Malformation syndrome],Czeizel-Losonci syndrome,"[Split hand with obstructive uropathy, spina bifida and diaphragmatic defects, Split hand-urinary anomalies-spina bifida syndrome]"
GARD:0004970,Disorder,[Disease],SPONASTRIME dysplasia,"[Spondylar and nasal changes with striations of the metaphyses (SPONASTRIME) dysplasia, Spondyloepimetaphyseal dysplasia, Sponastrime type]"
GARD:0004972,Disorder,[Malformation syndrome],Spondylocamptodactyly syndrome,
GARD:0004973,Subtype of disorder,[Malformation syndrome subtype],"Spondylocostal dysostosis 3, autosomal recessive",
GARD:0004974,Disorder,[Malformation syndrome],Spondylocarpotarsal synostosis,[Synspondylism]
GARD:0004976,Subtype of disorder,[Malformation syndrome subtype],"Spondylocostal dysostosis 4, autosomal recessive",
GARD:0004977,Subtype of disorder,[Malformation syndrome subtype],"Brachyolmia type 1, toledo type","[sed, chondroitin sulfate type, Spondyloepiphyseal dysplasia tarda, toledo type, paps-chondroitin sulfate sulfotransferase deficiency]"
GARD:0004978,Disorder,[Malformation syndrome],Spondyloenchondrodysplasia,"[SPENCD, Spondyloenchondromatosis, Spondylometaphyseal dysplasia with enchondromatous changes]"
GARD:0004979,Disorder,[Disease],X-linked spondyloepimetaphyseal dysplasia,
GARD:0004980,Disorder,[Disease],"Spondyloepimetaphyseal dysplasia, Shohat type","[SEMD, Shohat type]"
GARD:0004982,Disorder,[Disease],Spondyloepimetaphyseal dysplasia with joint laxity,"[SEMD-JL, SEMDJL1, Spondyloepimetaphyseal dysplasia with joint laxity type 1, Spondyloepimetaphyseal dysplasia with joint laxity, Beighton type]"
GARD:0004984,Disorder,[Disease],Schimke immuno-osseous dysplasia,"[Schimke syndrome, Spondyloepiphyseal dysplasia-nephrotic syndrome]"
GARD:0004985,Subtype of disorder,[Disease subtype],"Spondyloepiphyseal dysplasia tarda, x-linked","[Sed tarda, x-linked, spondyloepiphyseal dysplasia, late]"
