,Gene,Disease
8855,flavin-containing amine oxidase domain-containing protein 2,
8856,[histone h3]-dimethyl-l-lysine(4) fad-dependent demethylase 1a,
8857,kdm1,
8858,kdm1a,ORPHA:477993
8859,kiaa0601,
8860,lsd1,
8861,lysine-specific histone demethylase 1a,
8862,synonyms=aof2,
8863,kiaa1343,
8864,rcor3,
8865,rest corepressor 3,
8866,155 kda nucleoporin,
8867,kiaa0791,
8868,nuclear pore complex protein nup155,
8869,nucleoporin nup155,
8870,nup155,ORPHA:334
8871,glun2c,
8872,glutamate [nmda] receptor subunit epsilon-3,
8873,"glutamate receptor ionotropic, nmda 2c",
8874,grin2c,
8875,nmdar2c,
8876,nmdar2c,
8877,n-methyl d-aspartate receptor subtype 2c,
8878,nr2c,
8879,4.1.1.17,
8880,odc,
8881,odc1,ORPHA:544488
8882,ornithine decarboxylase,
8883,2-hydroxy-datp diphosphatase,
8884,3.6.1.-,
8885,3.6.1.56,
8886,"7,8-dihydro-8-oxoguanine triphosphatase",
8887,8-oxo-dgtpase,
8888,methylated purine nucleoside triphosphate hydrolase,
8889,mth1,
8890,nucleoside diphosphate-linked moiety x motif 1,
8891,nudix motif 1,
8892,nudt1,
8893,oxidized purine nucleoside triphosphate hydrolase,
8894,plasma retinol-binding protein,
8895,plasma retinol-binding protein(1-176),
8896,plasma retinol-binding protein(1-179),
8897,plasma retinol-binding protein(1-181),
8898,plasma retinol-binding protein(1-182),
8899,prbp,
8900,rbp,
8901,rbp4,ORPHA:352718
8902,retinol-binding protein 4,
8903,3.4.23.1,
8904,pepsin a-5,
8905,pepsinogen-5,
8906,pga5,
8907,2.7.10.1,
8908,erbb3,ORPHA:137776
8909,her3,
8910,proto-oncogene-like protein c-erbb-3,
8911,receptor tyrosine-protein kinase erbb-3,
8912,tyrosine kinase-type cell surface receptor her3,
8913,gap for rab7,
8914,gtpase-activating protein rab7,
8915,rab7-gap,
8916,tbc1d15,
8917,tbc1 domain family member 15,
8918,ccnk,ORPHA:600668
8919,cpr4,
8920,cyclin-k,
8921,camp-responsive element-binding protein 1,
8922,creb1,ORPHA:97338
8923,creb-1,
8924,cyclic amp-responsive element-binding protein 1,
8925,fer1l3,
8926,fer-1-like protein 3,
8927,kiaa1207,
8928,myof,ORPHA:599418
8929,myoferlin,
8930,1.4.3.21,
8931,1.4.3.4,
8932,amine oxidase [flavin-containing] b,
8933,maob,
8934,mao-b,
8935,monoamine oxidase type b,
8936,kif14,ORPHA:439897
8937,kinesin-like protein kif14,
8938,synonyms=kiaa0042,
8939,interleukin-1 receptor-associated kinase-like 2,
8940,irak2,
8941,irak-2,
8942,atp-sensitive inward rectifier potassium channel 11,
8943,ikatp,
8944,inward rectifier k(+) channel kir6.2,
8945,kcnj11,ORPHA:79134
8946,"potassium channel, inwardly rectifying subfamily j member 11",
8947,abcc9,ORPHA:130
8948,atp-binding cassette sub-family c member 9,
8949,sulfonylurea receptor 2,
8950,sur2,
8951,5f7,
8952,basigin,
8953,bsg,OMIM:111380
8954,cd_antigen=cd147,
8955,collagenase stimulatory factor,
8956,emmprin,
8957,extracellular matrix metalloproteinase inducer,
8958,hab18g,
8959,hepatoma-associated antigen,
8960,leukocyte activation antigen m6,
8961,ok blood group antigen,
8962,tcsf,
8963,tumor cell-derived collagenase stimulatory factor,
8964,1.14.99.60,
8965,"5-demethoxyubiquinone hydroxylase, mitochondrial",
8966,coq7,ORPHA:319678
8967,dmq hydroxylase,
8968,timing protein clk-1 homolog,
8969,ubiquinone biosynthesis monooxygenase coq7,
8970,3.4.19.12,
8971,deubiquitinating enzyme 27,
8972,ubiquitin carboxyl-terminal hydrolase 22-like,
8973,ubiquitin carboxyl-terminal hydrolase 27,
8974,ubiquitin-specific-processing protease 27,
8975,ubiquitin thioesterase 27,
8976,usp22l,
8977,usp27,
8978,usp27x,ORPHA:777
8979,x-linked ubiquitin carboxyl-terminal hydrolase 27,
8980,gaba(a) receptor subunit beta-2,
8981,gabrb2,ORPHA:442835
8982,gamma-aminobutyric acid receptor subunit beta-2,
8983,gaba(a) receptor subunit alpha-5,
8984,gabra5,ORPHA:442835
8985,gamma-aminobutyric acid receptor subunit alpha-5,
8986,antidiuretic hormone receptor 1b,
8987,avpr1b,
8988,avpr3,
8989,avpr v1b,
8990,avpr v3,
8991,v1br,
8992,vasopressin v1b receptor,
8993,vasopressin v3 receptor,
8994,vpr3,
8995,er-golgi snare of 24 kda,
8996,ers24,
8997,ers-24,
8998,sec22b,
8999,sec22l1,
9000,sec22 vesicle-trafficking protein homolog b,
9001,sec22 vesicle-trafficking protein-like 1,
9002,vesicle-trafficking protein sec22b,
9003,ccaat/enhancer-binding protein homologous protein,
9004,c/ebp-homologous protein,
9005,c/ebp-homologous protein 10,
9006,c/ebp zeta,
9007,chop,
9008,chop,
9009,chop10,
9010,chop-10,
9011,ddit3,ORPHA:99967
9012,ddit-3,
9013,dna damage-inducible transcript 3 protein,
9014,gadd153,
9015,growth arrest and dna damage-inducible protein gadd153,
9016,3.4.19.12,
9017,deubiquitinating enzyme 25,
9018,ubiquitin carboxyl-terminal hydrolase 25,
9019,ubiquitin-specific-processing protease 25,
9020,ubiquitin thioesterase 25,
9021,usp21,
9022,usp25,
9023,usp on chromosome 21,
9024,cd62 antigen-like family member l,
9025,cd_antigen=cd62l,
9026,gp90-mel,
9027,lam-1,
9028,lecam1,
9029,leukocyte adhesion molecule 1,
9030,leukocyte-endothelial cell adhesion molecule 1,
9031,leukocyte surface antigen leu-8,
9032,lnhr,
9033,l-selectin,
9034,lyam1,
9035,lymph node homing receptor,
9036,sell,
9037,tq1,
9038,cd62 antigen-like family member e,
9039,cd_antigen=cd62e,
9040,elam1,
9041,elam-1,
9042,endothelial leukocyte adhesion molecule 1,
9043,e-selectin,
9044,lecam2,
9045,leukocyte-endothelial cell adhesion molecule 2,
9046,sele,
9047,cd62 antigen-like family member p,
9048,cd_antigen=cd62p,
9049,gmp-140,
9050,gmrp,
9051,granule membrane protein 140,
9052,grmp,
9053,lecam3,
9054,leukocyte-endothelial cell adhesion molecule 3,
9055,padgem,
9056,platelet activation dependent granule-external membrane protein,
9057,p-selectin,
9058,selp,
9059,b7h2,
9060,b7-h2,
9061,b7 homolog 2,
9062,b7-like protein gl50,
9063,b7-related protein 1,
9064,b7rp1,
9065,b7rp-1,
9066,cd_antigen=cd275,
9067,icosl,
9068,icoslg,
9069,icos ligand,
9070,kiaa0653,
9071,3.4.19.12,
9072,ataxin-3,
9073,atx3,
9074,atxn3,ORPHA:276241
9075,machado-joseph disease protein 1,
9076,mjd,
9077,mjd1,
9078,sca3,
9079,spinocerebellar ataxia type 3 protein,
9080,synonyms=atx3,
9081,grb1,
9082,phosphatidylinositol 3-kinase 85 kda regulatory subunit alpha,
9083,phosphatidylinositol 3-kinase regulatory subunit alpha,
9084,pi3-kinase regulatory subunit alpha,
9085,pi3-kinase subunit p85-alpha,
9086,pi3k regulatory subunit alpha,
9087,pik3r1,ORPHA:33110
9088,ptdins-3-kinase regulatory subunit alpha,
9089,ptdins-3-kinase regulatory subunit p85-alpha,
9090,il-1 epsilon,
9091,il-1f9,
9092,il-1h1,
9093,il-1-related protein 2,
9094,il-1rp2,
9095,il36g,
9096,interleukin-1 epsilon,
9097,interleukin-1 family member 9,
9098,interleukin-1 homolog 1,
9099,interleukin-36 gamma,
9100,3.4.16.5,
9101,carboxypeptidase c,
9102,carboxypeptidase l,
9103,cathepsin a,
9104,ctsa,ORPHA:575553
9105,lysosomal protective protein,
9106,lysosomal protective protein 20 kda chain,
9107,lysosomal protective protein 32 kda chain,
9108,ppca,
9109,ppgb,
9110,protective protein cathepsin a,
9111,protective protein for beta-galactosidase,
9112,bach2,OMIM:618394
9113,btb and cnc homolog 2,
9114,transcription regulator protein bach2,
9115,atp receptor,
9116,p2rx2,ORPHA:90635
9117,p2x2,
9118,p2x2,
9119,p2x purinoceptor 2,
9120,purinergic receptor,
9121,factor binding ist protein 1,
9122,factor that binds to inducer of short transcripts protein 1,
9123,fbi-1,
9124,hiv-1 1st-binding protein 1,
9125,leukemia/lymphoma-related factor,
9126,lrf,
9127,pokemon,
9128,pokemon 1,
9129,pok erythroid myeloid ontogenic factor,
9130,poz and krueppel erythroid myeloid ontogenic factor,
9131,synonyms=fbi1,
9132,tip21,
9133,ttf-i-interacting peptide 21,
9134,zbtb7a,OMIM:619769
9135,zbtb7 gn  ,
9136,zinc finger and btb domain-containing protein 7a,
9137,zinc finger protein 857a,
9138,znf857a,
9139,appetite-regulating hormone,
9140,ghrelin,
9141,ghrelin-27,
9142,ghrelin-28,
9143,ghrl,OMIM:601665
9144,growth hormone-releasing peptide,
9145,growth hormone secretagogue,
9146,motilin-related peptide,
9147,mtlrp ,
9148,obestatin,
9149,protein m46,
9150,3.1.1.4,
9151,giii spla2,
9152,group 3 secretory phospholipase a2,
9153,group iii secretory phospholipase a2,
9154,phosphatidylcholine 2-acylhydrolase 3,
9155,pla2g3,
9156,spla2-iii,
9157,2.7.11.13,
9158,apkc-lambda/iota,
9159,atypical protein kinase c-lambda/iota,
9160,dxs1179e,
9161,npkc-iota,
9162,prkci,
9163,prkc-lambda/iota,
9164,protein kinase c iota type,
9165,2.7.11.13,
9166,npkc-zeta,
9167,pkc2,
9168,prkcz,ORPHA:1606
9169,protein kinase c zeta type,
9170,hh1,
9171,scn5a,ORPHA:1344
9172,sodium channel protein cardiac muscle subunit alpha,
9173,sodium channel protein type 5 subunit alpha,
9174,sodium channel protein type v subunit alpha,
9175,voltage-gated sodium channel subunit alpha nav1.5,
9176,scn1b,ORPHA:33069
9177,sodium channel subunit beta-1,
9178,3.4.19.12,
9179,deubiquitinating enzyme 49,
9180,ubiquitin carboxyl-terminal hydrolase 49,
9181,ubiquitin-specific-processing protease 49,
9182,ubiquitin thioesterase 49,
9183,usp49,
9184,ffar3,
9185,free fatty acid receptor 3,
9186,gpr41,
9187,g-protein coupled receptor 41,
9188,3.4.23.-,
9189,imp-4,
9190,intramembrane protease 4,
9191,kiaa1532,
9192,presenilin homologous protein 4,
9193,presenilin-like protein 1,
9194,psh4,
9195,psl1,
9196,signal peptide peptidase-like 2b,
9197,sppl2b,
9198,sppl2b,
9199,spp-like 2b,
9200,synonyms=imp4,
9201,12 kda fk506-binding protein,
9202,12 kda fkbp,
9203,5.2.1.8,
9204,calstabin-1,
9205,fk506-binding protein 1a,
9206,fkbp1,
9207,fkbp12,
9208,fkbp-12,
9209,fkbp1a,
9210,fkbp-1a,
9211,immunophilin fkbp12,
9212,peptidyl-prolyl cis-trans isomerase fkbp1a,
9213,ppiase fkbp1a,
9214,rotamase,
9215,signal transducer and activator of transcription 5a,
9216,stat5,
9217,stat5a,
9218,signal transducer and activator of transcription 5b,
9219,stat5b,ORPHA:520
9220,2.4.2.8,
9221,hgprt,
9222,hgprtase,
9223,hprt,
9224,hprt1,ORPHA:79233
9225,hypoxanthine-guanine phosphoribosyltransferase,
9226,5.4.2.8,
9227,phosphomannomutase 2,
9228,pmm2,ORPHA:79318
9229,pmm 2,
9230,3.4.11.2,
9231,alanyl aminopeptidase,
9232,aminopeptidase m,
9233,aminopeptidase n,
9234,anpep,
9235,ap-m,
9236,apn,
9237,ap-n,
9238,cd13,
9239,cd_antigen=cd13,
9240,gp150,
9241,hapn,
9242,microsomal aminopeptidase,
9243,myeloid plasma membrane glycoprotein cd13,
9244,pepn,
9245,3.4.11.14,
9246,aap-s,
9247,cytosol alanyl aminopeptidase,
9248,npepps,
9249,psa,
9250,psa,
9251,puromycin-sensitive aminopeptidase,
9252,3.4.11.6,
9253,aminopeptidase b,
9254,apb,
9255,ap-b,
9256,arginine aminopeptidase,
9257,arginyl aminopeptidase,
9258,rnpep,
9259,3.4.11.18,
9260,kiaa0094,
9261,map 1,
9262,metap 1,
9263,metap1,
9264,methionine aminopeptidase 1,
9265,peptidase m 1,
9266,3.4.11.3,
9267,cystinyl aminopeptidase,
9268,insulin-regulated membrane aminopeptidase,
9269,insulin-responsive aminopeptidase,
9270,irap,
9271,leucyl-cystinyl aminopeptidase,
9272,"leucyl-cystinyl aminopeptidase, pregnancy serum form",
9273,lnpep,
9274,otase,
9275,otase,
9276,oxytocinase,
9277,placental leucine aminopeptidase,
9278,p-lap,
9279,3.4.11.21,
9280,aspartyl aminopeptidase,
9281,aspep,
9282,dap,
9283,dnpep,
9284,3.4.11.7,
9285,aminopeptidase a,
9286,ap-a,
9287,cd_antigen=cd249,
9288,differentiation antigen gp160,
9289,eap,
9290,enpep,
9291,glutamyl aminopeptidase,
9292,3.4.11.9,
9293,aminoacylproline aminopeptidase,
9294,cytosolic aminopeptidase p,
9295,samp,
9296,soluble aminopeptidase p,
9297,synonyms=xpnpepl,
9298,xaa-pro aminopeptidase 1,
9299,xpnpep1,
9300,xpnpepl1,
9301,x-pro aminopeptidase 1,
9302,"x-prolyl aminopeptidase 1, soluble",
9303,3.4.11.1,
9304,3.4.11.5,
9305,3.4.13.23,
9306,cysteinylglycine-s-conjugate dipeptidase,
9307,cytosol aminopeptidase,
9308,lap3,
9309,lap-3,
9310,lapep,
9311,leucine aminopeptidase 3,
9312,leucyl aminopeptidase,
9313,peps,
9314,peptidase s,
9315,proline aminopeptidase,
9316,prolyl aminopeptidase,
9317,synonyms=lapep,
9318,3.4.11.18,
9319,initiation factor 2-associated 67 kda glycoprotein,
9320,map 2,
9321,metap 2,
9322,metap2,
9323,methionine aminopeptidase 2,
9324,mnpep,
9325,p67,
9326,p67eif2,
9327,p67eif2,
9328,peptidase m,
9329,synonyms=mnpep,
9330,3.4.11.9,
9331,aminoacylproline aminopeptidase,
9332,mamp,
9333,membrane-bound aminopeptidase p,
9334,membrane-bound amp,
9335,membrane-bound app,
9336,xaa-pro aminopeptidase 2,
9337,xpnpep2,ORPHA:100057
9338,x-pro aminopeptidase 2,
9339,3.4.11.-,
9340,endoplasmic reticulum aminopeptidase 2,
9341,erap2,
9342,leukocyte-derived arginine aminopeptidase,
9343,lrap,
9344,l-rap,
9345,3.4.11.-,
9346,adipocyte-derived leucine aminopeptidase,
9347,a-lap,
9348,aminopeptidase pils,
9349,appils,
9350,arts1,
9351,arts-1,
9352,endoplasmic reticulum aminopeptidase 1,
9353,erap1,ORPHA:117
9354,kiaa0525 ,
9355,pils-ap,
9356,puromycin-insensitive leucyl-specific aminopeptidase,
9357,type 1 tumor necrosis factor receptor shedding aminopeptidase regulator,
9358,3.4.11.-,
9359,aminopeptidase q,
9360,apq,
9361,ap-q,
9362,chl2 antigen,
9363,laeverin,
9364,lvrn,
9365,synonyms=aqpep,
9366,3.4.11.-,
9367,aminopeptidase o,
9368,aopep,OMIM:619565
9369,ap-o,
9370,c9orf3,
9371,onpep,
9372,3.4.11.18,
9373,map1d,
9374,map 1d,
9375,metap 1d,
9376,metap1d,
9377,"methionine aminopeptidase 1d, mitochondrial",
9378,"methionyl aminopeptidase type 1d, mitochondrial",
9379,peptidase m 1d,
9380,3.4.11.-,
9381,aminopeptidase-like 1,
9382,kiaa1974,
9383,npepl1,
9384,probable aminopeptidase npepl1,
9385,3.4.11.-,
9386,3.4.11.18,
9387,aminopeptidase rnpepl1,
9388,arginyl aminopeptidase-like 1,
9389,methionyl aminopeptidase,
9390,rnpepl1,
9391,3.4.11.9,
9392,aminopeptidase p3,
9393,app3,
9394,xaa-pro aminopeptidase 3,
9395,xpnpep3,ORPHA:93589
9396,x-pro aminopeptidase 3,
9397,hair keratin k2.12,
9398,k85,
9399,keratin-85,
9400,"keratin, type ii cuticular hb5",
9401,krt85,ORPHA:69084
9402,krthb5,
9403,type ii hair keratin hb5,
9404,type-ii keratin kb25,
9405,cab2,
9406,cacnb2,ORPHA:130
9407,cacnlb2,
9408,calcium channel voltage-dependent subunit beta 2,
9409,lambert-eaton myasthenic syndrome antigen b,
9410,mysb,
9411,mysb,
9412,voltage-dependent l-type calcium channel subunit beta-2,
9413,ampa-selective glutamate receptor 3,
9414,glua3,
9415,glur-3,
9416,glur3,
9417,glur-c,
9418,glurc,
9419,glur-k3,
9420,glutamate receptor 3,
9421,"glutamate receptor ionotropic, ampa 3",
9422,gria3,ORPHA:364028
9423,2.7.11.17,
9424,calcium/calmodulin-dependent protein kinase type iv,
9425,camk,
9426,camk4,
9427,camk-gr,
9428,cam kinase-gr,
9429,camk iv,
9430,camkiv,
9431,5.2.1.8,
9432,phosphotyrosyl phosphatase activator,
9433,"pp2a, subunit b', pr53 isoform",
9434,ppp2r4,
9435,ptpa,OMIM:620482
9436,ptpa,OMIM:620482
9437,serine/threonine-protein phosphatase 2a activator,
9438,serine/threonine-protein phosphatase 2a regulatory subunit 4,
9439,serine/threonine-protein phosphatase 2a regulatory subunit b',
9440,ampa-selective glutamate receptor 1,
9441,glua1,
9442,gluh1,
9443,glur-1,
9444,glur1,
9445,glur-a,
9446,glur-k1,
9447,glutamate receptor 1,
9448,"glutamate receptor ionotropic, ampa 1",
9449,gria1,ORPHA:88616
9450,cacng6,
9451,cacng8,
9452,neuronal voltage-gated calcium channel gamma-8 subunit,
9453,tarp gamma-8,
9454,transmembrane ampar regulatory protein gamma-8,
9455,voltage-dependent calcium channel gamma-8 subunit,
9456,1.8.3.2,
9457,alr,
9458,augmenter of liver regeneration,
9459,fad-linked sulfhydryl oxidase alr,
9460,gfer,ORPHA:330054
9461,hepatopoietin,
9462,herv1,
9463,herv1,
9464,hpo,
9465,2.4.2.12,
9466,namprtase,
9467,nampt,
9468,nampt,
9469,nicotinamide phosphoribosyltransferase,
9470,pbef,
9471,pbef1,
9472,pre-b-cell colony-enhancing factor 1,
9473,pre-b cell-enhancing factor,
9474,visfatin,
9475,hpcn2,
9476,kcna4,OMIM:618284
9477,kcna4l,
9478,potassium voltage-gated channel subfamily a member 4,
9479,voltage-gated k(+) channel hukii,
9480,voltage-gated potassium channel hbk4,
9481,voltage-gated potassium channel hk1,
9482,voltage-gated potassium channel subunit kv1.4,
9483,2.7.11.1,
9484,pim1,
9485,serine/threonine-protein kinase pim-1,
9486,2.7.11.1,
9487,pim2,
9488,pim-2h,
9489,serine/threonine-protein kinase pim-2,
9490,2.7.11.1,
9491,pim3,
9492,serine/threonine-protein kinase pim-3,
9493,c11orf23,
9494,kiaa1558,
9495,pp6r3,
9496,ppp6r3,
9497,sapl,
9498,saps3,
9499,saps domain family member 3,
9500,serine/threonine-protein phosphatase 6 regulatory subunit 3,
9501,sporulation-induced transcript 4-associated protein sapl,
9502,2.7.2.3,
9503,cell migration-inducing gene 10 protein,
9504,pgk1,ORPHA:713
9505,pgka ,
9506,phosphoglycerate kinase 1,
9507,primer recognition protein 2,
9508,prp 2,
9509,2.3.1.-,
9510,3.1.1.32,
9511,3.1.1.4,
9512,hras-like suppressor 2,
9513,hrasls2,
9514,phospholipase a and acyltransferase 2,
9515,plaat2,
9516,2.7.7.7,
9517,dna polymerase subunit gamma-1,
9518,mdp1,
9519,mitochondrial dna polymerase catalytic subunit,
9520,polg,ORPHA:254886
9521,polg1,
9522,polga,
9523,polg-alpha,
9524,2.7.10.1,
9525,bek,
9526,cd_antigen=cd332,
9527,fgfr2,ORPHA:596008
9528,fgfr-2,
9529,fibroblast growth factor receptor 2,
9530,keratinocyte growth factor receptor,
9531,kgfr,
9532,kgfr,
9533,k-sam,
9534,ksam,
9535,crbn,ORPHA:88616
9536,protein cereblon,
9537,autosomal dominant polycystic kidney disease 1 protein,
9538,pc1,
9539,pkd1,ORPHA:88924
9540,polycystin-1,
9541,antigen ny-co-13,
9542,cellular tumor antigen p53,
9543,p53,
9544,phosphoprotein p53,
9545,tp53,ORPHA:99756
9546,tumor suppressor p53,
9547,double minute 4 protein,
9548,mdm2-like p53-binding protein,
9549,mdm4,OMIM:618849
9550,mdmx,
9551,p53-binding protein mdm4,
9552,protein mdm4,
9553,protein mdmx,
9554,kcnk18,OMIM:613656
9555,potassium channel subfamily k member 18,
9556,tresk,
9557,trik,
9558,twik-related individual potassium channel,
9559,twik-related spinal cord potassium channel,
9560,crbn,ORPHA:88616
9561,protein cereblon,
9562,sall4,ORPHA:2307
9563,sal-like protein 4,
9564,zinc finger protein 797,
9565,zinc finger protein sall4,
9566,znf797,
9567,glp1r,
9568,glp-1r,
9569,glp-1-r,
9570,glp-1 receptor,
9571,glucagon-like peptide 1 receptor,
9572,3.5.1.-,
9573,3.5.1.98,
9574,hd1,
9575,hdac1,
9576,histone deacetylase 1,
9577,protein deacetylase hdac1,
9578,protein decrotonylase hdac1,
9579,rpd3l1,
9580,synonyms=rpd3l1,
9581,3.5.1.-,
9582,3.5.1.98,
9583,hd8,
9584,hdac8,ORPHA:3459
9585,hdacl1 ,
9586,histone deacetylase 8,
9587,protein deacetylase hdac8,
9588,protein decrotonylase hdac8,
9589,nr1f3,
9590,nuclear receptor ror-gamma,
9591,nuclear receptor rzr-gamma,
9592,nuclear receptor subfamily 1 group f member 3,
9593,rar-related orphan receptor c,
9594,retinoid-related orphan receptor-gamma,
9595,rorc,ORPHA:477857
9596,rorg,
9597,rzrg,
9598,antigen ny-co-13,
9599,cellular tumor antigen p53,
9600,p53,
9601,phosphoprotein p53,
9602,tp53,ORPHA:99756
9603,tumor suppressor p53,
9604,repa1,
9605,replication factor a protein 1,
9606,replication protein a 70 kda dna-binding subunit,
9607,"replication protein a 70 kda dna-binding subunit, n-terminally processed",
9608,rf-a protein 1,
9609,rpa1,OMIM:619767
9610,rpa70,
9611,rp-a p70,
9612,single-stranded dna-binding protein,
9613,3.4.19.12,
9614,deubiquitinating enzyme faf-x,
9615,dffrx,
9616,fam,
9617,fat facets in mammals,
9618,"fat facets protein-related, x-linked",
9619,hfam,
9620,probable ubiquitin carboxyl-terminal hydrolase faf-x,
9621,ubiquitin-specific-processing protease faf-x,
9622,"ubiquitin-specific protease 9, x chromosome",
9623,ubiquitin thioesterase faf-x,
9624,usp9,
9625,usp9x,ORPHA:777
9626,2.3.1.199,
9627,3-keto acyl-coa synthase elovl1,
9628,elongation of very long chain fatty acids protein 1,
9629,elovl1,OMIM:618527
9630,elovl fa elongase 1,
9631,elovl fatty acid elongase 1,
9632,ssc1 ,
9633,very long chain 3-ketoacyl-coa synthase 1,
9634,very long chain 3-oxoacyl-coa synthase 1,
9635,very long chain fatty acid elongase 1,
9636,2.7.11.24,
9637,mapk13,
9638,mapk 13,
9639,map kinase 13,
9640,map kinase p38 delta,
9641,mitogen-activated protein kinase 13,
9642,mitogen-activated protein kinase p38 delta,
9643,prkm13,
9644,sapk4,
9645,stress-activated protein kinase 4,
9646,2.7.11.24,
9647,mapk11,
9648,mapk 11,
9649,map kinase 11,
9650,map kinase p38 beta,
9651,mitogen-activated protein kinase 11,
9652,mitogen-activated protein kinase p38 beta,
9653,p38-2,
9654,p38b,
9655,prkm11,
9656,sapk2,
9657,sapk2b,
9658,sapk2b,
9659,stress-activated protein kinase 2b,
9660,2.7.11.24,
9661,csaid-binding protein,
9662,csbp,
9663,csbp,
9664,csbp1,
9665,csbp2,
9666,cspb1,
9667,cytokine suppressive anti-inflammatory drug-binding protein,
9668,mapk14,
9669,mapk 14,
9670,map kinase 14,
9671,map kinase mxi2,
9672,map kinase p38 alpha,
9673,max-interacting protein 2,
9674,mitogen-activated protein kinase 14,
9675,mitogen-activated protein kinase p38 alpha,
9676,mxi2,
9677,sapk2a,
9678,sapk2a,
9679,stress-activated protein kinase 2a,
9680,synonyms=csbp,
9681,2.7.11.24,
9682,erk6,
9683,erk-6,
9684,extracellular signal-regulated kinase 6,
9685,mapk12,
9686,mapk 12,
9687,map kinase 12,
9688,map kinase p38 gamma,
9689,mitogen-activated protein kinase 12,
9690,mitogen-activated protein kinase p38 gamma,
9691,sapk3,
9692,stress-activated protein kinase 3,
9693,adenosine receptor a1,
9694,adora1,
9695,adenosine receptor a2b,
9696,adora2b,
9697,adenosine receptor a3,
9698,adora3,
9699,adenosine receptor a2a,
9700,adora2,
9701,adora2a,ORPHA:363549
9702,1.14.19.1,
9703,acyl-coa desaturase,
9704,delta-9 desaturase,
9705,delta(9)-desaturase,
9706,fatty acid desaturase,
9707,hscd1,
9708,scd,
9709,scd1,
9710,scd1 gn  ,
9711,stearoyl-coa desaturase,
9712,synonyms=fads5,
9713,2.1.1.320,
9714,72 kda icln-binding protein,
9715,histone-arginine n-methyltransferase prmt5,
9716,hrmt1l5,
9717,ibp72,
9718,jak-binding protein 1,
9719,jbp1,
9720,prmt5,
9721,prmt5,
9722,protein arginine n-methyltransferase 5,
9723,"protein arginine n-methyltransferase 5, n-terminally processed",
9724,shk1 kinase-binding protein 1 homolog,
9725,skb1,
9726,skb1 homolog,
9727,skb1hs,
9728,protein g7,
9729,pvhl,
9730,vhl,ORPHA:29072
9731,von hippel-lindau disease tumor suppressor,
9732,2.7.11.1,
9733,2.7.11.26,
9734,casein kinase i isoform delta,
9735,ckid,
9736,cki-delta,
9737,csnk1d,ORPHA:164736
9738,hckid,
9739,tau-protein kinase csnk1d,
9740,2.7.11.1,
9741,casein kinase i isoform alpha,
9742,ck1,
9743,cki-alpha,
9744,csnk1a1,
9745,dna excision repair protein ercc-1,
9746,ercc1,ORPHA:90322
9747,3.1.-.-,
9748,dna excision repair protein ercc-4,
9749,dna repair endonuclease xpf,
9750,dna repair protein complementing xp-f cells,
9751,ercc11,
9752,ercc4,ORPHA:90321
9753,synonyms=ercc11,
9754,xeroderma pigmentosum group f-complementing protein,
9755,xpf,
9756,pgd2 receptor,
9757,pgd receptor,
9758,prostaglandin d2 receptor,
9759,prostanoid dp receptor,
9760,ptgdr,OMIM:607277
9761,kcnd2,
9762,kiaa1044,
9763,potassium voltage-gated channel subfamily d member 2,
9764,voltage-gated potassium channel subunit kv4.2,
9765,fabp9,
9766,fatty acid-binding protein 9,
9767,testis lipid-binding protein,
9768,testis-type fatty acid-binding protein,
9769,t-fabp,
9770,tlbp,
9771,blt,
9772,blt1,
9773,bltr,
9774,chemoattractant receptor-like 1,
9775,cmkrl1,
9776,gpr16,
9777,g-protein coupled receptor 16,
9778,leukotriene b4 receptor 1,
9779,ltb4r,
9780,ltb4-r1,
9781,ltb4-r 1,
9782,p2ry7,
9783,p2y7,
9784,p2y purinoceptor 7,
9785,kappa-type opioid receptor,
9786,k-or-1,
9787,kor-1,
9788,oprk,
9789,oprk1,
9790,delta-type opioid receptor,
9791,d-or-1,
9792,dor-1,
9793,oprd,
9794,oprd1,
9795,hmop,
9796,mop,
9797,mor1,
9798,m-or-1,
9799,mor-1,
9800,mu opiate receptor,
9801,mu opioid receptor,
9802,mu-type opioid receptor,
9803,oprm1,
9804,3.6.1.10,
9805,3.6.1.52,
9806,3.6.1.59,
9807,3.6.1.61,
9808,3.6.1.62,
9809,ap6a hydrolase,
9810,diadenosine hexaphosphate hydrolase,
9811,diphosphoinositol polyphosphate phosphohydrolase 1,
9812,dipp,
9813,dipp1,
9814,dipp-1,
9815,endopolyphosphatase,
9816,m7gpppn-mrna hydrolase,
9817,m7gpppx diphosphatase,
9818,nucleoside diphosphate-linked moiety x motif 3,
9819,nudix motif 3,
9820,nudt3,
9821,car,
9822,casr,ORPHA:417
9823,casr,ORPHA:417
9824,extracellular calcium-sensing receptor,
9825,hcasr,
9826,parathyroid cell calcium-sensing receptor 1,
9827,pcar1,
9828,pcar1,
9829,synonyms=gprc2a,
9830,3.4.25.1,
9831,lmp7,
9832,low molecular mass protein 7,
9833,macropain subunit c13,
9834,multicatalytic endopeptidase complex subunit c13,
9835,proteasome component c13,
9836,proteasome subunit beta-5i,
9837,proteasome subunit beta type-8,
9838,psmb5i,
9839,psmb8,ORPHA:324977
9840,really interesting new gene 10 protein,
9841,ring10,
9842,y2,
9843,hmg box transcription factor 4,
9844,htcf-4,
9845,t-cell factor 4,
9846,t-cell-specific transcription factor 4,
