,Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,GardName,GardId,Orphan
1291,antisense oligonucleotide targeting exon 13 of the USH2A gene,,7/27/2017,treatment of retinitis pigmentosa,Designated,,Not FDA Approved for Orphan Indication,,,,,ProQR Therapeutics IV B.V.,Zernikedreef 9,,Leiden,,' 2333 CK ' ,Netherlands,588917,retinitis pigmentosa,"""gard:0005694""",
1292,antisense oligonucleotide targeting exon 73 in the COL7A1 gene,,9/13/2017,treatment of dystrophic epidermolysis bullosa,Designated/Designation Withdrawn or Revoked,2/1/2024,Not FDA Approved for Orphan Indication,,,,,"Phoenicis Therapeutics, Inc.",66 Clubhouse Drive,,Hingham,Massachusetts,' 02043 ' ,United States,600217,dystrophic epidermolysis bullosa,"""gard:0002150""",
1293,antisense oligonucleotide targeting the c.7595-2144A>G mutation in intron 40 of the USH2A gene,,6/28/2017,treatment of retinitis pigmentosa,Designated,,Not FDA Approved for Orphan Indication,,,,,ProQR Therapeutics IV B.V.,Zernikedreef 9,,Leiden,,' 2333 CK ' ,Netherlands,582317,retinitis pigmentosa,"""gard:0005694""",
1294,antisense oligonucleotide targeting the P23H mutation of the RHO gene,,11/18/2019,treatment of retinal dystrophy dut to the p23h gene mutation (retinitis pigmentosa),Designated,,Not FDA Approved for Orphan Indication,,,,,ProQR Therapeutics IV B.V.,Zernikedreef 9,,Leiden,,' 2333 CK ' ,Netherlands,709219,retinitis pigmentosa,"""gard:0005694""",
1295,antisense oligonucleotide targeting the U isoform of SNP rs362307,,6/16/2016,treatment of huntington's disease (prodromal stage huntington's disease and diagnosed huntington's disease),Designated/Designation Withdrawn or Revoked,8/9/2021,Not FDA Approved for Orphan Indication,,,,,Wave LIfe Sciences,733 Concord Avenue,,Cambridge,Massachusetts,' 02138 ' ,United States,525516,,,
1296,Antisense oligonucleotide targeting TUBB4A mRNA,,1/23/2024,treatment of tubb4a related isolated hypomyelination,Designated,,Not FDA Approved for Orphan Indication,,,,,SynaptixBio Ltd.,"9400 Garsington Road, Oxford Business Park",,Oxford,,' OX4 2HN ' ,United Kingdom,984323,,,
1297,Antithrombin III (human),Thrombate III,11/26/1984,for replacement therapy in congenital deficiency of at-iii for prevention and treatment of thrombosis and pulmonary emboli.,Designated/Approved,,,,12/30/1991,12/30/1998,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,4084,,,
1298,Antithrombin III (human),ATnativ,2/8/1985,for the treatment of patients with hereditary antithrombin iii deficiency in connection with surgical or obstetrical procedures or when they suffer from thromboembolism.,Designated/Approved,,,,12/13/1989,12/13/1996,,Pharmacia & Upjohn AB,Lindhagensgatan 133,,Stockholm,,' ' ,Sweden,5084,,,
1299,Antithrombin III (human) concentrate IV,,7/2/1985,for prophylaxis and treatment of thromboembolic episodes in patients with genetic at-iii deficiency.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,CSL Behring,1020 First Ave.,PO Box 61501,King of Prussia,Pennsylvania,' 19406 ' ,United States,7185,,,
1300,Antithrombin III human,,1/2/1986,preventing or arresting episodes of thrombosis in patients with congenital at-iii deficiency and/or to prevent the occurrence of thrombosis in patients with at-iii deficiency who have undergone trauma or who are about to undergo surgery or parturition.,Designated,,Not FDA Approved for Orphan Indication,,,,,American National Red Cross,9312 Old Georgetown Road,,Bethesda,Maryland,' 20814 ' ,United States,11485,,,
1301,"Antivenin, crotalidae polyvalent immune Fab (ovine)",CroFab,1/12/1994,treatment of envenomations inflicted by north american crotalid snakes.,Designated/Approved,,,Treatment of minimal and moderate North American Crotalidae envenomation,10/2/2000,10/2/2007,,"Protherics, Inc.","1207 17th Ave. S., Suite 103",,Nashville,Tennessee,' 37212 ' ,United States,78993,noma,"""gard:0004001""",
1302,Antivenom (crotalidae) purified (avian),,2/12/1991,treatment of envenomation by poisonous snakes belonging to the crotalidae family.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Ophidian Pharmaceuticals, Inc.",5445 East Cheryl Parkway,,Madison,Wisconsin,' 53711 ' ,United States,54690,noma,"""gard:0004001""",
1303,antroquinonol,,4/30/2015,treatment of acute myeloid leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,Golden Biotechnology Corporation,"10F, No. 9, Ln. 3, Sec. 1, Zhong-Zheng E. Rd",,New Taipei City 251,,' ' ,Taiwan,476315,acute myeloid leukemia,"""gard:0012757""",
1304,antroquinonol,,1/21/2015,treatment of pancreatic cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,Golden Biotechnology Corp.,"10F., No. 9, Ln 3",Tamsui Dist.,New Taipei City 251,,' ' ,Taiwan,460814,,,
1305,antroquinonol,,7/23/2015,treatment of hepatocellular carcinoma,Designated,,Not FDA Approved for Orphan Indication,,,,,Golden Biotechnology Corporation,"10F, No. 9, Ln. 3","Tamsui Dist.,",New Taipei City 251,,' ' ,Taiwan,488115,hepatocellular carcinoma,"""gard:0016773""",
1306,apatinib mesylate,,6/15/2017,treatment of gastric cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,"Elevar Therapeutics, Inc.",2825 E Cottonwood Parkway,Suite 180,Salt Lake City,Utah,' 84121 ' ,United States,579117,,,
1307,"APG-115, a novel orally available small molecule MDM2 inhibitor",,9/2/2020,treatment of gastric cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,Ascentage Pharma Group Inc.,"700 King Farm Blvd., Suite 510",,Rockville,Maryland,' 20850 ' ,United States,762520,,,
1308,"APG-115, an orally bioavailable small molecule.",,9/14/2020,treatment of acute myeloid leukemia (aml).,Designated,,Not FDA Approved for Orphan Indication,,,,,Ascentage Pharma Group Inc.,"700 King Farm Blvd., Suite 510",,Rockville,Maryland,' 20850 ' ,United States,763020,acute myeloid leukemia,"""gard:0012757""",
1309,"APG-2575, a novel, orally active, selective and potent BCL-2 inhibitor",,10/14/2020,treatment for multiple myeloma,Designated,,Not FDA Approved for Orphan Indication,,,,,Ascentage Pharma Group Inc.,"700 King Farm Blvd., Suite 510",,Rockville,Maryland,' 20850 ' ,United States,772320,multiple myeloma,"""gard:0007108""",
1310,aphidicolin,,4/20/2016,treatment of ebola virus infection,Designated,,Not FDA Approved for Orphan Indication,,,,,Biospherics.net LLC,Department of Pharmaceutical Sciences,University of Kentucky,Nicholasville,Kentucky,' 40356 ' ,United States,472415,,,
1311,Apilimod,,8/29/2023,treatment of amyotrophic lateral sclerosis (als),Designated,,Not FDA Approved for Orphan Indication,,,,,"AI Therapeutics, Inc.",530 Old Whitfield Street,,Guilford,Connecticut,' 06437 ' ,United States,741220,amyotrophic lateral sclerosis,"""gard:0005786""",
1312,apilimod dimesylate,,7/1/2019,treatment of follicular lymphoma,Designated,,Not FDA Approved for Orphan Indication,,,,,"AI Therapeutics, Inc.",530 Old Whitfield Street,,Guilford,Connecticut,' 06437 ' ,United States,691619,lymphoma,"""gard:0020548""",
1313,apolipoprotein E mimetic peptide,,12/3/2012,treatment of homozygous familial hypercholesterolemia,Designated,,Not FDA Approved for Orphan Indication,,,,,"LipimetiX Development, LLC",5 Commonwealth Road,Suite 2A,Natick,Massachusetts,' 01760 ' ,United States,381712,homozygous familial hypercholesterolemia,"""gard:0010416""",
1314,apolipoprotein E mimetic peptide (AEM-28(R)-14),,8/7/2017,treatment of homozygous familial hypercholesterolemia (hofh),Designated,,Not FDA Approved for Orphan Indication,,,,,"LipimetiX Development, LLC",5 Commonwealth Road,Suite 2A,Natick,Massachusetts,' 01760 ' ,United States,596517,homozygous familial hypercholesterolemia,"""gard:0010416""",
1315,Apomorphine,,7/17/1995,treatment of the on-off fluctuations associated with late-stage parkinson's disease.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Pentech Pharmaceuticals, Inc.",1110 Lake Cook Rd.,Suite 257,Buffalo Grove,Illinois,' 60089 ' ,United States,89295,,,
1316,Apomorphine,,10/20/1997,for use as rescue treatment for early morning motor dysfunction in late-stage parkinson's disease.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Scherer DDS,Frankland Road,Swindon SN5 8RU,Wiltshire,,' ' ,United Kingdom,107997,,,
1317,Apomorphine HCl,Apokyn,4/22/1993,treatment of the on-off fluctuations associated with late-stage parkinson's disease.,Designated/Approved,,,"For the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose-wearing-off"" and unpredictable :on/off"" episodes) associated with advanced Parkinson's disease",4/20/2004,4/20/2011,,"MDD US Operations, LLC, a subsidiary of Supernus Pharmaceuticals, Inc.",9715 Key West Avenue,,Rockville,Maryland,' 20850 ' ,United States,57591,,,
1318,Apomorphine hydrochloride,,5/23/2006,for the treatment of patients in a vegetative state or minimally conscious state for up to 12 months following a severe traumatic brain injury (traumatic or spontaneous),Designated,,Not FDA Approved for Orphan Indication,,,,,"NeuroHealing Pharmaceuticals, Inc.",50 Undine Road,,Newton,Massachusetts,' 02135 ' ,United States,204305,,,
1319,apomorphine palmitate,,6/4/2018,treatment of acute myeloid leukemia,Designated,,Not FDA Approved for Orphan Indication,,,,,Leukos Biotech,"Muntaner 383, 3°2°",,Barcelona,Catalonia,' ' ,Spain,640618,acute myeloid leukemia,"""gard:0012757""",
1320,apraglutide,,12/20/2018,treatment of short bowel syndrome (sbs),Designated,,Not FDA Approved for Orphan Indication,,,,,VectivBio AG,36 Aeschenvorstadt,,Basel,Basel-Stadt,' ' ,Switzerland,639518,short bowel syndrome,"""gard:0001502""",
1321,apraglutide,,5/25/2021,prevention of acute graft-versus-host disease,Designated,,Not FDA Approved for Orphan Indication,,,,,VectivBio AG,Aeschenvorstadt 36,,Basel,,' 4051 ' ,Switzerland,817021,,,
1322,apremilast,OTEZLA®,1/17/2013,treatment of behcet's disease,Designated/Approved,,,OTEZLA is indicated for the treatment of adult patients with oral ulcers associated with Behçet¿s Disease.,7/19/2019,7/19/2026,For the treatment of adult patients with oral ulcers associated with Behçet¿s disease,Amgen Inc.,One Amgen Center Drive,Mailstop: 27-2-D,Thousand Oaks,California,' 91320 ' ,United States,384812,,,
1323,apremilast,,1/17/2018,treatment of pediatric patients with ulcerative colitis,Designated,,Not FDA Approved for Orphan Indication,,,,,Amgen Inc.,One Amgen Center Drive,Mailstop 27-2-D,Thousand Oaks,California,' 91320 ' ,United States,622417,,,
1324,Aprotinin,Trasylol,11/17/1993,"for prophylactic use to reduce perioperative blood loss and the homologous blood transfusion requirement in patients undergoing cardiopulmonary bypass surgery in the course of repeat coronary artery bypass graft surgery, and in selected cases of primary c",Designated/Approved,,,,12/29/1993,12/29/2000,,Bayer Corporation,Pharmaceutical Division,400 Morgan Lane,West Haven,Connecticut,' 06516 ' ,United States,66992,,,
1325,"APX005M,a 10 mg/mL preservative-free solution (pH 5.5) containing 25 mM sodium acetate, 248 mM trehalose, and 0.02% polysorbate 20 in water for injection in a singleuse, 20 mL Type 1 clear glass vials.",,10/5/2020,treatment of esophageal and gastroesophageal junction cancer,Designated,,Not FDA Approved for Orphan Indication,,,,,"Pyxis Oncology, Inc.","321 Harrison Avenue, 11th Floor, Suite 1",,Boston,Massachusetts,' 02118 ' ,United States,768220,,,
1326,AQ-13 (4-aminoquinoline analog),,9/12/2008,treatment of malaria,Designated,,Not FDA Approved for Orphan Indication,,,,,"Immtech Pharmaceuticals, Inc.",150 Fairway Drive,Suite 150,Vernon Hills,Illinois,' 60061 ' ,United States,266808,malaria,"""gard:0006961""",
1327,Arcitumomab,,5/10/1996,"diagnosis and localization of primary, residual, recurrent and metastatic medullary thyroid carcinoma.",Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,"Immunomedics, Inc.",300 American Road,,Morris Plains,New Jersey,' 07950 ' ,United States,96596,thyroid carcinoma,"""gard:0019763""",
1328,Arenegyr,,8/22/2008,treatment of malignant pleural mesothelioma,Designated,,Not FDA Approved for Orphan Indication,,,,,MolMed S.p.A.,Via Olgettina 58,,Milan,,' ' ,Italy,263908,pleural mesothelioma,"""gard:0007026""",
1329,Arginine butyrate,,3/9/2023,treatment of short bowel syndrome,Designated,,Not FDA Approved for Orphan Indication,,,,,Baxter Healthcare Corporation,1 Baxter Parkway,,Deerfield,Illinois,' 60015 ' ,United States,928222,short bowel syndrome,"""gard:0001502""",
1330,Arginine butyrate,,5/25/1994,treatment of sickle cell disease and beta thalassemia.,Designated/Designation Withdrawn or Revoked,,Not FDA Approved for Orphan Indication,,,,,Vertex Pharmaceuticals Inc.,130 Waverly Street,,Cambridge,Massachusetts,' 02139 ' ,United States,82094,,,
1331,Arginine butyrate,,4/7/1992,treatment of beta-hemoglobinopathies and beta-thalassemia.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Perrine, Susan P., M.D.",Boston University,Cancer Research Center,Boston,Massachusetts,' 02118 ' ,United States,66292,beta-thalassemia,"""gard:0000871""",
1332,Arginyl-Glutamine Dipeptide,,9/20/2022,prevention of retinopathy of prematurity,Designated,,Not FDA Approved for Orphan Indication,,,,,Infant Bacterial Therapeutics AB,Bryggargatan 10,,Sweden,Stockholm,' 111 21 ' ,Sweden,899822,retinopathy of prematurity,"""gard:0005695""",
1333,arimoclomol,,3/29/2005,treatment of amyotrophic lateral sclerosis,Designated,,Not FDA Approved for Orphan Indication,,,,,KemPharm Denmark A/S,Ole Maaløes Vej 3,,Copenhagen,København,' 2200 ' ,Denmark,202705,amyotrophic lateral sclerosis,"""gard:0005786""",
1334,arimoclomol,,11/2/2017,treatment of inclusion body myositis,Designated,,Not FDA Approved for Orphan Indication,,,,,KemPharm Denmark A/S,Ole Maaloes Vej 3,,Copenhagen,København,' 2200 ' ,Denmark,611317,inclusion body myositis,"""gard:0003896""",
1335,arimoclomol citrate,,1/13/2015,"treatment of neimann-pick disease, type c",Designated,,Not FDA Approved for Orphan Indication,,,,,Zevra Denmark A/S,Ole Maaloes Vej 3,,Copenhagen,København,' 2200 ' ,Denmark,458814,,,
1336,Aripiprazole,,7/22/2019,treatment of n-glycanase 1 (ngly1) deficiency,Designated,,Not FDA Approved for Orphan Indication,,,,,Perlara PBC,"2625 Alcatraz Ave, #435",,Berkeley,California,' 94705 ' ,United States,694219,,,
1337,aripiprazole,Abilify,1/25/2006,treatment of tourette's syndrome,Designated/Approved,,,Treatment of pediatric patients with Tourette's,12/12/2014,12/12/2021,Treatment of pediatric patients with Tourette's,Otsuka Pharmaceutical Development,and Commercialization,1st Floor,Princeton,New Jersey,' 08540 ' ,United States,207905,,,
1338,"ARQ 531, a reversible non-covalent ATP competitive inhibitor of BTK",,12/7/2020,treatment of chronic lymphocytic leukemia (cll) or small lymphocytic lymphoma (sll),Designated,,Not FDA Approved for Orphan Indication,,,,,"ArQule, Inc., a wholly owned subsidiary of Merck Sharp & Dohme, LLC",126 East Lincoln Ave,P.O. Box 2000,Rahway,New Jersey,' 07065 ' ,United States,787120,lymphoma,"""gard:0020548""",
1339,arsenic,,11/2/2001,"treatment of acute myelocytic leukemia subtypes m0, m1, m2, m4, m5, m6 and m7",Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,146001,,,
1340,arsenic trioxide,,7/30/2018,treatment of graft-versus-host disease,Designated,,Not FDA Approved for Orphan Indication,,,,,Medsenic,204 avenue de Colmar,,Strasbourg,Grand Est,' ' ,France,645318,,,
1341,Arsenic trioxide,,3/4/2005,treatment of malignant glioma,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,201305,,,
1342,arsenic trioxide,,6/13/2003,treatment of liver cancer,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,167303,,,
1343,Arsenic trioxide,,5/13/2003,treatment of chronic lymphocytic leukemia,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,167203,,,
1344,arsenic trioxide,,10/18/2001,treatment of chronic myeloid leukemia,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,145701,chronic myeloid leukemia,"""gard:0006105""",
1345,arsenic trioxide,,7/17/2000,treatment of myelodysplastic syndrome.,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"Teva Branded Pharmaceutical Products R&D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,135200,myelodysplastic syndrome,"""gard:0007132""",
1346,Arsenic trioxide,,4/28/2000,treatment of multiple myeloma.,Designated/Designation Withdrawn or Revoked,4/26/2024,Not FDA Approved for Orphan Indication,,,,,"TEVA Branded Pharmaceutical Products R & D, Inc.",145 Brandywine Parkway,,West Chester,Pennsylvania,' 19380 ' ,United States,134700,multiple myeloma,"""gard:0007108""",
1347,Arsenic trioxide,Trisenox,3/3/1998,treatment of acute promyelocytic leukemia.,Designated/Approved,,,In combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.,1/12/2018,1/12/2025,In combination with tretinoin for treatment of adults with newly-diagnosed low-risk acute promyelocytic leukemia (APL) whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.,"Teva Branded Pharmaceutical Products R&D, Inc.",41 Moores Road,,Frazer,Pennsylvania,' 19355 ' ,United States,109697,acute promyelocytic leukemia,"""gard:0000538""",
1348,Arsenic trioxide,Trisenox,3/3/1998,treatment of acute promyelocytic leukemia.,Designated/Approved,,,"For induction of remission and consolidation in patients with acute promyelocytic leukemia (APL) who are refractory to, or have relapsed from, retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation of PML/RAR-alpha gene expression.",9/25/2000,9/25/2007,,"Teva Branded Pharmaceutical Products R&D, Inc.",41 Moores Road,,Frazer,Pennsylvania,' 19355 ' ,United States,109697,acute promyelocytic leukemia,"""gard:0000538""",
1349,arsenic trioxide capsule (oral),,11/2/2015,treatment of acute promyelocytic leukemia.,Designated,,Not FDA Approved for Orphan Indication,,,,,"Syros Pharmaceuticals, Inc.","35 CambridgePark Drive, 4th Floor",,Cambridge,Massachusetts,' 02140 ' ,United States,496415,acute promyelocytic leukemia,"""gard:0000538""",
1350,artemether/lumefantrine,Coartem,8/31/2007,for the treatment of infections due to plasmodium falciparum or mixed infections including p. falciparum.,Designated/Approved,,,"Treatment of malaria in patients of 5 kg bodyweight or above with acute, uncomplicated malaria due to Plasmodium falciparum or mixed infections including P. falciparum",4/7/2009,4/7/2016,,Novartis Pharmaceuticals,Bldg 405/4051,One Health Plaza,East Hanover,New Jersey,' 07936 ' ,United States,245507,,,
1351,artemisone,,7/19/2017,treatment of malaria,Designated,,Not FDA Approved for Orphan Indication,,,,,"Artemis Therapeutics, Inc.",18 East 16th Street,Suite 307,New York,New York,' 10003 ' ,United States,590117,malaria,"""gard:0006961""",
1352,artesunate,,3/28/2006,immediate treatment of malaria,Designated/Approved,,,Artesunate for Injection is indicated for the initial treatment of severe malaria in adult and pediatric patients. Treatment of severe malaria with Artesunate for Injection should always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,5/26/2020,5/26/2027,For the initial treatment of severe malaria in adult and pediatric patients to always be followed by a complete treatment course of an appropriate oral antimalarial regimen.,Amivas Inc.,"100 Tuscanney Drive, Suite B2",,Frederick,Maryland,' 21702 ' ,United States,221206,malaria,"""gard:0006961""",
1353,artesunate,,7/22/2019,treatment of malaria,Designated/Designation Withdrawn or Revoked,7/14/2021,Not FDA Approved for Orphan Indication,,,,,La Jolla Pharmaceutical Company,4550 Towne Centre Court,,"San Diego,",California,' 92121 ' ,United States,693719,malaria,"""gard:0006961""",
1354,Artesunate,,9/5/2017,treatment of malaria,Designated,,Not FDA Approved for Orphan Indication,,,,,"Guilin Pharmaceutical Co., Ltd.",No. 43 Qilidian Road,,Guilin Guangxi,Shanghai Shi,' ' ,China,598517,malaria,"""gard:0006961""",
1355,Artesunate,,7/19/1999,treatment of malaria.,Designated,,Not FDA Approved for Orphan Indication,,,,,World Health Organization,Special Programme for Research and Training in Tro,"Via Appia ,",Geneva 27,,' ' ,Switzerland,125599,malaria,"""gard:0006961""",
1356,Arylalkyl 3-ketoindole,,12/26/2017,treatment of dengue virus infection,Designated,,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",125 Trenton-Harbourton Road,,Titusville,New Jersey,' 08560 ' ,United States,618217,,,
1357,arylsulfatase A (rhASA),,2/27/2008,treatment of metachromatic leukodystrophy,Designated,,Not FDA Approved for Orphan Indication,,,,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,' 02421 ' ,United States,254207,leukodystrophy,"""gard:0006895""",
1358,asciminib,Scemblix,2/27/2017,treatment of chronic myelogenous leukemia,Designated/Approved,,,"Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs)",10/29/2021,10/29/2028,"Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs)",Novartis Pharmaceutical Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,556416,,,
1359,asciminib,Scemblix,2/27/2017,treatment of chronic myelogenous leukemia,Designated/Approved,,,Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP) with the T315I mutation,10/29/2021,10/29/2028,Treatment of adult patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP) with the T315I mutation,Novartis Pharmaceutical Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,556416,,,
1360,ascorbic acid,,7/30/2018,treatment of cystic fibrosis,Designated,,Not FDA Approved for Orphan Indication,,,,,"Renovion, Inc.",112 South Duke Street,,Durham,North Carolina,' 27701 ' ,United States,645618,cystic fibrosis,"""gard:0006233""",
1361,ascorbic acid,,12/12/2016,treatment of lung dysfunction following lung transplant,Designated,,Not FDA Approved for Orphan Indication,,,,,"Renovion, Inc.",2 Briar Bridge Lane,,Chapel Hill,North Carolina,' 27516 ' ,United States,545816,,,
1362,ascorbic acid,Ascor,8/31/2007,treatment of scurvy,Designated/Approved,,,"for the treatment of scurvy in adult and pediatric patients age 5 months and older for whom oral administrtaion is not possible, insufficient or contraindicated",10/2/2017,10/2/2024,"for the treatment of scurvy in adult and pediatric patients age 5 months and older for whom oral administrtaion is not possible, insufficient or contraindicated",McGuff Pharmaceuticals Inc.,2921 W. MacArthur Blvd.,Suite 141,Santa Ana,California,' 92704 ' ,United States,243707,,,
1363,Asfotase alfa,Strensiq,9/12/2008,treatment of hypophosphatasia,Designated/Approved,,,For the treatment of patients with perinatal/infantile-and juvenile-onset hypophosphatasia (HPP),10/23/2015,10/23/2022,For the treatment of patients with perinatal/infantile-and juvenile-onset hypophosphatasia (HPP),"Alexion Pharmaceuticals, Inc.",100 College St.,,New Haven,Connecticut,' 06510 ' ,United States,266608,hypophosphatasia,"""gard:0006734""",
1364,aspacytarabine,,7/25/2022,treatment of myelodysplastic syndromes,Designated,,Not FDA Approved for Orphan Indication,,,,,"BioSight, Ltd.","3 Hayarden St., Airport City",P.O.B.1083,Lod,,' 7019802 ' ,Israel,835821,myelodysplastic syndrome,"""gard:0007132""",
1365,asparaginase erwinia chrysanthemi (recombinant)-rywn,Rylaze,6/22/2021,treatment of acute lymphoblastic leukemia,Designated/Approved,,,As a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia (ALL) and lymphoblastic lymphoma (LBL) in adult and pediatric patients 1 month or older who have developed hypersensitivity to E. coli-derived asparaginase.,6/30/2021,,,Jazz Pharmaceuticals Ireland Limited,"Waterloo Exchange, Waterloo Road",Fifth floor,Dublin,,' D04 E5W7 ' ,Ireland,773420,acute lymphoblastic leukemia,"""gard:0000522""",
1366,aspirin for injection (acetylsalicylic acid),,9/18/2020,treatment of kawasaki disease,Designated,,Not FDA Approved for Orphan Indication,,,,,Rhoshan Pharmaceuticals Inc.,"225 Wilmington-West Chester Pike, Suite 200",,Chadds Ford,Pennsylvania,' 19317 ' ,United States,764120,kawasaki disease,"""gard:0006816""",
1367,astuprotimut-R,,5/29/2009,treatment of mage-a3 positive non-small cell lung cancer,Designated/Designation Withdrawn or Revoked,3/11/2015,Not FDA Approved for Orphan Indication,,,,,"GlaxoSmithKline Biologicals, S.A.",Rue de I'Institut 89,,B-1330 Rixensart,,' ' ,Belgium,283709,small cell lung cancer,"""gard:0009344""",
1368,astuprotimut-R,,5/29/2009,treatment of mage-a3 positive stages iib to iv malignant melanoma,Designated/Designation Withdrawn or Revoked,10/9/2015,Not FDA Approved for Orphan Indication,,,,,"GlaxoSmithKline Biologicals, S.A.",Rue de l'Institut 89,,B-1330 Rixensart,,' ' ,Belgium,283809,noma,"""gard:0004001""",
1369,ataluren,,12/10/2014,treatment of mucopolysaccharidosis type i,Designated/Designation Withdrawn or Revoked,2/15/2018,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,455814,mucopolysaccharidosis,"""gard:0007065""",
1370,ataluren,,1/10/2005,treatment of muscular dystrophy resulting from premature stop mutations in the dystrohin gene,Designated,,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",500 Warren Corporate Center Drive,,Warren,New Jersey,' 07059 ' ,United States,197204,muscular dystrophy,"""gard:0007922""",
1371,ataluren,,9/1/2015,treatment of aniridia,Designated/Designation Withdrawn or Revoked,3/15/2023,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,490215,,,
1372,ataluren,,3/10/2008,treatment of spinal muscular atrophy,Designated/Designation Withdrawn or Revoked,3/15/2023,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,255907,,,
1373,ataluren,,9/1/2004,for use in the treatment of cystic fibrosis resulting fron a nonsense (premature stopcodon) mutation in the cystic bibrosis transmembrane conductance regulatory gene,Designated/Designation Withdrawn or Revoked,6/21/2017,Not FDA Approved for Orphan Indication,,,,,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,192004,cystic fibrosis,"""gard:0006233""",
