d.gard_id,d.name,d.synonyms
GARD:0000537,Acute non lymphoblastic leukemia,null
GARD:0000538,Acute promyelocytic leukemia,"[Acute myeloblastic leukemia type 3,Acute myeloid leukemia with t(15;17)(q22;q12);(PML/RARalpha) and variants,AML M3,AML with t(15;17)(q22;q12);(PML/RARalpha) and variants,Acute myeloblastic leukemia 3,APML]"
GARD:0000540,Medium-chain acyl-coenzyme A dehydrogenase deficiency,"[MCAD deficiency,Acyl-CoA dehydrogenase medium chain deficiency of,MCADH deficiency,ACADM deficiency,MCADD,Medium chain acyl CoA dehydrogenase deficiency,Medium-chain acyl-CoA dehydrogenase deficiency]"
GARD:0000546,Adenine phosphoribosyltransferase deficiency,"[2,8-dihydroxyadenine urolithiasis,APRT deficiency]"
GARD:0000547,Adenosine monophosphate deaminase 1 deficiency,"[AMP deaminase 1 deficiency,Myoadenylate deaminase deficiency,AMPD1 deficiency,Myopathy due to myoadenylate deaminase deficiency,MMDD,Adenosine monophosphate deaminase deficiency,AMP deaminase deficiency]"
GARD:0000548,Anemia due to Adenosine triphosphatase deficiency,[Adenosine triphosphatase deficiency anemia]
GARD:0000550,Adenylosuccinase deficiency,"[Adenylosuccinate lyase deficiency,ADSL deficiency]"
GARD:0000555,X-linked adrenal hypoplasia congenita,"[X-linked congenital adrenal hypoplasia,X-linked AHC,Adrenal hypoplasia congenita,Congenital adrenal hypoplasia]"
GARD:0000558,Adrenocortical carcinoma,[ACC]
GARD:0000559,Neonatal adrenoleukodystrophy,"[Adrenoleukodystrophy autosomal neonatal form,NALD]"
GARD:0000562,Adrenomyodystrophy,"[AMD,MAD,Mandibuloacral dysplasia]"
GARD:0000564,Spinal muscular atrophy type 4,"[Spinal muscular atrophy, adult form,SMA 4,Spinal muscular atrophy 4,Spinal muscular atrophy, proximal, adult, autosomal recessive,Adult-onset spinal muscular atrophy,Proximal spinal muscular atrophy type 4,SMA type 4,SMA type IV,SMA-IV,SMA4]"
GARD:0000572,Agyria pachygyria polymicrogyria,null
GARD:0000573,Agyria-pachygyria type 1,null
GARD:0000575,Aicardi-Goutieres syndrome,"[AGS,Aicardi Goutieres syndrome,Encephalopathy, familial infantile, with calcification of basal ganglia and chronic cerebrospinal fluid lymphocytosis,Pseudotoxoplasmosis syndrome,Encephalopathy with intracranial calcification and chronic lymphocytosis of cerebrospinal fluid,CREE ENCEPHALITIS,Encephalopathy with basal ganglia calcification]"
GARD:0000577,Akaba Hayasaka syndrome,"[Frontal bossing, cloudy corneae, low nasal ridge, and micrognathia, hypoplastic thorax, and rhizomelic micromelia]"
GARD:0000578,Akesson syndrome,"[Cutis verticis gyrata-thyroid aplasia-intellectual disability syndrome,Cutis verticis gyrata, thyroaplasia and intellectual disability syndrome]"
GARD:0000579,Aksu von Stockhausen syndrome,[Hereditary branchial arch defects]
GARD:0000581,Asrar Facharzt Haque syndrome,null
GARD:0000583,Al Gazali Aziz Salem syndrome,"[Short stature, intellectual disability, facial dysmorphism, short webbed neck, skin changes and congenital heart disease,Short stature, webbed neck, heart disease]"
GARD:0000584,Al-Gazali-Donnai-Mueller syndrome,"[Hirschsprung's disease, hypoplastic nails, and minor dysmorphic features]"
GARD:0000586,Al Gazali Khidr Prem Chandran syndrome,"[Cherubism, optic atrophy and short stature]"
GARD:0000587,Al Gazali Sabrinathan Nair syndrome,"[Osteogenesis imperfecta retinopathy seizures intellectual deficit,Al Gazali-Nair syndrome]"
GARD:0000588,Coloboma of alar-nasal cartilages with telecanthus,[Frontonasal dysplasia with alar clefts]
GARD:0000589,Albinism deafness syndrome,"[ALDS,Albinism-deafness syndrome]"
GARD:0000592,Albinism ocular late onset sensorineural deafness,"[OASD,Ocular albinism with sensorineural deafness,Deafness and ocular albinism]"
GARD:0000594,Oculocutaneous albinism type 1B,"[Albinism, yellow mutant type,OCA1B,Yellow albinism,Yellow mutant albinism]"
GARD:0000596,Albright like syndrome,null
GARD:0000600,Glycogen storage disease type 12,"[GSD12,Glycogen storage disease 12,Aldolase A deficiency,Red cell aldolase deficiency,Aldolase deficiency red cell,Aldoa deficiency]"
GARD:0000602,Allergic bronchopulmonary aspergillosis,"[ABPA,Allergic bronchopulmonary mycosis,Aspergillosis, allergic bronchopulmonary,Hinson-Pepys disease]"
GARD:0000604,Autosomal dominant palmoplantar keratoderma and congenital alopecia,"[Alopecia congenita with hyperkeratosis of the palms and soles,Autosomal dominant palmoplantar hyperkeratosis and congenital alopecia,Palmoplantar keratoderma and congenital alopecia, Stevanovic type,PPK-CA, Stevanovic type]"
GARD:0000605,Alopecia-contractures-dwarfism-intellectual disability syndrome,[Alopecia-contractures-dwarfism intellectual disabilitysyndrome]
GARD:0000606,Alopecia epilepsy oligophrenia syndrome of Moynahan,"[Moynahan alopecia syndrome,Moynahan syndrome,Alopecia-epilepsy-intellectual disability syndrome, Moynahan type]"
GARD:0000607,"Alopecia, epilepsy, pyorrhea, mental subnormality","[Alopecia, psychomotor epilepsy, pyorrhea, and mental subnormality,Shokeir syndrome,Congenital universal alopecia, epilepsy, mental subnormality and pyorrhea]"
GARD:0000612,Alopecia-intellectual disability syndrome,"[APMR1,AMR syndrome 1,Alopecia with severe intellectual deficit,Alopecia Intellectual disbility syndrome 1]"
GARD:0000613,Alopecia totalis,[Loss of all scalp hair]
GARD:0000614,Alopecia universalis,"[Alopecia areata universalis,AU]"
GARD:0000615,Alopecia universalis onychodystrophy vitiligo,"[Alopecia universalis, onychodystrophy, and total vitiligo]"
GARD:0000617,Alpha-ketoglutarate dehydrogenase deficiency,"[Alpha KGD deficiency,2 alpha ketoglutarate dehydrogenase deficiency,Oxoglutaricaciduria]"
GARD:0000621,Alpha-thalassemia,"[A-Thalassemia,Alpha thalassemia]"
GARD:0000624,Autosomal dominant Alport syndrome,"[Renal failure and sensorineural hearing loss,Alport syndrome dominant type]"
GARD:0000625,Autosomal recessive Alport syndrome,"[Alport syndrome autosomal recessive,Nephropathy and deafness,Alport syndrome recessive type]"
GARD:0000632,Familial Alzheimer disease,"[Familial Alzheimer disease,FAD]"
GARD:0000634,Leber congenital amaurosis,"[LCA,Congenital absence of the rods and cones,Congenital retinal blindness,Leber's amaurosis,Leber's congenital tapetoretinal degeneration,Leber's congenital tapetoretinal dysplasia,Amaurosis congenita of Leber]"
GARD:0000635,Leber congenital amaurosis 1,"[LCA1,Amaurosis congenita of Leber, type 1,Retinal blindness, congenital,CRB,Leber congenital amaurosis type 1]"
GARD:0000636,Leber congenital amaurosis 2,"[LCA2,Amaurosis congenita of Leber, type 2,Leber congenital amaurosis type 2]"
GARD:0000637,Amaurosis congenita cone-rod type with congenital hypertrichosis,null
GARD:0000640,Congenital amegakaryocytic thrombocytopenia,"[Thrombocytopenia congenital amegakaryocytic,CAMT]"
GARD:0000641,"Brachial amelia, cleft lip, and holoprosencephaly","[Brachial amelia, cleft lip, and forebrain defects]"
GARD:0000645,Amelogenesis imperfecta local hypoplastic,[Local hypoplastic amelogenesis imperfecta]
GARD:0000646,Amelogenesis imperfecta nephrocalcinosis,"[Enamel renal syndrome,ERS,Absent enamel, nephrocalcinosis and apparently normal calcium metabolism,Generalized enamel hypoplasia and renal dysfunction]"
GARD:0000647,Ameloonychohypohidrotic syndrome,"[Hypocalcified-hypoplastic enamel, onycholysis with subungual hyperkeratosis, and hypohidrosis]"
GARD:0000652,Amebiasis,"[Amoebic dysentery due to Entamoeba histolytica,Amoebiasis due to Entamoeba histolytica,Amebic dysentery,Intestinal amebiasis]"
GARD:0000654,Ampola syndrome,[Beta-mercaptolactate cysteine disulfiduria]
GARD:0000656,Familial transthyretin amyloidosis,"[Amyloidosis, hereditary, transthyretin-related,Transthyretin amyloidosis,Familial amyloid polyneuropathy,Amyloidosis Transthyretin related,Transthyretin amyloid neuropathy,TTR amyloid neuropathy,Transthyretin amyloid polyneuropathy,Hereditary ATTR amyloidosis]"
GARD:0000657,Amyloidosis of gingiva and conjunctiva with intellectual disability,"[Amyloidosis of gingiva and conjunctiva with mental retardation,Hornova Dlushosova syndrome]"
GARD:0000664,Anaplastic thyroid cancer,"[Thyroid cancer, anaplastic,Thyroid carcinoma, anaplastic,Anaplastic thyroid carcinoma]"
GARD:0000668,Anemia sideroblastic and spinocerebellar ataxia,"[ASAT,Sideroblastic anemia with spinocerebellar ataxia,Pagon Bird Detter syndrome,X-linked sideroblastic anemia with ataxia,X-linked sideroblastic anemia and ataxia,XLSA-A,Pagon-Bird-Detter syndrome,X-linked sideroblastic anemia and spinocerebellar ataxia]"
GARD:0000669,Anencephaly and spina bifida X-linked,[X-linked anencephaly/spina bifida]
GARD:0000670,Aneurysm of sinus of Valsalva,"[Sinus of Valsalva aneurysm,SVA]"
GARD:0000671,Angel shaped phalangoepiphyseal dysplasia,"[Angel-shaped phalango-epiphyseal dysplasia,ASPED]"
GARD:0000676,Angioma hereditary neurocutaneous,[Hereditary neurocutaneous Angioma]
GARD:0000683,Angiostrongyliasis,null
GARD:0000685,Aniridia absent patella,[Familial syndrome of aniridia and absence of the patella]
GARD:0000689,Aniridia - ptosis - intellectual disability - familial obesity,[Aniridia-ptosis-intellectual disability-familial obesity syndrome]
GARD:0000690,Aniridia renal agenesis psychomotor retardation,"[Aniridia partial with unilateral renal agenesis and psychomotor retardation,Sommer Rathbun Battles syndrome]"
GARD:0000693,Anisakiasis,"[Anisakis infection,Pseudoterranova infection]"
GARD:0000696,Ankyloblepharon filiforme adnatum cleft palate,"[Congenital filiform fusion of the eyelids with cleft palate and/or cleft lip,Ankyloblepharon filiforme adnatum,Ankyloblepharon filiforme congenitum]"
GARD:0000697,Ankyloblepharon filiforme imperforate anus,null
GARD:0000701,Ankylosis of teeth,"[Molar I reinclusion,Dental ankylosis,Secondary retention of permanent molars,Abnormal fusion of dental cementum with alveolar bone]"
GARD:0000704,Annular constricting bands,null
GARD:0000705,Annular pancreas,"[Pancreas, annular]"
GARD:0000708,Anonychia ectrodactyly,null
GARD:0000710,Onychodystrophy-anonychia,[Absent nails and dystrophic nails]
GARD:0000711,Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly,[Autosomal dominant onychodystrophy and anonychia with type B brachydactyly and ectrodactyly]
GARD:0000713,Microphthalmia syndromic 9,"[MCOPS9,Matthew Wood syndrome,Clinical anophthalmia mild facial dysmorphism lung heart and diaphragm malformations,Anophthalmia/microphthalmia and pulmonary hypoplasia,Spear syndrome,Pulmonary agenesis microphthalmi and diaphragmatic defect]"
GARD:0000715,Anophthalmia cleft palate micrognathia,null
GARD:0000716,Anophthalmia esophageal atresia cryptorchidism,null
GARD:0000717,Anophthalmia megalocornea cardiopathy skeletal anomalies,null
GARD:0000719,Anophthalmia plus syndrome,"[Fryns microphthalmia syndrome,Fryns anophthalmia syndrome,Microphthalmia with facial clefting,Anophthalmia, cleft lip/palate, facial anomalies, and CNS anomalies and hypothalamic disorder,Leichtman Wood Rohn syndrome]"
GARD:0000722,Anophthalmos with limb anomalies,"[Anophthalmia Waardenburg syndrome,Waardenburg anophthalmia syndrome,Anophthalmos-syndactyly,Ophthalmoacromelic syndrome]"
GARD:0000725,Anotia facial palsy cardiac defect,null
GARD:0000730,Anti-HLA hyperimmunization,null
GARD:0000731,"Anti-plasmin deficiency, congenital","[Antiplasmin deficiency, congenital,Alpha-2-plasmin inhibitor deficiency]"
GARD:0000732,Antigen-peptide-transporter 2 deficiency,[TAP 2 deficiency]
GARD:0000735,Antisynthetase syndrome,"[Anti-Jo1 syndrome,AS syndrome]"
GARD:0000736,Hereditary antithrombin deficiency type I,"[Inherited antithrombin deficiency type I,Hereditary antithrombin deficiency type 1,Inherited antithrombin deficiency classic type]"
GARD:0000738,Aorta-pulmonary artery fistula,"[Aortopulmonary fistula,Aorto-pulmonary artery fistula]"
GARD:0000739,Aortic arch anomaly - peculiar facies - intellectual disability,"[Familial syndrome of right-sided aortic arch, mental deficiency, and facial dysmorphism,Aortic arch anomaly-peculiar facies-intellectual disability syndrome,Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome]"
GARD:0000740,Aortic arch interruption,null
GARD:0000741,Aortic arches defect,[Aortic arch defects]
GARD:0000742,Aortic dissection lentiginosis,null
GARD:0000743,Supravalvular aortic stenosis,"[SVAS,Supravalvar aortic stenosis, Eisenberg type,Aortic supravalvular stenosis]"
GARD:0000744,Aortic valves stenosis of the child,null
GARD:0000745,Aortopulmonary window,"[Aortic-pulmonary window,Aortopulmonary septal defect,Aorto-pulmonary window]"
GARD:0000748,Aphalangia partial with syndactyly and duplication of metatarsal IV,null
GARD:0000753,Aplasia cutis congenita intestinal lymphangiectasia,[ACC with intestinal lymphangiectasia]
GARD:0000754,Aplasia cutis congenita of limbs recessive,"[Congenital absence of skin on the upper or lower limbs,Recessive aplasia cutis congenita of the limbs]"
GARD:0000756,Aplasia cutis myopia,null
GARD:0000758,Apo A-I deficiency,null
GARD:0000759,Apolipoprotein C-II deficiency,"[Hyperlipoproteinemia, type Ib,APOC2 deficiency]"
GARD:0000763,"Amino aciduria with mental deficiency, dwarfism, muscular dystrophy, osteoporosis and acidosis",null
GARD:0000764,Arachnodactyly - intellectual disability - dysmorphism,"[De Die-Smulders-Vles-Fryns syndrome,Arachnodactyly-intellectual disability-dysmorphism syndrome]"
GARD:0000770,Aromatic L-amino acid decarboxylase deficiency,"[Aromatic amino acid decarboxylase deficiency,AADC deficiency,DDC deficiency,Dopa decarboxylase deficiency]"
GARD:0000771,Arroyo Garcia Cimadevilla syndrome,"[Bilateral anophthalmia, esophageal atresia, and right cryptorchidism]"
GARD:0000774,Arterial tortuosity syndrome,"[Arterial tortuosity,ATS]"
GARD:0000777,Arthrogryposis multiplex congenita,"[Arthrogryposis,Congenital multiple arthrogryposis,Fibrous ankylosis of multiple joints,Congenital arthromyodysplasia,Myodystrophia fetalis deformans,Guérin-Stern syndrome,Otto syndrome,Rocher-Sheldon syndrome,Rossi syndrome,Guerin-Stern syndrome]"
GARD:0000779,Arthrogryposis due to muscular dystrophy,null
GARD:0000781,Arthrogryposis epileptic seizures migrational brain disorder,[Arthrogryposis multiplex congenita with epileptic seizures and migrational brain disorder]
GARD:0000782,Arthrogryposis IUGR thoracic dystrophy,[Van Bervliet syndrome]
GARD:0000784,Arthrogryposis-like hand anomaly and sensorineural deafness,"[Arthrogryposis, distal, type 6,DA6,Familial hand abnormality and sensori-neural deafness,Distal arthrogryposis type 6]"
GARD:0000785,Arthrogryposis multiplex congenita CNS calcification,null
GARD:0000786,Distal arthrogryposis,[Arthrogryposis multiplex congenita distal]
GARD:0000787,Distal arthrogryposis type 1,"[AMCD1,Digitotalar dysmorphism,Arthrogryposis multiplex congenita distal type 1,Distal arthrogryposis type 1B (sub-type),Distal arthrogryposis type 1A (sub-type),DA1A]"
GARD:0000790,Arthrogryposis multiplex congenita neurogenic type,"[AMCN,AMC, neurogenic type,Neurogenic type of AMC]"
GARD:0000791,Arthrogryposis multiplex congenita pulmonary hypoplasia,"[Arthrogryposis multiplex congenita, pulmonary hypoplasia, cryptorchidism, and unusual ophthalmological findings]"
GARD:0000792,Arthrogryposis multiplex congenita whistling face,"[Illum syndrome,Lethal autosomal recessive arthrogryposis multiplex congenita with whistling face and calcifications of the nervous system,Arthrogryposis multiplex congenita-whistling face syndrome]"
GARD:0000794,Arthrogryposis renal dysfunction cholestasis syndrome,"[ARC syndrome,Arthrogryposis multiplex congenita, renal dysfunction, and cholestasis,Arthrogryposis - renal dysfunction - cholestasis,Arthrogryposis-renal dysfunction-cholestasis syndrome]"
GARD:0000795,Arthrogryposis spinal muscular atrophy,null
GARD:0000802,Atrioventricular septal defect,null
GARD:0000804,Alagille syndrome,"[Hepatic ductular hypoplasia,Watson Alagille syndrome,Alagille-Watson syndrome,Cholestasis with peripheral pulmonary stenosis,Arteriohepatic dysplasia,Paucity of interlobular bile ducts,Cardiovertebral syndrome,Watson-Miller syndrome,Hepatofacioneurocardiovertebral syndrome]"
GARD:0000806,Spastic paraplegia facial cutaneous lesions,[Bahemuka Brown syndrome]
GARD:0000808,Baker Vinters syndrome,[Hydrocephalus with cerebral aqueductal dysgenesis and craniofacial anomalies]
GARD:0000809,Balantidiasis,"[Human balantidiasis,Balantidiosis,Large-intestinal infection with Balantidium coli,Balantidium coli infection,B coli infection]"
GARD:0000812,Bangstad syndrome,"[Bird-headed dwarfism with progressive ataxia, insulin-resistant diabetes, goiter and primary gonadal insufficiency]"
GARD:0000813,Banki syndrome,"[Fusion of the lunate and cuneiform bones of the wrist, clinodactyly, clinometacarpy, brachymetacarpy and leptometacarpy (thin diaphysis)]"
GARD:0000816,Orofaciodigital syndrome 4,"[OFD4,Orofaciodigital syndrome with tibial dysplasia,Baraitser-Burn syndrome,OFD syndrome with tibial defects,OFD syndrome 4,Oral-facial-digital syndrome type 4,Orofaciodigital syndrome IV,Oral facial digital syndrome type 4,Oral facial digital syndrome 4,OFDS 4]"
GARD:0000819,Barber Say syndrome,"[Hypertrichosis, atrophic skin, ectropion, and macrostomia,Hypertrichosis atrophic skin ectropion macrostomia]"
GARD:0000820,Bardet-Biedl syndrome 1,"[BBS1,Bardet-Biedl syndrome,BBS]"
GARD:0000821,Bardet-Biedl syndrome 2,"[BBS2,Bardet-Biedl syndrome,BBS]"
GARD:0000822,Bardet-Biedl syndrome 3,null
GARD:0000823,Bardet-Biedl syndrome 4,null
GARD:0000824,Bare lymphocyte syndrome 2,"[Bare lymphocyte syndrome type 2,BLS 2,Severe combined immunodeficiency, HLA class ii-negative,SCID, HLA Class 2-Negative]"
GARD:0000825,Barnicoat Baraitser syndrome,"[Barnicoat-Baraitser syndrome,Polysyndactyly overgrowth syndrome]"
GARD:0000826,Frontometaphyseal dysplasia,null
GARD:0000830,Bartter syndrome antenatal type 1,"[Hypokalemic alkalosis with hypercalciuria antenatal 1,Hyperprostaglandin E syndrome 1,Antenatal Bartter Syndrome type 1]"
GARD:0000833,Basaran Yilmaz syndrome,"[Keratoderma, hypotrichosis and leukonychia totalis]"
GARD:0000835,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,"[Benign muscular dystrophy with hypergonadotrophic hypogonadism and congenital cataract,Bassoe syndrome]"
GARD:0000836,Battaglia-Neri syndrome,"[Epilepsy - microcephaly - skeletal dysplasia,Mental retardation, microcephaly, epilepsy, and coarse face]"
GARD:0000838,Bazex-Dupre-Christol syndrome,"[BDCS,Bazex syndrome,BZX,Follicular atrophoderma-basocellular proliferations-hypotrichosis syndrome,Follicular atrophoderma-basal cell carcinoma syndrome,Follicular atrophoderma and basal cell carcinomas,Bazex-Dupré-Christol syndrome]"
GARD:0000841,Bd syndrome,null
GARD:0000842,Ankylosing vertebral hyperostosis with tylosis,[Familial ankylosing vertebral hyperostosis with tylosis]
GARD:0000846,Beemer Ertbruggen syndrome,"[Beemer lethal malformation syndrome,Hydrocephalus, cardiac malformation, dense bones, etc,Peculiar facial appearance, hydrocephalus, double-outlet right ventricle, genital anomalies and dense bones with lethal outcome]"
GARD:0000848,Behçet disease,"[Behçet's syndrome,Behçet syndrome,BD,Behcet syndrome,Behcet's disease,Behçet’s disease,Behcet's syndrome,Behçet's disease]"
GARD:0000849,Behr syndrome,"[Optic atrophy, infantile hereditary, Behr complicated form of,Optic atrophy in early childhood, associated with ataxia, spasticity, mental retardation, and posterior column sensory loss,OBSOLETE: Behr syndrome]"
GARD:0000852,Ben Ari Shuper Mimouni syndrome,"[Agenesis of corpus callosum with double urinary collecting system, trigonocephaly and minor anomalies]"
GARD:0000853,Benallegue Lacete syndrome,[Cloverleaf skull and asphyxiating thoracic dysplasia]
GARD:0000855,Benign autosomal dominant myopathy,null
GARD:0000856,"Convulsions, benign familial infantile, 1","[BFIC1,BFIC,BFIS1,Seizures, benign familial infantile, 1,Benign infantile familial convulsions,Benign familial infantile convulsions syndrome]"
GARD:0000857,Benign familial infantile epilepsy,null
GARD:0000860,Van Benthem-Driessen-Hanveld syndrome,"[Cryptorchidism arachnodactyly intellectual deficit,Cryptorchidism-arachnodactyly-intellectual disability syndrome]"
GARD:0000863,IgA nephropathy,"[Nephritis, IGA type,IGAN,Glomerulonephritis, IGA,Berger's disease,Berger disease]"
GARD:0000867,Beryllium disease,"[Subacute Berylliosis,Reversible Berylliosis,Acute Berylliosis,Chronic pulmonary Berylliosis,Beryllliosis]"
GARD:0000869,"Mannosidosis, beta A, lysosomal","[Beta-mannosidosis,Lysosomal beta-mannosidase deficiency,Beta-mannosidase deficiency]"
GARD:0000870,Beta-sarcoglycanopathy,null
GARD:0000871,Beta-thalassemia,"[Beta thalassemia major,Cooley's anemia,Beta thalassemia intermedia,Beta thalassemia minor,Erythroblastic anemia,Mediterranean anemia,Thalassemia, Hispanic gamma-delta-beta,Thalassemias, beta-]"
GARD:0000872,Beta ketothiolase deficiency,"[Alpha-methylacetoaceticaciduria,2-methyl-3-hydroxybutyricacidemia,Mitochondrial acetoacetyl-CoA Thiolase deficiency,3-oxothiolase deficiency,3-ketothiolase deficiency]"
GARD:0000873,Bethlem myopathy,"[Myopathy, benign congenital, with contractures,Muscular dystrophy, benign congenital]"
GARD:0000878,Bidirectional tachycardia,[Bidirectional ventricular tachycardia]
GARD:0000881,Biemond syndrome type 1,null
GARD:0000882,Biemond syndrome 2,"[Iris coloboma, mental retardation, obesity, hypogenitalism, and postaxial polydactyly,BS2]"
GARD:0000884,Bifid nose,"[Median fissure of nose,Nose, median cleft of]"
GARD:0000885,Bilateral renal agenesis dominant type,null
GARD:0000887,Biliary atresia intrahepatic non syndromic form,null
GARD:0000888,Biliary atresia intrahepatic syndromic form,null
GARD:0000892,Billet Bear syndrome,[Lower limb partial duplication renal agenesis]
GARD:0000893,Fallot complex with severe mental and growth retardation,[Bindewald Ulmer Muller syndrome]
GARD:0000894,Biotinidase deficiency,"[Biotin deficiency,BTD deficiency,Late-onset biotin-responsive multiple carboxylase deficiency,Late-onset multiple carboxylase deficiency]"
GARD:0000895,"Microcephalic primordial dwarfism, Montreal type","[Bird-headed dwarfism with features of premature senility,Premature senility, premature graying and loss of scalp hair and wrinkled skin of the palms]"
GARD:0000897,Bixler Christian Gorlin syndrome,"[HMC syndrome,Hypertelorism microtia facial clefting syndrome]"
GARD:0000902,Blepharo naso facial syndrome Van maldergem type,null
GARD:0000905,"Blepharophimosis with ptosis, syndactyly, and short stature","[Frydman Cohen Karmon syndrome,Blepharophimosis - ptosis - esotropia - syndactyly - short stature]"
GARD:0000912,Blepharoptosis myopia ectopia lentis,"[Dominantly inherited blepharoptosis, high myopia, and ectopia lentis]"
GARD:0000914,Chondrodysplasia Blomstrand type,"[BOCD,Blomstrand's lethal chondrodysplasia,Blomstrand lethal osteochondrodysplasia]"
GARD:0000915,Bloom syndrome,"[BS,Bloom-Torre-Machacek syndrome,BLM,Growth deficiency, sun-sensitive, telangiectatic, hypo and hyperpigmented skin, predisposition to malignancy and chromosomal instability,BLS,Congenital Telangiectatic Erythema]"
GARD:0000916,Blount disease,"[Tibia vara,Osteochondrosis deformans tibiae,Blount's disease,Blount-Barber syndrome,Erlacher-Blount syndrome,Osteochondrosis deformans tibiae, familial infantile type]"
GARD:0000917,Blue cone monochromatism,"[CBBM,BCM,Color blindness blue mono cone monochromatic type,X-chromosome-linked achromatopsia,Incomplete achromatopsia X-linked,X-linked achromatopsia incomplete,Achromatopsia incomplete X-linked]"
GARD:0000918,BOD syndrome,"[Brachymorphism-onychodysplasia-dysphalangism syndrome,Brachymorphism onychodysplasia dysphalangism syndrome]"
GARD:0000920,Bone dysplasia Azouz type,null
GARD:0000921,Bone dysplasia corpus callosum agenesis,null
GARD:0000922,Bone dysplasia lethal Holmgren type,null
GARD:0000923,Bone dysplasia Moore type,null
GARD:0000932,Book syndrome,"[Premolar aplasia, hyperhidrosis, and canities prematura,PHC syndrome]"
GARD:0000933,Boomerang dysplasia,"[Dwarfism with short, bowed, rigid limbs and characteristic facies,Boomerang-like skeletal dysplasia]"
GARD:0000936,Borjeson-Forssman-Lehmann syndrome,"[Borjeson Syndrome,BFLS,BORJ,Mental deficiency, epilepsy and endocrine disorders,Intellectual deficiency-epilepsy-endocrine disorders syndrome,Intellectual disability-epilepsy-endocrine disorders syndrome]"
GARD:0000938,Bork Stender Schmidt syndrome,"[Bork syndrome,Uncombable hair, retinal pigmentary dystrophy, dental anomalies, and brachydactyly]"
GARD:0000939,Borrone Di Rocco Crovato syndrome,[Borrone dermatocardioskeletal syndrome]
GARD:0000942,Bothriocephalosis,null
GARD:0000943,Botulism,"[Foodborne botulism (subtype),Infant botulism (subtype),Wound botulism (subtype)]"
GARD:0000944,Ataxia - hypogonadism - choroidal dystrophy,"[Chorioretinal dystrophy, spinocerebellar ataxia and hypogonadotropic hypogonadism,Boucher-Neuhäuser syndrome,Ataxia-hypogonadism-choroidal dystrophy syndrome]"
GARD:0000945,Boudhina Yedes Khiari syndrome,"[Familial syndrome combining short stature, microcephaly, mental deficiency, seizures, hearing loss, and skin lesions]"
GARD:0000953,Bowing of long bones congenital,null
GARD:0000954,Boylan Dew Greco syndrome,[Congenital hypomyelination neuropathy with arthrogryposis multiplex congenita]
GARD:0000955,Brachioskeletogenital syndrome,"[BSG syndrome,Branchio-skeleto-genital syndrome,Branchioskeletogenital syndrome,Elsahy-Waters syndrome]"
GARD:0000957,Brachycephalofrontonasal dysplasia,"[Hypertelorism, Teebi type,Teebi hypertelorism syndrome,Craniofrontonasal dysplasia, Teebi type]"
GARD:0000958,Fine-Lubinsky syndrome,"[Brachycephaly, deafness, cataract and mental retardation]"
GARD:0000959,Brachydactyly types B and E combined,"[Pitt Williams brachydactyly,Brachydactyly Ballard type,Brachydactyly combined B and E types,Ballard syndrome]"
GARD:0000960,Brachydactylous dwarfism Mseleni type,[Brachydactylous dwarfs of Mseleni]
GARD:0000961,Brachydactyly absence of distal phalanges,null
GARD:0000962,Brachydactyly anonychia,null
GARD:0000963,Brachydactyly type A3,"[BDA3,Brachymesophalangy 5,Brachydactyly-clinodactyly]"
GARD:0000966,Brachydactyly elbow wrist dysplasia,"[Liebenberg syndrome,brachydactyly with joint dysplasia,carpal synostosis with dysplastic elbow joints and brachydactyly]"
GARD:0000967,Brachydactyly with hypertension,"[Brachydactyly type E with short stature and hypertension,HTNB,Bilginturan syndrome]"
GARD:0000968,Brachydactyly long thumb type,[Long-thumb brachydactyly syndrome]
GARD:0000971,Biemond syndrome,"[Brachydactyly, nystagmus and cerebellar ataxia,Brachydactyly - nystagmus - cerebellar ataxia,Brachydactyly-nystagmus-cerebellar ataxia syndrome]"
GARD:0000972,Brachydactyly preaxial with hallux varus and thumb abduction,[Dominant preaxial brachydactyly with hallux varus and thumb abduction]
GARD:0000974,Brachydactyly small stature face anomalies,null
GARD:0000977,Brachydactyly tibial hypoplasia,null
GARD:0000978,Brachydactyly type A1,"[BDA1,Brachydactyly Farabee type]"
GARD:0000979,Brachydactyly type A2,"[BDA2,Mohr-Wriedt type brachydactyly,Brachymesophalangy 2]"
GARD:0000982,Brachydactyly type A5,"[Absent middle phalanges of digits 2-5 with nail dysplasia,Brachydactyly with absence of middle phalanges and hypoplastic nails,Brachydactyly type A5 nail dysplasia]"
GARD:0000983,Brachydactyly type A6,"[BDA6,Brachymesophalangy with mesomelic short limbs and carpal and tarsal osseous abnormalities,Osebold-Remondini syndrome]"
GARD:0000984,Brachydactyly type A7,[Brachydactyly Smorgasbord type]
GARD:0000985,Brachydactyly type B,null
GARD:0000986,Brachydactyly type C,"[BDC,Brachydactyly Haws type]"
GARD:0000987,Brachydactyly type E,[Type E brachydactyly]
GARD:0000988,Brachymesomelia renal syndrome,"[Severe upper limb brachymesomelia, glomerulocystic renal dysplasia, cranial and facial abnormalities, corneal opacities]"
GARD:0000989,Brachymesophalangy type 2,null
