Display Name,UNII,Status,Record Protection Status,Expr1004,Generic Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication * (Shown for approvals from Jan,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
LEVOCABASTINE HYDROCHLORIDE,124XMA6YEI,Designated/Withdrawn,Public record,179,Levocabastine HCl ophthalmic suspension 0.05%,2/29/1988,Treatment of vernal keratoconjunctivitis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Iolab Pharmaceuticals,500 Iolab Drive,,Claremont,California,91711,United States,24787
HEME ARGINATE,R1B526117P,Designated,Public record,180,Heme arginate,3/10/1988,Treatment of symptomatic stage of acute porphyria.,Designated,Not FDA Approved for Orphan Indication,,,,,Orphan Europe SARL,Immeuble Le Wilson,70 avenue du General de Gaulle,Puteaux,,,France,9185
PROPAMIDINE ISETHIONATE,7T9IJ84C42,Designated/Withdrawn,Public record,181,Propamidine isethionate 0.1% ophthalmic solution,3/10/1988,Treatment of acanthamoeba keratitis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Bausch & Lomb,Pharmaceuticals Division,8500 Hidden River Parkway,Tampa,Florida,33637,United States,27288
EDRECOLOMAB,0KYI9U9FSJ,Designated/Withdrawn,Public record,182,Monoclonal antibody 17-1a,4/4/1988,Treatment of pancreatic cancer.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Centocor, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,19355,United States,27388
MEFLOQUINE HYDROCHLORIDE,5Y9L3636O3,Designated/Approved,Public record,183,mefloquine HCL,4/13/1988,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs",Designated/Approved,,Treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax,5/2/1989,5/2/1996,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,26287
MEFLOQUINE HYDROCHLORIDE,5Y9L3636O3,Designated/Approved,Public record,184,mefloquine HCL,4/13/1988,"For use in the treatment of acute malaria due to Plasmodium falciparum and Plasmodium vivax, and for the prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs",Designated/Approved,,Prophylaxis of Plasmodium falciparum malaria which is resistant to other available drugs,5/3/1989,5/3/1996,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,26287
MEGESTROL ACETATE,TJ2M0FR8ES,Designated/Approved,Public record,185,Megestrol acetate,4/13/1988,"Treatment of patients with anorexia, cachexia, or significant weight loss (=/>10% of baseline body weight) and confirmed diagnosis of AIDS.",Designated/Approved,,"Treatment of anorexia, cachexia, or an unexplained significant weight loss in patients with a diagnosis of acquired immune deficiency syndrome.",9/10/1993,9/10/2000,,Bristol-Myers Squibb Pharmaceutical Research Institute,2400 West Lloyd Expressway,,Evansville,Indiana,47721,United States,26187
VITAMIN E POLYETHYLENE GLYCOL SUCCINATE,O03S90U1F2,Designated/Withdrawn,Public record,186,Tocophersolan oral solution (vitamin E-tpgs),4/15/1988,Treatment of vitamin E deficiency resulting from malabsorption due to prolonged cholestatic hepatobiliary disease.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Sterling Winthrop,9 Great Valley Parkway,,Malvern,Pennsylvania,19355,United States,22687
A-TRISACCHARIDE,P104QT2V1B,Designated,Public record,187,Trisaccharides A and B,4/15/1988,Prevention of ABO medical hemolytic reactions arising from ABO-incompatible bone marrow transplantation.,Designated,Not FDA Approved for Orphan Indication,,,,,"Chembiomed, Ltd.","P.O. Box 8050, Station F",T6H 4NP,,,,Canada,27988
B-TRISACCHARIDE,2P888H42QS,Designated,Public record,187,Trisaccharides A and B,4/15/1988,Prevention of ABO medical hemolytic reactions arising from ABO-incompatible bone marrow transplantation.,Designated,Not FDA Approved for Orphan Indication,,,,,"Chembiomed, Ltd.","P.O. Box 8050, Station F",T6H 4NP,,,,Canada,27988
INTERFERON ALFA-2A,47RRR83SK7,Designated,Public record,188,Interferon alfa-2a (recombinant),4/18/1988,Treatment of renal cell carcinoma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,27488
INTERFERON ALFA-2B,43K1W2T1M6,Designated/Withdrawn,Public record,189,Interferon alfa-2b (recombinant),4/18/1988,Treatment of invasive carcinoma of the cervix.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,20387
PRAZIQUANTEL,6490C9U457,Designated/Withdrawn,Public record,190,Praziquantel,4/18/1988,Treatment of neurocysticercosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"EM Pharmaceuticals, Inc.",,,,,,,19487
INTERFERON ALFA-2B,43K1W2T1M6,Designated/Withdrawn,Public record,191,Interferon alfa-2b (recombinant),5/13/1988,Treatment of primary malignant brain tumors.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,21087
COAGULATION FACTOR VIIA RECOMBINANT HUMAN,AC71R787OV,Designated/Approved,Public record,193,Coagulation factor VIIa (recombinant),6/6/1988,Treatment of bleeding episodes in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX.,Designated/Approved,,Treatment of bleeding episodes in hemophilia A or B patients with inhibitors to Factor VIII or Factor IX.,3/25/1999,3/25/2006,,"Novo Nordisk, Inc.",100 Overlook Center,Suite 200,Princeton,New Jersey,8540,United States,26588
PIRITREXIM ISETHIONATE,V77I71FH72,Designated/Withdrawn,Public record,194,Piritrexim isethionate,6/13/1988,"Treatment of infections caused by Pneumocystis carinii, Toxoplasma gondii, and Mycobacterium avium-intracellulare.",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Burroughs Wellcome Company,3030 Cornwallis Road,P.O. Box 12700,Research Triangle Park,North Carolina,27709,United States,29188
ACONIAZIDE,8OKQ9NS8MO,Designated/Withdrawn,Public record,195,Aconiazide,6/20/1988,Treatment of tuberculosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Lincoln Diagnostics,P.O. Box 1128,,Decatur,Illinois,62525,United States,28288
SOMATOSTATIN,6E20216Q0L,Designated,Public record,196,Somatostatin,6/20/1988,"Adjunct to the non-operative management of secreting cutaneous fistulas of the stomach, duodenum, small intestine (jejunum and ileum), or pancreas.",Designated,Not FDA Approved for Orphan Indication,,,,,"Ferring Laboratories, Inc.","400 Rella Boulevard, Suite 201",,Suffern,New York,10901,United States,21587
DIDANOSINE,K3GDH6OH08,Designated/Withdrawn,Public record,197,Dideoxyinosine,6/22/1988,Treatment of acquired immunodeficiency syndrome.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Bristol-Myers Squibb,2400 West Lloyd Expressway,,Evansville,Indiana,47721,United States,29488
ETHINYL ESTRADIOL,423D2T571U,Designated/Withdrawn,Public record,198,"Ethinyl Estradiol, USP",6/22/1988,Treatment of Turner's syndrome.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Bio-Technology General Corp.,"70 Wood Avenue, South",,Iselin,New Jersey,8830,United States,28788
LEUCOVORIN CALCIUM,RPR1R4C0P4,Designated/Withdrawn,Public record,199,Leucovorin calcium,6/23/1988,For use in combination with 5-fluorouracil for the treatment of metastatic colorectal cancer.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Glaxo Wellcome Research and Development,5 Moore Drive,PO Box 13398,Research Triangle Park,North Carolina,27709,United States,29288
ZALCITABINE,6L3XT8CB3I,Designated/Approved,Public record,200,Zalcitabine,6/28/1988,Treatment of AIDS.,Designated/Approved,,Combination therapy with zidovudine is indicated for the treatment of adult patients with advanced HIV infection (CD4 count < 300) who have demonstrated malignant clinical or immunologic deterioration.,6/19/1992,6/19/1999,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,28388
NAFARELIN ACETATE,8ENZ0QJW4H,Designated/Approved,Public record,202,Nafarelin acetate,7/20/1988,Treatment of central precocious puberty.,Designated/Approved,,Treatment of central precocious puberty (gonadotropin-dependent precocious puberty) in children of both sexes.,2/26/1992,2/26/1999,,"Syntex (USA), Inc.",3401 Hillview Avenue,,Palo Alto,California,94303,United States,29888
EPOETIN ALFA,,Designated/Withdrawn,Public record,203,Epoetin alpha,7/21/1988,Treatment of anemia of prematurity in preterm infants.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Janssen Research & Development, LLC",1400 McKean Road,P.O. Box 776,Spring House,Pennsylvania,19477,United States,21987
IDARUBICIN HYDROCHLORIDE,5VV3MDU5IE,Designated/Approved,Public record,204,Idarubicin HCl for injection,7/25/1988,"Treatment of acute myelogenous leukemia, also referred to as acute nonlymphocytic leukemia.",Designated/Approved,,,9/27/1990,9/27/1997,,"Adria Laboratories, Inc.",P.O. Box 16529,,Columbus,Ohio,43216,United States,29388
LEUPROLIDE ACETATE,37JNS02E7V,Designated/Approved,Public record,205,leuprolide acetate,7/25/1988,Treatment of central precocious puberty,Designated/Approved,,treatment of pediatric patients with central precocious puberty (CPP),4/14/2023,,,AbbVie Endocrine Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,28688
LEUPROLIDE ACETATE,37JNS02E7V,Designated/Approved,Public record,206,Leuprolide acetate,7/25/1988,Treatment of central precocious puberty,Designated/Approved,,Treatment of children with central precocious puberty,4/16/1993,4/16/2000,,AbbVie Endocrine Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,28688
COLFOSCERIL PALMITATE,319X2NFW0A,Designated,Public record,207,Dipalmitoylphosphatidylcholine /phosphatidylglycerol,7/28/1988,Prevention and treatment of neonatal respiratory distress syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,"Forum Products, Inc.",33 Flying Point Road,,Southampton,New York,11968,United States,29688
"""DIPALMITOYLPHOSPHATIDYLGLYCEROL, DL-""",VA9U6BR3SB,Designated,Public record,207,Dipalmitoylphosphatidylcholine /phosphatidylglycerol,7/28/1988,Prevention and treatment of neonatal respiratory distress syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,"Forum Products, Inc.",33 Flying Point Road,,Southampton,New York,11968,United States,29688
HISTRELIN ACETATE,QMG7HLD1ZE,Designated/Approved,Public record,208,Histrelin acetate,8/10/1988,Treatment of central precocious puberty.,Designated/Approved,,Treatment of central precocious puberty.,12/24/1991,12/24/1998,,Roberts Pharmaceutical Corp.,Meridian Center III,6 Industrial Way West,Eatontown,New Jersey,7724,United States,16986
INTERFERON ALFA-2B,43K1W2T1M6,Designated/Withdrawn,Public record,209,Interferon alfa-2b (recombinant),8/10/1988,Treatment of carcinoma in situ of the urinary bladder.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,20487
INTERFERON ALFA-2B,43K1W2T1M6,Designated/Withdrawn,Public record,210,Interferon alfa-2b (recombinant),8/17/1988,Treatment of laryngeal (respiratory) papillomatosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,21487
LEUCOVORIN,Q573I9DVLP,Designated/Approved,Public record,211,Leucovorin,8/17/1988,For rescue use after high dose methotrexate therapy in the treatment of osteosarcoma.,Designated/Approved,,,8/31/1988,8/31/1995,,Immunex Corporation,51 University Street,,Seattle,Washington,98101,United States,30588
LEVOCARNITINE,0G389FZZ9M,Designated/Approved,Public record,213,Levocarnitine,9/6/1988,Treatment of manifestations of carnitine deficiency in patients with end stage renal disease who require dialysis.,Designated/Approved,,Prevention and treatment of carnitine deficiency in patients with end stage renal disease who are undergoing dialysis.,12/15/1999,12/15/2006,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,27888
PHOSPHOCYSTEAMINE,WFH6A9S0V4,Designated/Withdrawn,Public record,215,Phosphocysteamine,9/12/1988,Treatment of cystinosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Medea Research Laboratories,Port Jefferson Business Center,"200 Wilson Street, Building D-6",Port Jefferson,New York,11776,United States,29588
ALDESLEUKIN,M89N0Q7EQR,Designated/Approved,Public record,216,Aldesleukin,9/14/1988,Treatment of metastatic renal cell carcinoma.,Designated/Approved,,Treatment of adults (>18 years old) with metastatic renal cell carcinoma.,5/5/1992,5/5/1999,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608,United States,29088
SERMORELIN ACETATE,00IBG87IQW,Designated/Approved,Public record,217,Sermorelin acetate,9/14/1988,Treatment of idiopathic or organic growth hormone deficiency in children with growth failure.,Designated/Approved,,,9/26/1997,9/26/2004,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,24687
THALIDOMIDE,4Z8R6ORS6L,Designated,Public record,218,thalidomide,9/19/1988,1. Treatment of graft versus host disease in patients receiving bone marrow transplantation 2. Prevention of graft versus host disease in patients receiving bone marrow transplantation,Designated,Not FDA Approved for Orphan Indication,,,,,"Pediatric Pharmaceuticals, Inc.",718 Bradford Avenue,,Westfield,New Jersey,7090,United States,30788
BETHANIDINE SULFATE,J4THI5N7O2,Designated/Withdrawn,Public record,219,Bethanidine sulfate,9/20/1988,Treatment of primary ventricular fibrillation.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Medco Research, Inc.",8455 Beverly Blvd.,Suite 308,Los Angeles,California,90048,United States,26087
CAFFEINE,3G6A5W338E,Designated/Approved,Public record,220,Caffeine,9/20/1988,Treatment of apnea of prematurity.,Designated/Approved,,Short term treatment of apnea of prematurity in infants between 28 and less than 33 weeks gestational age.,9/21/1999,9/21/2006,,"O.P.R. Development, L.P.",1501 Wakarusa Drive,,Lawrence,Kansas,66047,United States,31288
INOSINE PRANOBEX,W1SO0V223F,Designated,Public record,221,Inosine pranobex,9/20/1988,Treatment of subacute sclerosing panencephalitis.,Designated,Not FDA Approved for Orphan Indication,,,,,Newport Pharmaceuticals,897 West Sixteenth Street,,Newport Beach,California,92663,United States,26888
SOTALOL HYDROCHLORIDE,HEC37C70XX,Designated/Approved,Public record,222,Sotalol HCl,9/23/1988,1. Treatment of life-threatening ventricular tachyarrhythmias 2. Prevention of life treatening ventricular tachyarrhythmias,Designated/Approved,,Treatment of life-threatening ventricular tachyarrhythmias,10/30/1992,10/30/1999,,"Berlex Laboratories, Inc.",300 Fairfield Road,,Wayne,New Jersey,7470,United States,30088
INTERFERON GAMMA-1B,21K6M2I7AG,Designated/Approved,Public record,223,Interferon gamma 1-b,9/30/1988,Treatment of chronic granulomatous disease.,Designated/Approved,,,12/20/1990,12/20/1997,,Horizon Therapeutic Ireland DAC,"Connaught House, 1st Floor",1 Burlington Road,Dublin 4,,,Ireland,29788
CLINDAMYCIN,3U02EL437C,Designated,Public record,226,Clindamycin,10/28/1988,Prevention of Pneumocystis carinii pneumonia in AIDS patients.,Designated,Not FDA Approved for Orphan Indication,,,,,Pfizer Inc.,235 East 42nd Street,,New York,New York,10017,United States,27088
CLINDAMYCIN,3U02EL437C,Designated,Public record,227,Clindamycin,10/28/1988,Treatment of Pneumocystis carinii pneumonia associated with AIDS patients.,Designated,Not FDA Approved for Orphan Indication,,,,,Pharmacia & Upjohn,7000 Portage Road,Unit 0633-298-113,Kalamazoo,Michigan,49001,United States,26988
CYCLOSPORINE,83HN0GTJ6D,Designated,Public record,230,Cyclosporine ophthalmic,11/9/1988,Treatment of severe keratoconjunctivitis sicca associated with Sjogren's syndrome.,Designated,Not FDA Approved for Orphan Indication,,,,,University Of Georgia,College Of Veterinary Medicine,Department of Small Animal Medicine,Athens,Georgia,30602,United States,29988
INTERFERON BETA-1B,TTD90R31WZ,Designated/Withdrawn,Public record,231,"Interferon beta, recombinant human",11/15/1988,Treatment of acquired immunodeficiency syndrome.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Berlex Laboratories, Inc.",1401 Harbor Bay Parkway,,Alameda,California,94501,United States,31788
THALIDOMIDE,4Z8R6ORS6L,Designated,Public record,232,Thalidomide,11/15/1988,Treatment and maintenance of reactional lepromatous leprosy.,Designated,Not FDA Approved for Orphan Indication,,,,,"Pediatric Pharmaceuticals, Inc.",718 Bradford Avenue,,Westfield,New Jersey,7090,United States,32188
INTERFERON ALFA-2B,43K1W2T1M6,Designated/Withdrawn,Public record,234,Interferon alfa-2b (recombinant),11/17/1988,Treatment of acute hepatitis B.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,26487
INTERFERON BETA-1B,TTD90R31WZ,Designated/Approved,Public record,235,Interferon beta-1b,11/17/1988,Treatment of multiple sclerosis.,Designated/Approved,,In ambulatory patients with relapsing-remitting multiple sclerosis to reduce the frequency of clinical exacerbations.,7/23/1993,7/23/2000,,Chiron Corp. & Berlex Laboratories,4560 Horton Street,,Emeryville,California,94608,United States,31888
GALLIUM NITRATE,VRA0C6810N,Designated/Approved/Withdrawn,Public record,238,Gallium nitrate injection,12/5/1988,Treatment of hypercalcemia of malignancy.,Designated/Approved/Withdrawn,,,1/17/1991,1/17/1998,,Solopak Pharmaceutical Co.,1845 Tonne Road,,Elk Grove Village,Illinois,60007,United States,24487
Calcium acetate,Y882YXF34X,Designated/Approved,Public record,240,Calcium acetate,12/22/1988,Treatment of hyperphosphatemia in end stage renal failure.,Designated/Approved,,,12/10/1990,12/10/1997,,Fresenius Medical Care North America,920 Winter Street,,Waltham,Massachusetts,2451,United States,31588
CETIEDIL CITRATE,IE65P4OE02,Designated/Withdrawn,Public record,241,Cetiedil citrate injection,12/22/1988,Treatment of sickle cell disease crisis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Baker Cummins Pharmaceuticals, Inc.",,,,,,,31488
FOMEPIZOLE,83LCM6L2BY,Designated/Approved,Public record,242,fomepizole,12/22/1988,Treatment of methanol or ethylene glycol poisoning.,Designated/Approved,,"Use for suspected or confirmed methanol poisoning, either alone or in combination with hemodialysis",12/8/2000,12/8/2007,,"Par Pharmaceuticals, Inc",1 Ram Ridge Road,,Chestnut Ridge,New York,10977,United States,33388
FOMEPIZOLE,83LCM6L2BY,Designated/Approved,Public record,243,fomepizole,12/22/1988,Treatment of methanol or ethylene glycol poisoning.,Designated/Approved,,"As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.",12/4/1997,12/4/2004,,"Par Pharmaceuticals, Inc",1 Ram Ridge Road,,Chestnut Ridge,New York,10977,United States,33388
ISOLEUCINE,04Y7590D77,Designated,Public record,244,Branched chain amino acids,12/23/1988,Treatment of amyotrophic lateral sclerosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Mount Sinai Medical Center,One Gustave L. Levy Place,,New York,New York,10029,United States,33588
VALINE,HG18B9YRS7,Designated,Public record,244,Branched chain amino acids,12/23/1988,Treatment of amyotrophic lateral sclerosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Mount Sinai Medical Center,One Gustave L. Levy Place,,New York,New York,10029,United States,33588
LEUCINE,GMW67QNF9C,Designated,Public record,244,Branched chain amino acids,12/23/1988,Treatment of amyotrophic lateral sclerosis.,Designated,Not FDA Approved for Orphan Indication,,,,,Mount Sinai Medical Center,One Gustave L. Levy Place,,New York,New York,10029,United States,33588
MITOLACTOL,LJ2P1SIK8Y,Designated,Public record,246,Mitolactol,1/23/1989,Treatment of invasive carcinoma of the uterine cervix,Designated,Not FDA Approved for Orphan Indication,,,,,"Targent, Inc..",155 Lambert Drive,,Princeton,New Jersey,8540,United States,33188
CLONIDINE,MN3L5RMN02,Designated/Approved,Public record,247,Clonidine,1/24/1989,"For continous epidural administration as adjunctive therapy with intraspinal opiates for the treatment of pain in cancer patients tolerant to, or unresponsive to, intraspinal opiates.",Designated/Approved,,In combination with opiates for the treatment of severe pain in cancer patients that is not adequately relieved by opioid analgesics alone.,10/2/1996,10/2/2003,,"Roxane Laboratories, Inc.",PO Box 16532,,Columbus,Ohio,43216,United States,34388
FELBAMATE,X72RBB02N8,Designated/Approved,Public record,248,Felbamate,1/24/1989,Treatment of Lennox-Gastaut syndrome.,Designated/Approved,,As adjunctive therapy in the treatment of partial and generalized seizures associated with the Lennox-Gastaut syndrome in children.,7/29/1993,7/29/2000,,Wallace Laboratories,301B College Road East,,Princeton,New Jersey,8540,United States,33488
MOLGRAMOSTIM,B321AL142J,Designated/Withdrawn,Public record,249,Molgramostim,1/24/1989,"Treatment of AIDS patients with neutropenia due to the disease, AZTor ganciclovir.",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,34188
IMCIROMAB PENTETATE,3U979E1001,Designated,Public record,250,Imciromab pentetate,1/25/1989,Detecting early necrosis as an indication of rejection of orthotopic cardiac transplants.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Centocor, Inc.",244 Great Valley Parkway,,Malvern,Pennsylvania,19355,United States,32888
BOTULISM IMMUNE GLOBULIN IV HUMAN,,Designated/Approved,Public record,251,Botulism immune globulin,1/31/1989,Treatment of infant botulism.,Designated/Approved,,Indicated for treatment of infant botulism caused by type A or type B Clostridium botulinum.,10/23/2003,10/23/2010,,California Department of Health Services,2151 Berkeley Way,,Berkeley,California,94704,United States,34488
FLUOROURACIL,U3P01618RT,Designated/Withdrawn,Public record,252,Fluorouracil,2/6/1989,For use in combination with leucovorin for therapy of metastatic adenocarcinoma of the colon and rectum.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Lederle Laboratories,Division of American Cyanamid Company,401 N. Middletown Road,Pearl River,New York,10965,United States,32088
THREONINE,2ZD004190S,Designated/Withdrawn,Public record,253,L-threonine,2/6/1989,Treatment of amyotrophic lateral sclerosis.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Tyson And Associates,12832 Chadron Avenue,,Hawthorne,California,90250,United States,33888
EPOETIN ALFA,,Designated,Public record,254,Epoetin alpha,3/7/1989,Treatment of HIV associated anemia related to HIV infection or HIV treatment.,Designated,Not FDA Approved for Orphan Indication,,,,,R. W. Johnson Pharmaceutical Research Institute,"Route 202, P.O. Box 300",,Raritan,New Jersey,8869,United States,32688
CASCARA SAGRADA BARK,,Designated,Public record,255,Cascara sagrada fluid extract,3/21/1989,Treatment of oral drug overdosage to speed lower bowel evacuation.,Designated,Not FDA Approved for Orphan Indication,,,,,Intramed Corporation,102 Tremont Way,,Augusta,Georgia,30907,United States,34288
ALDESLEUKIN,M89N0Q7EQR,Designated,Public record,256,Aldesleukin,3/22/1989,Treatment of primary immunodeficiency disease associated with T-cell defects.,Designated,Not FDA Approved for Orphan Indication,,,,,"Clinigen, Inc.",Attn: Melanie-Rose Brown,45 Great Valley Parkway,Malvern,Pennsylvania,19355,United States,28988
ILEPCIMIDE,5ML58O200F,Designated,Public record,257,Antiepilepsirine,3/23/1989,Treatment of drug resistant generalized tonic-clonic epilepsy in children and adults.,Designated,Not FDA Approved for Orphan Indication,,,,,Children's Hospital,700 Children's Drive,,Columbus,Ohio,43205,United States,34588
BOTULINUM TOXIN TYPE A,E211KPY694,Designated,Public record,258,Botulinum toxin type A,3/23/1989,Treatment of essential blepharospasm.,Designated,Not FDA Approved for Orphan Indication,,,,,"Porton International, Inc.","1155 15th Street, N.W., #315",,Washington,District of Columbia,20005,United States,35789
SOMATROPIN,NQX9KB6PCL,Designated/Approved,Public record,260,Somatropin for injection,3/23/1989,Treatment of short stature associated with Turner's syndrome.,Designated/Approved,,Treatment of growth failure associated with Turner syndrome.,12/30/1996,12/30/2003,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080,United States,12686
FLUDARABINE PHOSPHATE,1X9VK9O1SC,Designated,Public record,261,Fludarabine phosphate,4/18/1989,Treatment and management of patients with non-Hodgkins lymphoma.,Designated,Not FDA Approved for Orphan Indication,,,,,"Berlex Laboratories, Inc.",15049 San Pablo Avenue,P.O. Box 4099,Richmond,California,94804,United States,35889
FLUDARABINE PHOSPHATE,1X9VK9O1SC,Designated/Approved,Public record,262,Fludarabine phosphate,4/18/1989,"Treatment of chronic lymphocytic leukemia (CLL), including refractory CLL.",Designated/Approved,,,4/18/1991,4/18/1998,,"Berlex Laboratories, Inc.","15049 San Pablo Avenue, P.O. Box 4099",,Richmond,California,94804,United States,27688
SOMATROPIN,NQX9KB6PCL,Designated,Public record,263,Somatropin (rDNA),5/3/1989,For the enhancement of nitrogen retention in hospitalized patients suffering from severe burns.,Designated,Not FDA Approved for Orphan Indication,,,,,"EMD Serono, Inc.",One Technology Place,,Rockland,Massachusetts,2370,United States,24587
BROMHEXINE,Q1J152VB1P,Designated/Withdrawn,Public record,264,Bromhexine,5/15/1989,Treatment of mild to moderate keratoconjunctivitis sicca in patients with Sjogren's syndrome.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Boehringer Ingelheim Pharmaceuticals, Inc.","900 Ridgebury Road, Box 368",,Ridgefield,Connecticut,6877,United States,34789
MOLGRAMOSTIM,B321AL142J,Designated/Withdrawn,Public record,265,Granulocyte macrophage-colony stimulating factor,6/6/1989,Treatment of severe thermal injuries in patients with greater than 40% full or partial thickness burns.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,7033,United States,27588
INTERFERON ALFA-2A,47RRR83SK7,Designated/Approved,Public record,266,Interferon alfa-2a,6/6/1989,Treatment of chronic myelogenous leukemia.,Designated/Approved,,Treatment of chronic myelogenous leukemia.,10/19/1995,10/19/2002,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,7110,United States,36989
PORFIMER SODIUM,Y3834SIK5F,Designated/Approved,Public record,267,Porfimer sodium,6/6/1989,For the photodynamic therapy of patients with primary or recurrent obstructing (either partially or completely) esophageal carcinoma.,Designated/Approved,,"Photodynamic therapy with PHOTOFRIN for the palliation of patients with completely obstructing esophageal cancer, or of patients with partially obstructing esophageal cancer who cannot be satisfactorily treated with Nd:YAG laser therapy.",12/27/1995,12/27/2002,,"QLT Phototherapeutics, Inc.",Lederle Laboratories,401 North Middletown Road,Pearl River,New York,10965,United States,35589
Calcium acetate,Y882YXF34X,Designated,Public record,268,Calcium acetate,6/27/1989,Treatment of hyperphosphatemia in end stage renal disease.,Designated,Not FDA Approved for Orphan Indication,,,,,Pharmedic Company,"28101 Ballard Road, Suite F",,Lake Forest,Illinois,60045,United States,36489
COAGULATION FACTOR IX (HUMAN),,Designated/Approved,Public record,269,Coagulation factor IX,6/27/1989,Replacement treatment and prophylaxis of the hemorrhagic complications of hemophilia B.,Designated/Approved,,"Prevention and control of bleeding in factor IX deficiency, also known as hemophilia B or Christmas disease.",8/20/1992,8/20/1999,,Armour Pharmaceutical Company,"500 Arcola Road, P.O. Box 1200",,Collegeville,Pennsylvania,19426,United States,36189
COAGULATION FACTOR IX HUMAN,6U90Y1795T,Designated/Approved,Public record,269,Coagulation factor IX,6/27/1989,Replacement treatment and prophylaxis of the hemorrhagic complications of hemophilia B.,Designated/Approved,,"Prevention and control of bleeding in factor IX deficiency, also known as hemophilia B or Christmas disease.",8/20/1992,8/20/1999,,Armour Pharmaceutical Company,"500 Arcola Road, P.O. Box 1200",,Collegeville,Pennsylvania,19426,United States,36189
