# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-05-16
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	103525699	103555239	1p21.1	1p21.1	618016	RNPC3, SNRNP65, KIAA1839, CPHD7	RNA-binding region-containing protein 3	RNPC3	55599	ENSG00000185946		Pituitary hormone deficiency, combined or isolated, 7, 618160 (3), Autosomal recessive	Rnpc3 (MGI:1914475)
chr1	103554644	103579534	1p21	1p21.1	104660	AMY2B	Amylase, pancreatic, alpha-2B	AMY2B	280	ENSG00000240038	distal to NGFB		Amy1,Amy2a1,Amy2a2,Amy2a3,Amy2a4,Amy2a5 (MGI:104548,MGI:3711220,MGI:3711258,MGI:3714985,MGI:88019,MGI:88020)
chr1	103616651	103625780	1p21	1p21.1	104650	AMY2A	Amylase, pancreatic, alpha-2A	AMY2A	279	ENSG00000243480			Amy1,Amy2a1,Amy2a2,Amy2a3,Amy2a4,Amy2a5 (MGI:104548,MGI:3711220,MGI:3711258,MGI:3714985,MGI:88019,MGI:88020)
chr1	103655519	103664554	1p21	1p21.1	104700	AMY1A	Amylase, salivary, alpha-1A	AMY1A	276	ENSG00000237763	multiple amylase genes		Amy1,Amy2a1,Amy2a2,Amy2a3,Amy2a4,Amy2a5 (MGI:104548,MGI:3711220,MGI:3711258,MGI:3714985,MGI:88019,MGI:88020)
chr1	103687415	103696453	1p21	1p21.1	104701	AMY1B	Amylase, salivary, alpha-1B	AMY1B	277	ENSG00000174876			Amy1,Amy2a1,Amy2a2,Amy2a3,Amy2a4,Amy2a5 (MGI:104548,MGI:3711220,MGI:3711258,MGI:3714985,MGI:88019,MGI:88020)
chr1	103749654	103758692	1p21	1p21.1	104702	AMY1C	Amylase, salivary, alpha-1C	AMY1C	278	ENSG00000187733			Amy1,Amy2a1,Amy2a2,Amy2a3,Amy2a4,Amy2a5 (MGI:104548,MGI:3711220,MGI:3711258,MGI:3714985,MGI:88019,MGI:88020)
chr1	106700001	111200000	1p13.3		118943	CYMP	Chymosin pseudogene	CYMP	643160	ENSG00000240194			
chr1	106700001	117200000	1p13		193000	VUR1	Vesicoureteral reflux		54113			Vesicoureteral reflux 1, 193000 (2), Autosomal dominant	
chr1	107056674	107059294	1p13.3	1p13.3	608274	PRMT6	Protein arginine N-methyltransferase 6	PRMT6	55170	ENSG00000198890			Prmt6 (MGI:2139971)
chr1	107140088	107484923	1p13.3	1p13.3	608818	NTNG1, LMNT1, KIAA0976	Netrin G1	NTNG1	22854	ENSG00000162631			Ntng1 (MGI:1934028)
chr1	107571161	107965180	1p13.3	1p13.3	605541	VAV3	VAV guanine nucleotide exchange factor 3	VAV3	10451	ENSG00000134215			Vav3 (MGI:1888518)
chr1	108134043	108200343	1p36.13	1p13.3	608744	SLC25A24, SCAMC1	Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	SLC25A24	29957	ENSG00000085491		Fontaine progeroid syndrome, 612289 (3), Autosomal dominant	Slc25a24 (MGI:1917160)
chr1	108222464	108272913	1p12	1p13.3	613994	NBPF4	Neuroblastoma breakpoint family, member 4	NBPF4	148545	ENSG00000196427			
chr1	108375971	108383614	1p12	1p13.3	613995	NBPF5P	NBPF member 5, pseudogene	NBPF5P	100507044				
chr1	108421491	108471920	1p12	1p13.3	613996	NBPF6	Neuroblastoma breakpoint family, member 6	NBPF6	653149	ENSG00000186086			
chr1	108648295	108661474	1p13.3	1p13.3	612178	HENMT1, C1orf59, HEN1	HEN methyltransferase 1	HENMT1	113802	ENSG00000162639			Henmt1 (MGI:1913965)
chr1	108746674	108809523	1p13.3	1p13.3	608339	STXBP3, MUNC18C, PSP	Syntaxin-binding protein 3	STXBP3	6814	ENSG00000116266			Stxbp3 (MGI:107362)
chr1	108876985	108934545	1p13.1	1p13.3	609245	GPSM2, LGN, PINS, DFNB82, CMCS	G-protein signaling modulator 2	GPSM2	29899	ENSG00000121957		Chudley-McCullough syndrome, 604213 (3), Autosomal recessive	Gpsm2 (MGI:1923373)
chr1	108929505	108963484	1p13.3	1p13.3	617539	CLCC1, MCLC, RP32	Chloride channel CLIC-like 1	CLCC1	23155	ENSG00000121940		Retinitis pigmentosa 32, 609913 (3), Autosomal recessive	Clcc1 (MGI:2385186)
chr1	108970214	109042102	1p13.3	1p13.3	615734	WDR47, NEMITIN, KIAA0893	WD repeat-containing protein 47	WDR47	22911	ENSG00000085433			Wdr47 (MGI:2139593)
chr1	109064140	109076003	1p13.3	1p13.3	600774	TAF13, TAF2K, MRT60	TAF13 RNA polymerase II, TATA box-binding protein-associated factor, 18kD	TAF13	6884	ENSG00000197780		Intellectual developmental disorder, autosomal recessive 60, 617432 (3), Autosomal recessive	Taf13 (MGI:1913500)
chr1	109105951	109113831	1p13.3	1p13.3	618682	CFAP276, C10orf194	Cilia- and flagella-associated protein 276	CFAP276	127003	ENSG00000179902			Cfap276 (MGI:1922754)
chr1	109114115	109206781	1p13.3	1p13.3	611298	ELAPOR1, KIAA1324, EIG121	Endosome-lysosome-associated apoptosis and autophagy regulator 1	ELAPOR1	57535	ENSG00000116299			Elapor1 (MGI:1923930)
chr1	109213893	109238182	1p13	1p13.3	607529	SARS1, SARS, SERS, NEDMAS	Seryl-tRNA synthetase 1	SARS1	6301	ENSG00000031698		Neurodevelopmental disorder with microcephaly, ataxia, and seizures, 617709 (3), Autosomal recessive	Sars1 (MGI:102809)
chr1	109249539	109275751	1p21	1p13.3	604265	CELSR2, EGFL2, MEGF3	Cadherin EGF LAG seven-pass G-type receptor 3 (epidermal growth factor-like 2)	CELSR2	1952	ENSG00000143126			Celsr2 (MGI:1858235)
chr1	109279556	109283145	1p13.1	1p13.3	613126	PSRC1, DDA3	Proline/serine-rich coiled-coil protein 1	PSRC1	84722	ENSG00000134222			Psrc1 (MGI:1913099)
chr1	109292365	109307011	1p13.3	1p13.3	619807	MYBPHL	Myosin-binding protein H-like	MYBPHL	343263	ENSG00000221986			Mybphl (MGI:1916003)
chr1	109309575	109397918	1p13.3	1p13.3	602458	SORT1, NT3, LDLCQ6	Sortilin	SORT1	6272	ENSG00000134243		[Low density lipoprotein cholesterol level QTL6], 613589 (3), Autosomal dominant	Sort1 (MGI:1338015)
chr1	109399042	109426448	1p13	1p13.3	176844	PSMA5, PSC5	Proteasome component 5	PSMA5	5686	ENSG00000143106			Psma5 (MGI:1347009)
chr1	109504178	109509727	1p13.3	1p13.3	615689	AMIGO1, ALI2, KIAA1163	Adhesion molecule with Ig-like domain 1	AMIGO1	57463	ENSG00000181754			Amigo1 (MGI:2653612)
chr1	109539872	109547260	1p13.3	1p13.3	606916	GPR61	G protein-coupled receptor 61	GPR61	83873	ENSG00000156097			Gpr61 (MGI:2441719)
chr1	109548615	109600195	1p13	1p13.3	139370	GNAI3, ARCND1	Guanine nucleotide-binding protein (G-protein), alpha-inhibiting activity polypeptide-3	GNAI3	2773	ENSG00000065135		Auriculocondylar syndrome 1, 602483 (3), Autosomal dominant	Gnai3 (MGI:95773)
chr1	109598893	109598967	1p13.3	1p13.3	611189	MIR197	Micro rNA 197	MIR197	406974	ENSG00000284443			
chr1	109603091	109619616	1p13	1p13.3	139340	GNAT2, ACHM4	Guanine nucleotide-binding protein (G-protein), alpha-transducing (transducin) activity polypeptide-2	GNAT2	2780	ENSG00000134183		Achromatopsia 4, 613856 (3)	Gnat2 (MGI:95779)
chr1	109619837	109632055	1p13.3	1p13.3	102771	AMPD2, SPG63, PCH9	Adenosine monophosphate deaminase-2, isoform L	AMPD2	271	ENSG00000116337	mutation identified in 1 SPG63 family	Pontocerebellar hypoplasia, type 9, 615809 (3), Autosomal recessive; ?Spastic paraplegia 63, autosomal recessive, 615686 (3), Autosomal recessive	Ampd2 (MGI:88016)
chr1	109656099	109667727	1p13.3	1p13.3	138333	GSTM4	Glutathione S-transferase M4	GSTM4	2948	ENSG00000168765			Gstm4 (MGI:95862)
chr1	109668057	109683997	1p13.3	1p13.3	138380	GSTM2, GST4	Glutathione S-transferase M2, muscle	GSTM2	2946	ENSG00000213366			Gstm7 (MGI:1915562)
chr1	109687817	109693745	1p13.3	1p13.3	138350	GSTM1	Glutathione S-transferase M1	GSTM1	2944	ENSG00000134184			Gstm1,Gstm2,Gstm3,Gstm6 (MGI:106026,MGI:1309467,MGI:95860,MGI:95861)
chr1	109711751	109718268	1p13.3	1p13.3	138385	GSTM5	Glutathione S-transferase M5	GSTM5	2949	ENSG00000134201	pseudogene on chr.3		Gstm1,Gstm2 (MGI:95860,MGI:95861)
chr1	109733937	109741038	1p13.3	1p13.3	138390	GSTM3, GST5	Glutathione S-transferase M3, brain	GSTM3	2947	ENSG00000134202			Gstm5 (MGI:1309466)
chr1	109750080	109763923	1p13.3	1p13.3	614989	EPS8L3, EPS8R3, HYPT5	EPS8-like protein 3	EPS8L3	79574	ENSG00000198758	mutation identified in 1 HYPT5 family	?Hypotrichosis 5, 612841 (3), Autosomal dominant	Eps8l3 (MGI:2139743)
chr1	109910506	109930992	1p21-p13	1p13.3	120420	CSF1, MCSF	Colony-stimulating factor-1 (macrophage)	CSF1	1435	ENSG00000184371	incorrectly assigned to chr.5		Csf1 (MGI:1339753)
chr1	109984765	110023742	1p13.3	1p13.3	607826	AHCYL1, DCAL, IRBIT	Adenosylhomocysteine-like 1	AHCYL1	10768	ENSG00000168710			Ahcyl1 (MGI:2385184)
chr1	110031577	110054641	1p13.3	1p13.3	617918	STRIP1, FAR11A, FAM40A	Striatin-interacting protein 1	STRIP1	85369	ENSG00000143093			Strip1 (MGI:2443884)
chr1	110059870	110070672	1p21-p13	1p13.3	606014	ALX3, FND1	Aristaless-like homeobox 3	ALX3	257	ENSG00000156150		Frontonasal dysplasia 1, 136760 (3), Autosomal recessive	Alx3 (MGI:1277097)
chr1	110112443	110113947	1p13.3	1p13.3	611127	UBL4B	Ubiquitin-like 4B	UBL4B	164153	ENSG00000186150			Ubl4b (MGI:1914841)
chr1	110150494	110202202	1p13.3	1p13.3	610299	SLC6A17, NTT4, MRT48	Solute carrier family 6 (neurotransmitter transporter), member 17	SLC6A17	388662	ENSG00000197106		Intellectual developmental disorder, autosomal recessive 48, 616269 (3), Autosomal recessive	Slc6a17 (MGI:2442535)
chr1	110210314	110284080	1p13.3	1p13.3	176265	KCNC4	Potassium voltage-gated channel, Shaw-related subfamily, member 4	KCNC4	3749	ENSG00000116396			Kcnc4 (MGI:96670)
chr1	110339377	110346677	1p13	1p13.3	606077	RBM15, SPEN, OTT	One-twenty two protein (RNA binding motif protein 15; Spen, Drosophila, homolog of)	RBM15	64783	ENSG00000162775			Rbm15 (MGI:2443205)
chr1	110362857	110391026	1p13.3	1p13.3	603878	SLC16A4, MCT5	Solute carrier family 16 (monocarboxylic acid transporter) member 4	SLC16A4	9122	ENSG00000168679			Slc16a4 (MGI:2385183)
chr1	110401253	110407924	1p13.2	1p13.3	608521	LAMTOR5, HBXIP, XIP	Late endosomal/lysosomal adaptor, mitogen-activated protein kinase and mammalian target of rapamycin activator 5	LAMTOR5	10542	ENSG00000134248			Lamtor5 (MGI:1915826)
chr1	110451149	110457358	1p21	1p13.3	606233	PROK1, PK1, PRK1, EGVEGF	Prokineticin 1	PROK1	84432	ENSG00000143125			Prok1 (MGI:2180370)
chr1	110517217	110519175	1p13.1	1p13.3	602420	KCNA10	Potassium voltage-gated channel, shaker-related subfamily, member 10	KCNA10	3744	ENSG00000143105			Kcna10 (MGI:3037820)
chr1	110593580	110631440	1p13.3	1p13.3	176262	KCNA2, DEE32	Potassium channel, voltage-gated, Shaker-related subfamily, member 2	KCNA2	3737	ENSG00000177301		Developmental and epileptic encephalopathy 32, 616366 (3), Autosomal dominant	Kcna2 (MGI:96659)
chr1	110653560	110674940	1p21-p13.3	1p13.3	176263	KCNA3	Potassium voltage-gated channel, shaker-related subfamily, member 3	KCNA3	3738	ENSG00000177272	mapped probably in error to chr.13		Kcna3 (MGI:96660)
chr1	110871210	110899922	1p21-p13.3	1p13.3	151525	CD53, MOX44	CD53 antigen	CD53	963	ENSG00000143119			Cd53 (MGI:88341)
chr1	110874957	110963922	1p12	1p13.3	615354	LRIF1, RIF1, FSHD3	Ligand-dependent nuclear receptor-interacting factor 1	LRIF1	55791	ENSG00000121931	mutation identified in 1 FSHD3 patient	?Facioscapulohumeral muscular dystrophy 3, digenic, 619477 (3), Digenic recessive	Lrif1 (MGI:2445214)
chr1	111117163	111140093	1p13.3	1p13.3	613360	DRAM2, TMEM77, CORD21	Damage-regulated autophagy modulator 2	DRAM2	128338	ENSG00000156171		Cone-rod dystrophy 21, 616502 (3), Autosomal recessive	Dram2 (MGI:1914421)
chr1	111139499	111185104	1p13.3	1p13.3	616751	CEPT1	Choline/ethanolamine phosphotransferase 1	CEPT1	10390	ENSG00000134255			Cept1 (MGI:2139793)
chr1	111185969	111204578	1p13.3	1p13.3-p13.2	615111	DENND2D	DENN/MADD domain-containing protein 2D	DENND2D	79961	ENSG00000162777			Dennd2d (MGI:2181193)
chr1	111200001	115500000	1p13.2		617386	NR1H5P, FXRB	Nuclear receptor subfamily 1, group H, member 5, pseudogene	NR1H5P	643609	ENSG00000227970			
chr1	111227659	111243440	1p13.3	1p13.2	601526	CHI3L2, YKL39	Chitinase 3-like 2	CHI3L2	1117	ENSG00000064886			
chr1	111290851	111320563	1p21.3-p13.1	1p13.2	606080	CHIA, TSA1902, CHIT2	Chitinase, acidic	CHIA	27159	ENSG00000134216			Chia1,Chil3,Chil4,Chil5,Chil6 (MGI:1330860,MGI:1341098,MGI:1932052,MGI:2676649,MGI:2682303)
chr1	111324663	111353017	1p13.2	1p13.2	614234	C1orf88, PIFO	Chromosome 1 open reading frame 88 (pitchfork, mouse, homolog of)	CIMAP3	128344	ENSG00000173947			Cimap3 (MGI:1923670)
chr1	111414319	111427735	1p13.2	1p13.2	603578	OVGP1	Oviductal glycoprotein 1	OVGP1	5016	ENSG00000085465			Ovgp1 (MGI:106661)
chr1	111439890	111449256	1p13.2	1p13.2	611734	WDR77, MEP50	WD repeat-containing protein 77	WDR77	79084	ENSG00000116455			Wdr77 (MGI:1917715)
chr1	111449464	111462773	1p13.2	1p13.2	603270	ATP5PB, ATP5F1	ATP synthase peripheral stalk membrane, subunit B	ATP5PB	515	ENSG00000116459			Atp5pb (MGI:1100495)
chr1	111499429	111503633	1p21-p13	1p13.2	600445	ADORA3	Adenosine A3 receptor	ADORA3	140	ENSG00000282608			Adora3 (MGI:104847)
chr1	111542009	111716691	1p13.3	1p13.2	179520	RAP1A, KREV1	RAS-related protein RAP1A	RAP1A	5906	ENSG00000116473	pseudogene on 14q24.3		Rap1a (MGI:97852)
chr1	111722064	111755797	1p13.2	1p13.2	620403	INKA2, FAM212B	INKA-box actin regulator 2	INKA2	55924	ENSG00000197852			Inka2 (MGI:1923497)
chr1	111755901	111768000	1p21.1-p13.2	1p13.2	606168	DDX20	DEAD-box helicase 20	DDX20	11218	ENSG00000064703			Ddx20 (MGI:1858415)
chr1	111770662	111989668	1p13.3-p13.2	1p13.2	605411	KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9	Potassium voltage-gated channel, Shal-related subfamily, member 3	KCND3	3752	ENSG00000171385		Spinocerebellar ataxia 19, 607346 (3), Autosomal dominant; Brugada syndrome 9, 616399 (3), Autosomal dominant	Kcnd3 (MGI:1928743)
chr1	112391087	112461164	1p13.2	1p13.2	615100	CTTNBP2NL	CTTNBP2 N terminus-like protein	CTTNBP2NL	55917	ENSG00000143079			Cttnbp2nl (MGI:1933137)
chr1	112466541	112530165	1p13	1p13.2	601968	WNT2B, WNT13, XWNT2	Wingless-type MMTV integration site family, member 2B	WNT2B	7482	ENSG00000134245		Diarrhea 9, 618168 (3), Autosomal recessive	Wnt2b (MGI:1261834)
chr1	112517803	112619684	1p13	1p13.2	617640	ST7L, ST7R	Suppressor of tumorigenicity 7-like protein	ST7L	54879	ENSG00000007341			St7l (MGI:2386964)
chr1	112619832	112671616	1p13.2	1p13.2	601580	CAPZA1, CAPPA1	Capping protein, muscle Z-line, alpha-1	CAPZA1	829	ENSG00000116489			Capza1,Capza1b (MGI:106227,MGI:1913997)
chr1	112674439	112700739	1p13.2	1p13.2	610742	MOV10, KIAA1631	Mov10 RISC complex RNA helicase	MOV10	4343	ENSG00000155363			Mov10 (MGI:97054)
chr1	112701131	112707408	1p13.2	1p13.2	165380	RHOC, ARHC, ARH9, RHOH9	RAS homolog gene family, member C (oncogene RHO H9)	RHOC	389	ENSG00000155366	incorrectly assigned to chr.5		Rhoc (MGI:106028)
chr1	112709998	112715332	1p13.2	1p13.2	609957	PPM1J, PP2CZ, PPP2CZ	Protein phosphatase, magnesium-dependent, 1J	PPM1J	333926	ENSG00000155367			Ppm1j (MGI:1919137)
chr1	112718905	112727235	1p13.2	1p13.2	617497	FAM19A3, TAFA3	Family with sequence similarity 19, member A3, CC motif chemokine-like	TAFA3	284467	ENSG00000184599			Tafa3 (MGI:3046463)
chr1	112911847	112956196	1p13.2-p12	1p13.2	600682	SLC16A1, MCT1, HHF7, MCT1D	Solute carrier family 16 (monocarboxylic acid transporters), member 1	SLC16A1	6566	ENSG00000155380		Hyperinsulinemic hypoglycemia, familial, 7, 610021 (3), Autosomal dominant; Erythrocyte lactate transporter defect, 245340 (3), Autosomal dominant; Monocarboxylate transporter 1 deficiency, 616095 (3), Autosomal dominant, Autosomal recessive	Slc16a1 (MGI:106013)
chr1	113073198	113132260	1p13	1p13.2	608869	LRIG2, LIG2, KIAA0806, UFS2	Leucine-rich repeats- and immunoglobulin-like domains-containing protein 2	LRIG2	9860	ENSG00000198799		Urofacial syndrome 2, 615112 (3), Autosomal recessive	Lrig2 (MGI:2443718)
chr1	113390515	113685923	1p21	1p13.2	615943	MAGI3, KIAA1634	Membrane-associated guanylate kinase, WW and PDZ domains-containing, 3	MAGI3	260425	ENSG00000081026			Magi3 (MGI:1923484)
chr1	113696831	113759888	1p13	1p13.2	604950	PHTF1	Putative homeodomain transcription factor 1	PHTF1	10745	ENSG00000116793			Phtf1 (MGI:1332671)
chr1	113761832	113812476	1p13.2	1p13.2	615858	RSBN1, ROSBIN	Round spermatid basic protein 1	RSBN1	54665	ENSG00000081019			Rsbn1 (MGI:2444993)
chr1	113813811	113871759	1p13	1p13.2	600716	PTPN22, PEP, PTPN8, LYP	Protein tyrosine phosphatase, nonreceptor-type 22	PTPN22	26191	ENSG00000134242		{Rheumatoid arthritis, susceptibility to}, 180300 (3); {Systemic lupus erythematosus susceptibility to}, 152700 (3), Autosomal dominant; {Diabetes, type 1, susceptibility to}, 222100 (3), Autosomal recessive	Ptpn22 (MGI:107170)
chr1	113876816	113887581	1p13.2	1p13.2	619660	BCL2L15, BFK	BCL2-like 15	BCL2L15	440603	ENSG00000188761			Bcl2l15 (MGI:2685412)
chr1	113894194	113905028	1p13.2	1p13.2	607245	AP4B1, SPG47, CPSQ5	Adaptor-related protein complex 4, beta-1 subunit	AP4B1	10717	ENSG00000134262		Spastic paraplegia 47, autosomal recessive, 614066 (3), Autosomal recessive	Ap4b1 (MGI:1337130)
chr1	113904619	113914086	1p13.3-p13.1	1p13.2	609683	DCLRE1B, SNM1B, APOLLO, DKCB8	DNA cross-link repair protein 1B	DCLRE1B	64858	ENSG00000118655		Dyskeratosis congenita, autosomal recessive 8, 620133 (3), Autosomal recessive	Dclre1b (MGI:2156057)
chr1	113929324	113977869	1p13.2	1p13.2	608003	HIPK1	Homeodomain-interacting protein kinase 1	HIPK1	204851	ENSG00000163349			Hipk1 (MGI:1314873)
chr1	113979474	113982253	1p13.1	1p13.2	610088	OLFML3, OLF44	Olfactomedin-like 3	OLFML3	56944	ENSG00000116774			Olfml3 (MGI:1914877)
chr1	114089292	114153869	1p13.2	1p13.2	607718	SYT6	Synaptotagmin 6	SYT6	148281	ENSG00000134207			Syt6 (MGI:1859544)
chr1	114392790	114511203	1p13	1p13.2	605769	TRIM33, TIF1G, RFG7, PTC7	Tripartite motif-containing protein 33	TRIM33	51592	ENSG00000197323	fused with RET to form PTC7		Trim33 (MGI:2137357)
chr1	114567557	114581615	1p21-p13.3	1p13.2	605783	BCAS2, DAM1	BCAS2 pre-mRNA processing factor	BCAS2	10286	ENSG00000116752			Bcas2 (MGI:1915433)
chr1	114673098	114695546	1p21-p13	1p13.2	102770	AMPD1, MMDD	Adenosine monophosphate deaminase-1, muscle	AMPD1	270	ENSG00000116748		Myopathy due to myoadenylate deaminase deficiency, 615511 (3), Autosomal recessive	Ampd1 (MGI:88015)
chr1	114704469	114716771	1p13.2	1p13.2	164790	NRAS, ALPS4, NS6, CMNS, NCMS	NRAS protooncogene, GTPase	NRAS	4893	ENSG00000213281	cen-CD2-NGFB-NRAS	Noonan syndrome 6, 613224 (3), Autosomal dominant; ?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic, 614470 (3); Melanocytic nevus syndrome, congenital, somatic, 137550 (3); Epidermal nevus, somatic, 162900 (3); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3); Thyroid carcinoma, follicular, somatic, 188470 (3); Neurocutaneous melanosis, somatic, 249400 (3); Colorectal cancer, somatic, 114500 (3)	Nras (MGI:97376)
chr1	114716916	114757984	1p22	1p13.2	191510	CSDE1, D1S155E, UNR	Cold-shock domain-containing E1, RNA-binding	CSDE1	7812	ENSG00000009307	130bp 5' to NRAS		Csde1 (MGI:92356)
chr1	114769479	114780685	1p13.2	1p13.2	611656	SIKE	Suppressor of IKK-epsilon	SIKE1	80143	ENSG00000052723			Sike1 (MGI:1913891)
chr1	114854088	114995370	1p13	1p13.2	602162	SYCP1, SCP1	Synaptonemal complex protein-1	SYCP1	6847	ENSG00000198765			Sycp1 (MGI:105931)
chr1	115029826	115034309	1p13	1p13.2	188540	TSHB, CHNG4	Thyroid-stimulating hormone, beta polypeptide	TSHB	7252	ENSG00000134200	centromeric to NGFB	Hypothyroidism, congenital, nongoitrous 4, 275100 (3), Autosomal recessive	Tshb (MGI:98848)
chr1	115048011	115089503	1p13.2	1p13.2	613133	TSPAN2, NET3	Tetraspanin 2	TSPAN2	10100	ENSG00000134198			Tspan2 (MGI:1917997)
chr1	115285917	115338249	1p13.1	1p13.2	162030	NGF, NGFB, HSAN5	Nerve growth factor, beta	NGF	4803	ENSG00000134259	same 310kb fragment as TSHB; order: cen-CD2-CD58-ATP1A1-NGF-TSHB-NRAS-tel	Neuropathy, hereditary sensory and autonomic, type V, 608654 (3), Autosomal recessive	Ngf (MGI:97321)
chr1	115641970	115698221	1p13	1p13.1	610132	VANGL1, STBM2	Vang-like 1	VANGL1	81839	ENSG00000173218		{Neural tube defects, susceptibility to}, 182940 (3), Autosomal dominant; Caudal regression syndrome, 600145 (3), Autosomal dominant	Vangl1 (MGI:2159344)
chr1	115700021	115768714	1p13.3-p11	1p13.1	114251	CASQ2	Calsequestrin, fast-twitch, skeletal muscle-2	CASQ2	845	ENSG00000118729		Ventricular tachycardia, catecholaminergic polymorphic, 2, 611938 (3), Autosomal recessive	Casq2 (MGI:1309469)
chr1	115831344	115841126	1p12-p11	1p13.1	162361	NHLH2, HEN2, HH27	Nescient helix loop helix 2	NHLH2	4808	ENSG00000177551	mutation identified in 1 HH27 patient	?Hypogonadotropic hypogonadism 27 without anosmia, 619755 (3), Autosomal recessive	Nhlh2 (MGI:97324)
chr1	115976513	116070054	1p13.1	1p13.1	608275	SLC22A15, FLIPT1	Solute carrier family 22 (organic cation transporter), member 15	SLC22A15	55356	ENSG00000163393			Slc22a15 (MGI:3607704)
chr1	116373244	116404774	1p13.1	1p13.1	182310	ATP1A1, CMT2DD, HOMGSMR2	ATPase, Na+K+ transporting, alpha-1 polypeptide	ATP1A1	476	ENSG00000163399		Hypomagnesemia, seizures, and impaired intellectual development 2, 618314 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2DD, 618036 (3), Autosomal dominant	Atp1a1 (MGI:88105)
chr1	116392865	116418622	1p13.1	1p13.1	618305	ATP1A1AS1	ATP1A1 antisense RNA 1	ATP1A1-AS1	84852	ENSG00000203865			
chr1	116514534	116571026	1p13	1p13.1	153420	CD58, LFA3	CD58 antigen (lymphocyte function-associated antigen 3)	CD58	965	ENSG00000116815	?same as MSK1; gene cloned		
chr1	116574398	116667755	1p13	1p13.1	603491	IGSF3, LCDD	Immunoglobulin superfamily, member 3	IGSF3	3321	ENSG00000143061	mutation identified in 1 LCDD family	?Lacrimal duct defect, 149700 (3), Autosomal recessive	Igsf3 (MGI:1926158)
chr1	116754430	116769229	1p13.1	1p13.1	186990	CD2	CD2 antigen (p50), sheep red blood cell receptor	CD2	914	ENSG00000116824			Cd2 (MGI:88320)
chr1	116909916	116990353	1p13.1-q21.3	1p13.1	601204	PTGFRN, FPRP	Prostaglandin F2 receptor negative regulator	PTGFRN	5738	ENSG00000134247			Ptgfrn (MGI:1277114)
chr1	117001760	117036552	1p13.1	1p13.1	604516	CD101, IGSF2	CD101 antigen	CD101	9398	ENSG00000134256			Cd101 (MGI:2685862)
chr1	117060326	117107453	1p13.1	1p13.1	604718	TTF2	Transcription termination factor 2	TTF2	8458	ENSG00000116830			Ttf2 (MGI:1921294)
chr1	117111060	117123927	1p22	1p13.1	609318	TRIM45	Tripartite motif-containing protein 45	TRIM45	80263	ENSG00000134253			Trim45 (MGI:1918187)
chr1	117143587	117210927	1p13.1	1p13.1-p12	608162	VCTN1, B7H4, B7X, B7S1	V-set domain containing T cell activation inhibitor 1	VTCN1	79679	ENSG00000134258			Vtcn1 (MGI:3039619)
chr1	117200001	120400000	1p12		618026	NOTCH2NLR	NOTCH2 N-terminal-like-related, pseudogene	NOTCH2NLR	101929796	ENSG00000286106			
chr1	117367449	117528872	1p13	1p12	604345	MAN1A2	Mannosidase, alpha, class 1A, member 2	MAN1A2	10905	ENSG00000198162			Man1a2 (MGI:104676)
chr1	117606048	117628389	1p12	1p12	613952	TENT5C, FAM46C	Terminal nucleotidyltransferase 5C	TENT5C	54855	ENSG00000183508			Tent5c (MGI:1921895)
chr1	117863485	117929621	1p12	1p12	618128	GDAP2, SCAR27	Ganglioside-induced differentiation-associated protein 2	GDAP2	54834	ENSG00000196505		Spinocerebellar ataxia, autosomal recessive 27, 618369 (3), Autosomal recessive	Gdap2 (MGI:1338001)
chr1	117929739	117966543	1p13-p12	1p12	604737	WDR3	WD repeat-containing protein 3	WDR3	10885	ENSG00000065183			Wdr3 (MGI:2443143)
chr1	117953590	118185228	1p12	1p12	616554	SPAG17, PF6, SPGF55	Sperm-associated antigen 17	SPAG17	200162	ENSG00000155761	mutation identified in 1 SPGF55 family	?Spermatogenic failure 55, 619380 (3), Autosomal recessive	Spag17 (MGI:1921612)
chr1	118883047	118989510	1p13	1p12	604127	TBX15	T-box 15	TBX15	6913	ENSG00000092607		Cousin syndrome, 260660 (3), Autosomal recessive	Tbx15 (MGI:1277234)
chr1	119031216	119140672	1p13.3-p13.1	1p12	604733	WARS2, NEMMLAS, PKDYS3	Tryptophanyl-tRNA synthetase 2	WARS2	10352	ENSG00000116874		Parkinsonism-dystonia 3, childhood-onset, 619738 (3), Autosomal recessive; Neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures, 617710 (3), Autosomal recessive	Wars2 (MGI:1917810)
chr1	119368785	119394130	1p13	1p12	605176	HAO2, HAOX2	Hydroxyacid oxidase 2	HAO2	51179	ENSG00000116882			Hao2 (MGI:96012)
