researcher,C.Cluster_ID,L.Aff_FIPS
"VAN DER DONK, WILFRED A., @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
", @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",1,17019
", @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
"WALLING, BRENT, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",1,17019
"SMITH-BOLTON, RACHEL, @institution: UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN",2,17019
"BOSSO, JOHN A, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"KOH, CHESTER, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"PORTER, JONATHAN CASTILLO, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"NELSON, THOMAS E, @institution: BAYLOR COLLEGE OF MEDICINE",5,48201
"EISSA, N TONY, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
", @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"PAYLOR, RICHARD E, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"JUSTICE, MONICA J., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"QUIOCHO, FLORANTE A, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"KING, JONATHAN ALAN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"BEAUDET, ARTHUR L., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"EISSA, TONY, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GILBERT, HIRAM F, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"NG, PHILIP, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"TOSI, MICHAEL F., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"KATKIN, JULIE P, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"CASKEY, C THOMAS, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"SMITH, LOUIS C, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GLASSER, LOREN, @institution: BAYLOR COLLEGE OF MEDICINE",1,48201
"GLASSER, LOREN, @institution: BAYLOR COLLEGE OF MEDICINE",5,48201
", @institution: RICE UNIVERSITY",2,48201
"WOLYNES, PETER GUY, @institution: RICE UNIVERSITY",2,48201
"BRADLEY, ALLAN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"SEILHEIMER, DAN KEITH, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"DAVIDSON, AMY L., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"SOCKRIDER, MARIANNA MARTIN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GRAHAM, FRANK, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"LEVITT, MICHAEL, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"PANDE, VIJAY S, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"CHIU, WAH, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GRAEF, ISABELLA A, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"MOERNER, WILLIAM E, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"ROSAS, IVAN O., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"ORMAN, MEHMET A., @institution: UNIVERSITY OF HOUSTON",2,48201
"RODGERS, JOHN R, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"SEILHEIMER, DAN, @institution: BAYLOR COLLEGE OF MEDICINE",5,48201
"REID, BARBARA S, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"PEREIRA-SMITH, OLIVIA M., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"CASTILLO, HEIDI, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"TU, DUONG DAI, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"DEMAYO, FRANCESCO JOHN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"EISSA, N. TONY, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"JUSTICE, MONICA JEAN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"ROGERS, JOHN S, @institution: BAYLOR COLLEGE OF MEDICINE",5,48201
"CHIANG, NAIHAO, @institution: UNIVERSITY OF HOUSTON",2,48201
"XU, X. NANCY, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GAO, XUE, @institution: RICE UNIVERSITY",2,48201
"CASTILLO, LETICIA, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"KATZ, CAROL LYNN, @institution: BAYLOR COLLEGE OF MEDICINE",5,48201
"TSAI, FRANCIS T.F., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"MCKEON, FRANK D., @institution: UNIVERSITY OF HOUSTON",2,48201
"PORTER, JONATHAN, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"KOH, CHESTER J, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"HYSER, JOSEPH M., @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"GRAHAM, FRANK L, @institution: BAYLOR COLLEGE OF MEDICINE",2,48201
"BUSHWELLER, JOHN HACKETT, @institution: UNIVERSITY OF VIRGINIA",2,51540
"CASTLE, J DAVID, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"ALTES, TALISSA A, @institution: UNIVERSITY OF VIRGINIA",2,51540
"KRON, IRVING L, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"PAPIN, JASON AARON, @institution: UNIVERSITY OF VIRGINIA",1,51540
"FORD, ROSEANNE, @institution: UNIVERSITY OF VIRGINIA",2,51540
"GOLDBERG, JOANNA B., @institution: UNIVERSITY OF VIRGINIA",2,51540
"TAMM, LUKAS K, @institution: UNIVERSITY OF VIRGINIA",2,51540
"ACHESON, JUSTIN FINLEY, @institution: UNIVERSITY OF VIRGINIA",15,51540
"HUNT, JOHN F, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"ZIMMER, JOCHEN, @institution: UNIVERSITY OF VIRGINIA",15,51540
"LEWIS, STEPHEN JOHN, @institution: UNIVERSITY OF VIRGINIA",2,51540
"PALMER, LISA, @institution: UNIVERSITY OF VIRGINIA",2,51540
"PAPIN, JASON, @institution: UNIVERSITY OF VIRGINIA",2,51540
"PAPIN, JASON, @institution: UNIVERSITY OF VIRGINIA",1,51540
"BRAIMAN, MARK S, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"PLATTS-MILLS, THOMAS A., @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",1,51540
"PLATTS-MILLS, THOMAS A., @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"VERGHESE, GEORGE M, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"GASTON, BENJAMIN, @institution: UNIVERSITY OF VIRGINIA",2,51540
"GASTON, BENJAMIN, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"ROGOL, ALAN D., @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"MATA, JAIME, @institution: UNIVERSITY OF VIRGINIA",2,51540
", @institution: UNIVERSITY OF VIRGINIA",2,51540
", @institution: UNIVERSITY OF VIRGINIA",1,51540
", @institution: UNIVERSITY OF VIRGINIA",15,51540
"SWIATECKA-URBAN, AGNIESZKA, @institution: UNIVERSITY OF VIRGINIA",2,51540
"BUSHWELLER, JOHN HACKETT, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"GOLDBERG, JOANNA B., @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"GASTON, BENJAMIN M, @institution: UNIVERSITY OF VIRGINIA CHARLOTTESVILLE",2,51540
"DRANSFIELD, MARK T, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BARNES, STEPHEN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",1,01073
"ALLER, STEPHEN G, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"TEARNEY, GUILLERMO J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"TILDEN, SAMUEL J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"TOWNES, TIM M., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"TILLER, RALPH E, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"HARRIS, ELEX S, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"PYLE, LOUISE CLARE, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"DEVOR, DANIEL C, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"SORSCHER, ERIC, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BERDIEV, BAKHROM KARIM, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"TEARNEY, GUILLERMO J., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"ZHOU, TONG, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"KIRK, KEVIN L, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"GAGGAR, AMIT, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
", @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"THANNICKAL, VICTOR J., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BENOS, DALE J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BEDWELL, DAVID M, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"GUIMBELLOT, JENNIFER S, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"WOODWORTH, BRADFORD ALAN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"SORSCHER, ERIC J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"SORSCHER, ERIC J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"BEBOK, ZSUZSA, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"DUBINSKY, WILLIAM P, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"MEEZAN, ELIAS, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"KRICK, STEFANIE, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"FRIZZELL, RAYMOND A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"FRIZZELL, RAYMOND A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"SCHWIEBERT, ERIK MILLS, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"YODER, BRADLEY K., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"ROWE, STEVEN MARK, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"FULLER, GERALD, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BLALOCK, J EDWIN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"LIN, VIVIAN Y, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"MAKRIS, CHRISTOPHER M, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"MAKRIS, CHRISTOPHER M, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",5,01073
"MATALON, SADIS, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"HARRIS, WILLIAM THOMAS, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"LADORES, SIGRID LYNN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"ROZMAHEL, RICHARD, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"TAYLOR, KENNETH B, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BEDWELL, DAVID M., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"ENGLER, JEFFREY ALLEN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"CLINES, GREGORY A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"WALLANDER, JAN L, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"CURIEL, DAVID T, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BLALOCK, J. EDWIN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"CHO, DO-YEON, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"DONG, JOHN Y, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BRIDGES, ROBERT, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"SCHNEYER, CHARLOTTE A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"CLANCY, JOHN PAUL, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"YOTHER, JANET L, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BIRKET, SUSAN ELIZABETH, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"DELUCAS, LAWRENCE J, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"SOLOMON, GEORGE MARTIN, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"COLLAWN, JAMES F., @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"OLIVER, KATHRYN E, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BALL, L A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"MARCHASE, RICHARD BANFIELD, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"BRADBURY, NEIL A, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"CHUNG, WOOK JOON, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"STALVEY, MICHAEL SHANE, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"STONER, SARA N, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"DOKLAND, TERJE, @institution: UNIVERSITY OF ALABAMA AT BIRMINGHAM",2,01073
"FRANKLIN, MICHAEL J, @institution: MONTANA STATE UNIVERSITY (BOZEMAN)",2,30031
"TEINTZE, MARTIN, @institution: MONTANA STATE UNIVERSITY (BOZEMAN)",2,30031
"STEWART, PHILIP S, @institution: MONTANA STATE UNIVERSITY - BOZEMAN",2,30031
"FRANKLIN, MICHAEL J, @institution: MONTANA STATE UNIVERSITY - BOZEMAN",2,30031
", @institution: MONTANA STATE UNIVERSITY - BOZEMAN",2,30031
"QUITTNER, ALEXANDER, @institution: INDIANA UNIVERSITY BLOOMINGTON",5,18105
", @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"MARKETON, MELANIE, @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"QUITTNER, ALEXANDRA, @institution: INDIANA UNIVERSITY BLOOMINGTON",5,18105
"BONANNO, JOSEPH AURELIO, @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"BAKER, LANE A., @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"QUITTNER, ALEXANDRA L, @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"CHEN, LINGLING, @institution: INDIANA UNIVERSITY BLOOMINGTON",2,18105
"DEPAS, WILLIAM H., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"AMEEN, NADIA A, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"LOCKE, LANDON WILLIAM, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"AMEEN, NADIA A., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"BUCK, TERESA M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"WEARDEN, PETER D, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"DI, YUANPU PETER, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",1,42129
"THURLOW, LANCE R., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"GOETZMAN, ERIC S, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"LOWE, MARK E., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"HORSLEN, SIMON, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"DERMODY, TERENCE S., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PALLADINO, MICHAEL JOHN, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CORCORAN, TIMOTHY E, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CORCORAN, TIMOTHY E, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",13,42129
", @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
", @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",13,42129
"FRIZZELL, RAYMOND A, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ALCORN, JOHN F, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"WATKINS, SIMON C, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PERLMUTTER, DAVID H, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"SUN, FEI, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CHEN, KONG, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"DUBIN, PATRICIA J, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"HALLOWS, KENNETH R, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"JOHNSON, JOHN P., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PILEWSKI, JOSEPH M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PARKER, ROBERT S, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",13,42129
"BRODSKY, JEFFREY L., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"SHNEIDER, BENJAMIN L., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ORENSTEIN, DAVID M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PARKER, ROBERT S., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",13,42129
"ADEBAMIRO, ADEDOTUN, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"HATFULL, GRAHAM F., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"KOLLS, JAY K, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PILEWSKI, JOSEPH MARK, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ZEMKE, ANNA CHRISTINE, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"FERANCHAK, ANDREW P, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ROBINSON, KEVEN MARA, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",1,42129
"BOMBERGER, JENNIFER MELINDA, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"HUANG, LEAF, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ROSENBERG, JOHN M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"RAY, ANURADHA, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"BRIDGES, ROBERT J., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"URISH, KENNETH L, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"HUGHEY, REBECCA P, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"KLEYMAN, THOMAS R., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"DEVOR, DANIEL C, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"WEARDEN, PETER, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"FEDERSPIEL, WILLIAM J., @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"WAGNER, WILLIAM R, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"PILEWSKY, JOSEPH, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"MYERBURG, MICHAEL M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"BRADBURY, NEIL A, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"SWIATECKA-URBAN, AGNIESZKA, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"WEISZ, ORA A, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",1,42129
"THIBODEAU, PATRICK H, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"SHENG, SHAOHU, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CELEDON, JUAN CARLOS, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"SQUIRES, ROBERT H, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"KAZMERSKI, TRACI, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CORCORAN, TIMOTHY EDWARD, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"ARCASOY, SELIM M, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"MCKIERNAN, PATRICK JAMES, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"CLEMENS, PAULA R, @institution: UNIVERSITY OF PITTSBURGH AT PITTSBURGH",2,42129
"TLUCZEK, AUDREY, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"SHAABAN, AIMEN F, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"na, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"FOREST, KATRINA T, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"FOREST, KATRINA T, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"FARRELL, PHILIP M, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"MEYER, KEITH C, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"MARTON, LAURENCE J, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"HOSKINS, AARON ANDREW, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"KUNG, CHING, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"SUN, XIN, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"FAIN, SEAN BEDILION, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"MARKLEY, JOHN L, @institution: UNIVERSITY OF WISCONSIN MADISON",1,55025
"DOPICO, GUILLERMO A, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"DOPICO, GUILLERMO A, @institution: UNIVERSITY OF WISCONSIN MADISON",5,55025
"LAI, HUICHUAN J, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"CAVAGNERO, SILVIA, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"SCHOMAKER, JENNIFER MARIE, @institution: UNIVERSITY OF WISCONSIN-MADISON",7,55025
"EIBERGEN, NORA R, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"ADLER, JULIUS, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"CRAIG, ELIZABETH A, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"TLUCZEK, AUDREY, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"CRAIG, ELIZABETH A, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"ROCK, MICHAEL J, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"WEST, SUSAN E. H., @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"SLINGER, BETTY, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"LAI, HUICHUAN J, @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
", @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
", @institution: UNIVERSITY OF WISCONSIN-MADISON",7,55025
"GERN, JAMES E., @institution: UNIVERSITY OF WISCONSIN-MADISON",2,55025
"CAVAGNERO, SILVIA, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"LEMANSKE, ROBERT F, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"FARRELL, PHILIP M, @institution: UNIVERSITY OF WISCONSIN MADISON",2,55025
"FARRELL, PHILIP M, @institution: UNIVERSITY OF WISCONSIN MADISON",5,55025
"CHANG, EUGENE H, @institution: UNIVERSITY OF IOWA",2,19103
", @institution: IOWA CITY VA MEDICAL CENTER",2,19103
"JANZ, SIEGFRIED, @institution: UNIVERSITY OF IOWA",2,19103
"RICE, KEVIN G, @institution: UNIVERSITY OF IOWA",1,19103
"OSTEDGAARD, LYNDA S, @institution: UNIVERSITY OF IOWA",2,19103
"SHAH, VIRAL SHAILESH, @institution: UNIVERSITY OF IOWA",2,19103
"BALOUGH, KATHRYN M, @institution: UNIVERSITY OF IOWA",2,19103
"BERGER, HERBERT A, @institution: UNIVERSITY OF IOWA",2,19103
"KELCH, ROBERT P, @institution: UNIVERSITY OF IOWA",1,19103
"HAMMOND, DONNA L., @institution: UNIVERSITY OF IOWA",1,19103
"SUTTERWALA, FAYYAZ S, @institution: IOWA CITY VA MEDICAL CENTER",2,19103
"COHEN, DAVID E, @institution: UNIVERSITY OF IOWA",2,19103
"FRANA, TIMOTHY S, @institution: UNIVERSITY OF IOWA",2,19103
"APICELLA, MICHAEL A., @institution: UNIVERSITY OF IOWA",1,19103
"APICELLA, MICHAEL A., @institution: UNIVERSITY OF IOWA",2,19103
"STEINER, JOERG M., @institution: UNIVERSITY OF IOWA",2,19103
"STEWART, ZOE, @institution: UNIVERSITY OF IOWA",2,19103
"LIMOLI, DOMINIQUE, @institution: UNIVERSITY OF IOWA",1,19103
"LIMOLI, DOMINIQUE, @institution: UNIVERSITY OF IOWA",2,19103
"RYAN, AMY LEANNE, @institution: UNIVERSITY OF IOWA",2,19103
"NORRIS, ANDREW, @institution: UNIVERSITY OF IOWA",2,19103
"KORETZKY, GARY A., @institution: UNIVERSITY OF IOWA",1,19103
"HARWOOD, CAROLINE STONE, @institution: UNIVERSITY OF IOWA",2,19103
"KAMINSKY, PAUL M, @institution: UNIVERSITY OF IOWA",2,19103
"ENGELHARDT, JOHN F, @institution: UNIVERSITY OF IOWA",2,19103
